PVD10102,PVD10103,PVD10104,PVD10106,PVD10108,PVD10110,PVD10111,PVD10113,PVD10114,PVD10115,PVD10117,PVD10118,PVD10120,PVD10121,PVM10102,PVM10103,PVM10104,PVM10106,PVM10107,PVM10108,PVM10110,PVM10111,PVM10113,PVM10114,PVM10116,PVM10117,PVM10118,PVM10120,PVM10121,PVM10122,PVM10124,PVM10125,PVM10126,PVM10128,PVM10129,PVM10130,PVM10132,PVM10133,PVM10134,PTY10102,PTY10103,PTY10104,PTY10106,PTY10107,PTY10108,PTY10110,PTY10111,PTY10112,PTY10114,PTY10115,PTY10116,PTY10118,PTY10119,PTY10120,PTY10122,PTY10123,PTY10124,PTY10126,PTY10127,PTY10128,ANO10102,ANO10103,ANO10104,ANO10106,ANO10107,ANO10108,ANO10110,ANO10111,ANO10112,ANO10114,ANO10115,ANO10116,ANO10118,ANO10119,ANO10120,ANO10122,ANO10123,ANO10124,CMM10102,CMM10103,CMM10104,CMM10106,CMM10107,CMM10108,CMM10110,CMM10111,CMM10112,CMM10114,CMM10115,CMM10116,CMM10118,CMM10119,CMM10120,CMM10122,CMM10123,CMM10124,CNT10102,CNT10103,CNT10104,CNT10106,CNT10107,CNT10108,CNT10110,CNT10111,CNT10112,CNT10114,CNT10115,CNT10116,CNT10118,CNT10119,CNT10120,CNT10122,CNT10123,CNT10124,CNT10126,CNT10127,CNT10128,MDM10102,MDM10103,MDM10104,MDM10106,MDM10107,MDM10108,MDM10110,MDM10111,MDM10112,MDM10114,MDM10115,MDM10116,MDM10118,MDM10119,MDM10120,MDM10122,MDM10123,MDM10124,MDM10126,MDM10127,MDM10128,PJM10102,PJM10103,PJM10104,PJM10106,PJM10107,PJM10108,PJM10110,PJM10111,PJM10112,PJM10114,PJM10115,PJM10116,PJM10118,PJM10119,PJM10120,PJM10122,PJM10123,PJM10124,IDP10102,IDP10103,IDP10105,IDP10106,IDP10107,IDP10109,IDP10110,IDP10111,IDP10113,IDP10114,IDP10115,IDP10117,IDP10118,IDP10119,IDP10121,IDP10122,IDP10123,IDP10125,IDP10126,IDP10127,FLO10102,FLO10103,FLO10104,FLO10106,FLO10107,FLO10108,FLO10110,FLO10111,FLO10112,FLO10114,FLO10115,FLO10116,FLO10118,FLO10119,FLO10120,FLO10122,FLO10123,FLO10124,BPT10102,BPT10103,BPT10104,BPT10106,BPT10107,BPT10108,BPT10110,BPT10111,BPT10112,BPT10114,BPT10115,BPT10116,BPT10118,BPT10119,BPT10120,BPT10122,BPT10123,BPT10124,BPT10126,BPT10127,BPT10128,TCH10102,TCH10103,TCH10104,TCH10106,TCH10107,TCH10108,TCH10110,TCH10111,TCH10112,TCH10114,TCH10115,TCH10116,TCH10118,TCH10119,TCH10120,TCH10122,TCH10123,TCH10124,TCH10126,TCH10127,TCH10128,SYA10102,SYA10103,SYA10104,SYA10105,SYA10107,SYA10108,SYA10109,SYA10110,SYA10112,SYA10113,SYA10114,SYA10115,SYA10117,SYA10118,SYA10119,SYA10121,SYA10122,SYA10123,SYA10125,SYA10126,SYA10127,SYA10129,SYA10130,SYA10131,DLY10102,DLY10103,DLY10104,DLY10105,DLY10107,DLY10108,DLY10109,DLY10110,DLY10112,DLY10113,DLY10114,DLY10115,DLY10117,DLY10118,DLY10119,DLY10120,DLY10122,DLY10123,DLY10124,DLY10125,DLY10127,DLY10128,DLY10129,DLY10130,DLY10132,DLY10133,DLY10134,DLY10135
32,98,73,56,92,69,59,75,54,73,32,46,70,46,38,30,70,43,82,38,75,72,92,57,64,76,60,52,36,58,73,48,32,90,33,39,97,49,84,89,53,62,46,64,57,95,75,76,89,48,92,77,56,76,73,98,63,56,49,76,73,45,32,33,51,47,87,38,89,69,71,55,73,90,84,35,60,60,60,93,93,83,91,53,91,47,60,45,53,47,50,34,36,41,68,58,90,30,95,85,52,76,63,95,72,40,47,31,35,97,90,73,66,65,89,89,94,92,43,77,77,72,64,90,88,82,55,67,87,83,69,57,74,57,60,40,90,49,72,31,39,37,50,82,64,36,77,47,78,94,51,70,74,69,47,48,57,41,47,82,81,37,33,35,60,85,35,41,91,43,37,30,42,92,36,70,70,63,85,40,60,63,43,85,43,35,80,82,70,66,39,68,35,70,52,48,88,53,72,62,35,43,31,48,72,53,67,30,49,92,47,98,54,42,30,79,81,41,93,59,58,84,38,41,59,45,34,40,89,93,63,86,64,56,77,34,85,93,56,91,46,75,79,37,62,71,66,40,37,98,36,95,35,53,74,55,86,54,65,56,62,30,39,30,76,96,77,72,31,71,57,49,42,46,62,51,94,51,82,90,97,96,92,44,87,43,56,55
52,85,86,72,92,89,59,35,39,76,51,98,48,86,84,77,57,50,52,40,77,43,78,32,53,72,32,66,30,47,86,85,82,37,47,39,97,50,81,98,42,34,54,37,71,50,76,42,47,57,68,87,35,54,31,47,64,77,81,93,30,69,46,37,65,64,52,92,94,39,85,89,86,95,65,91,46,64,37,76,69,95,51,43,42,36,42,89,62,33,87,73,36,64,64,58,70,62,66,90,33,74,92,40,58,71,74,85,91,73,42,47,41,89,37,35,31,54,80,77,71,69,65,96,40,91,50,32,76,80,36,68,44,90,66,92,76,58,94,59,98,83,33,49,39,35,43,65,74,83,37,51,41,31,60,97,96,38,77,59,60,69,96,43,80,30,85,77,73,38,92,30,91,71,47,84,93,40,62,31,77,59,61,89,89,33,71,92,40,40,89,68,90,83,56,53,40,52,31,77,36,90,62,72,50,40,35,54,42,68,59,96,69,92,63,79,34,33,62,58,69,83,87,30,90,35,86,68,71,32,77,86,88,80,49,51,32,94,70,41,44,91,81,85,63,49,93,49,30,70,55,41,47,39,38,71,87,67,66,31,38,78,40,49,47,83,50,49,31,37,32,62,31,94,40,53,80,95,71,82,34,56,82,88,34,47,96,37
70,98,97,91,75,93,38,81,92,49,31,77,37,55,33,35,82,59,57,82,64,86,70,56,57,60,37,80,54,61,90,97,31,59,69,75,85,41,67,88,82,82,86,94,40,30,30,84,58,51,52,56,55,91,57,34,80,48,38,70,61,80,66,31,48,84,97,98,31,48,74,58,58,62,86,91,45,65,76,49,52,96,70,75,67,55,79,51,85,65,57,48,72,36,53,39,47,71,69,63,38,45,84,53,31,32,60,57,97,97,55,89,58,95,40,44,48,44,70,96,93,81,59,58,58,45,84,31,51,73,75,39,42,62,91,48,75,35,82,66,80,73,91,47,57,77,72,73,92,89,46,55,31,82,46,56,79,41,73,77,39,92,71,32,67,38,77,34,61,46,35,50,55,67,32,39,77,58,61,34,64,52,59,89,77,65,83,37,53,51,79,89,66,64,69,42,33,95,39,40,49,54,97,57,86,78,39,91,31,89,92,72,70,75,86,81,86,30,33,55,68,54,53,38,90,67,83,70,55,45,92,60,68,77,43,81,80,44,84,94,30,30,78,60,70,38,83,37,31,41,88,86,74,32,64,38,44,53,33,50,73,38,34,97,39,86,75,64,83,54,76,85,89,62,49,72,54,64,39,76,38,95,53,38,31,69,69,57
86,54,49,33,38,48,81,66,66,75,94,88,87,87,46,86,30,73,77,73,79,31,81,86,71,91,57,90,49,51,55,76,46,73,32,38,74,90,35,93,43,41,77,95,42,54,84,51,32,79,85,30,90,58,81,66,72,49,57,52,82,95,93,44,59,94,81,63,42,34,41,91,59,69,86,62,82,77,74,38,70,65,89,86,93,48,41,38,45,45,89,74,42,97,70,51,72,97,88,81,98,72,65,43,46,61,34,49,89,66,76,40,79,47,85,39,54,72,37,38,35,62,64,34,47,38,65,74,42,93,68,93,86,70,32,71,56,91,88,85,91,79,69,95,79,41,65,44,75,45,54,98,65,63,88,97,83,85,84,54,76,85,60,66,92,58,30,33,90,76,51,43,35,33,88,45,90,82,55,94,47,78,73,75,30,43,32,67,40,84,82,51,70,32,77,59,37,86,51,32,59,37,39,91,41,95,41,35,82,47,81,81,93,35,72,50,64,35,61,33,81,59,64,95,90,73,72,61,91,49,51,85,56,90,64,77,90,71,47,70,32,48,56,72,44,42,70,81,45,33,85,92,88,89,36,90,45,57,64,38,83,54,57,91,55,98,65,77,45,90,54,35,55,83,96,36,53,30,97,35,46,51,61,33,52,44,85,70
95,63,86,42,71,52,33,76,41,84,74,69,43,94,57,82,62,40,39,67,45,90,62,47,87,84,88,85,65,52,53,44,50,91,42,65,35,94,91,82,92,53,89,32,62,97,40,54,86,63,94,79,84,49,98,34,81,92,60,91,78,49,33,41,85,69,82,74,44,98,71,73,39,94,68,40,45,92,44,34,62,97,48,37,74,34,35,36,80,66,39,63,87,33,30,54,63,40,45,83,49,76,63,91,79,38,45,58,82,51,61,35,59,77,58,89,51,67,37,91,31,96,68,64,54,81,81,44,65,34,98,92,84,88,55,47,94,50,61,63,59,33,87,65,37,95,89,30,56,59,66,49,91,73,59,48,48,37,44,41,89,87,85,69,69,32,48,87,78,47,96,56,62,66,60,33,94,35,38,73,89,82,79,98,72,34,83,64,93,82,93,85,64,70,77,37,48,66,92,95,40,88,87,58,70,72,31,31,70,67,60,55,54,84,35,30,49,30,72,31,38,67,57,59,67,65,95,71,62,96,96,51,75,96,51,67,60,55,75,67,75,71,94,52,54,66,80,56,44,96,67,61,35,80,60,49,78,79,83,89,64,66,80,83,30,67,56,71,31,64,66,32,36,33,57,59,86,97,97,69,95,47,45,54,42,97,95,52
96,90,58,96,60,40,85,54,31,31,79,75,63,91,36,30,69,86,90,47,56,31,32,37,81,79,94,63,40,75,78,55,84,78,49,33,60,72,80,60,85,84,36,83,79,98,67,69,46,30,58,31,65,68,44,53,44,89,56,81,49,69,47,60,67,41,84,55,62,59,42,67,97,51,36,96,81,72,35,56,97,90,59,92,30,65,95,72,92,61,41,44,40,75,75,70,87,34,74,89,72,52,72,52,61,58,70,92,31,87,79,49,37,90,57,62,81,52,56,42,98,74,65,77,98,64,89,70,30,76,92,73,78,87,66,40,76,88,90,90,75,87,49,55,52,32,74,56,36,62,73,84,44,60,90,75,32,44,54,74,44,80,53,92,73,47,84,81,75,53,50,73,78,83,33,80,74,95,56,35,91,87,76,56,67,73,45,42,68,61,36,81,31,97,46,89,62,81,40,50,80,59,32,77,69,32,65,96,98,72,47,84,84,70,82,34,93,58,91,91,97,45,31,75,49,98,55,79,68,48,90,44,58,35,98,58,59,51,68,65,79,60,69,32,67,53,38,62,49,81,37,40,40,83,57,91,46,93,64,35,65,64,44,85,89,82,78,33,41,83,94,74,77,64,86,90,86,33,50,55,71,82,98,54,33,61,83,73
83,73,42,98,42,65,59,83,80,57,60,49,47,49,40,32,43,74,52,70,50,83,85,70,93,85,88,64,38,77,64,96,95,77,68,96,48,38,38,96,64,64,57,94,88,66,70,42,43,55,43,44,94,62,31,82,34,79,78,66,39,60,91,98,47,74,72,49,59,41,54,51,95,31,40,85,71,36,60,45,83,56,58,72,42,31,88,98,73,37,68,44,89,37,80,36,69,32,38,39,30,86,93,80,36,83,51,56,34,36,95,89,47,43,55,61,35,32,68,56,76,92,85,84,53,49,65,95,33,63,90,65,85,79,50,41,80,60,74,97,96,77,89,63,48,79,65,74,67,37,63,74,96,67,39,54,72,42,59,75,85,36,35,97,61,49,31,86,38,76,64,75,39,78,96,46,88,54,88,36,70,60,77,31,46,90,75,51,98,89,78,48,70,90,43,92,82,63,57,53,80,77,67,94,53,70,59,33,69,79,68,68,63,47,66,48,89,35,95,74,46,44,74,68,33,92,76,66,60,31,62,76,48,41,89,78,30,84,58,54,50,69,52,66,62,82,97,57,91,87,31,95,70,92,40,71,62,52,79,45,64,79,42,65,79,30,84,34,96,91,46,32,46,50,83,89,35,35,71,77,57,66,77,56,67,80,83,45
61,55,36,79,63,91,81,68,89,51,42,92,93,46,62,76,89,65,81,78,96,98,65,48,41,53,34,80,49,82,67,75,97,62,47,30,48,55,45,37,47,33,93,84,47,51,70,60,98,85,38,87,73,44,69,63,81,83,59,35,41,90,75,51,48,51,81,59,69,90,83,85,89,45,77,38,86,41,32,96,82,85,77,43,91,92,94,66,70,46,94,93,57,78,30,50,33,93,88,52,83,42,63,96,77,56,37,36,37,57,67,88,61,39,44,91,55,61,61,81,40,92,40,77,80,96,87,45,57,32,82,58,38,51,69,80,58,80,71,32,97,66,72,84,78,30,56,84,49,77,47,33,69,71,92,87,65,34,69,68,45,34,71,38,93,34,36,88,31,65,60,64,31,87,98,95,63,38,60,35,87,47,90,36,41,64,46,41,36,80,45,78,57,81,92,35,45,85,61,71,36,39,42,62,58,93,33,43,66,66,44,84,98,97,41,87,75,55,62,66,33,91,81,52,41,68,57,77,63,90,36,60,42,77,89,88,34,65,38,73,98,50,64,44,98,75,63,36,78,54,48,72,79,77,71,87,48,46,31,74,65,74,76,72,62,60,95,77,51,31,61,46,77,92,79,37,47,30,74,56,46,54,34,97,48,80,73,94
37,55,57,37,55,73,89,36,44,75,41,75,51,93,35,77,41,36,98,42,60,47,55,44,31,82,57,54,65,48,78,93,92,74,57,82,86,71,72,57,59,51,66,94,37,39,40,85,63,31,81,65,89,71,43,93,69,67,96,45,95,43,44,64,50,54,38,32,80,94,79,39,86,68,45,52,69,82,78,36,50,63,55,39,32,46,79,42,58,59,32,58,73,33,72,46,88,83,68,69,87,31,48,97,92,50,64,48,81,31,86,37,70,68,33,57,40,85,57,63,81,36,45,46,48,73,69,35,62,83,66,48,67,45,84,30,85,77,49,75,89,58,34,94,56,87,52,70,66,88,31,67,49,95,48,90,71,72,83,60,87,87,67,82,33,95,52,75,35,59,85,93,72,93,81,87,65,84,36,41,97,68,92,68,50,89,40,58,40,34,60,43,54,30,80,43,55,30,93,65,65,55,90,43,43,84,79,69,91,50,73,62,71,32,33,96,38,88,49,98,55,38,69,34,40,64,71,88,60,41,67,86,38,59,65,30,73,30,35,67,33,70,56,30,88,50,79,60,54,41,72,94,39,96,76,82,77,75,74,45,70,31,86,37,33,89,31,64,38,56,37,98,76,35,67,48,36,54,53,87,80,40,50,75,74,65,88,64
30,54,94,81,55,66,54,52,48,90,45,69,56,46,49,89,40,46,79,70,48,82,58,76,52,61,34,39,57,61,68,78,52,86,57,57,71,85,31,36,95,49,64,86,58,49,97,31,80,70,65,73,86,83,87,56,63,87,63,40,65,33,80,52,63,44,64,43,98,89,34,60,62,80,72,55,30,96,98,87,91,56,68,38,57,89,39,94,39,96,79,89,82,65,32,32,47,31,51,55,68,67,60,36,68,72,62,70,34,71,56,81,71,71,35,42,39,91,95,80,58,62,47,69,58,43,37,66,51,94,46,78,31,41,40,62,94,62,72,58,31,88,45,96,71,77,35,49,53,54,72,69,37,44,38,81,52,47,88,90,51,83,91,95,53,83,68,93,51,87,64,92,85,94,90,83,60,98,75,62,85,65,33,97,48,55,48,69,43,57,89,54,66,79,70,85,47,59,74,47,76,37,62,52,30,94,80,73,54,43,39,45,67,66,94,65,51,95,86,53,44,90,53,53,45,50,63,84,40,91,30,54,54,81,82,58,30,42,67,85,53,34,45,89,77,75,92,97,65,88,98,75,60,45,46,76,36,84,78,77,36,47,36,41,82,93,91,32,53,40,74,79,71,69,69,63,81,66,61,71,77,65,65,57,39,31,64,94
70,81,88,62,56,33,64,34,53,32,98,32,78,59,56,83,94,91,76,30,90,77,48,96,89,69,40,47,41,43,33,36,90,79,75,84,48,40,33,46,91,67,83,63,72,73,32,96,30,46,97,79,31,36,32,43,74,35,75,93,41,65,88,40,42,97,37,43,64,59,42,65,95,72,40,41,41,85,55,87,68,45,64,52,45,95,44,96,41,44,34,88,95,60,30,45,94,39,50,56,34,76,35,79,57,81,42,44,62,81,38,50,52,51,77,83,97,69,55,41,68,40,46,63,32,52,82,30,40,47,75,39,38,91,53,70,51,73,65,62,52,40,38,47,42,42,89,74,95,53,86,88,82,44,97,98,89,54,63,53,33,78,55,66,83,90,88,45,55,54,82,58,36,79,93,42,35,39,98,70,80,72,81,84,60,87,97,91,42,34,92,36,30,92,51,71,68,83,40,54,52,69,92,52,62,73,98,69,83,67,72,39,70,77,74,87,70,46,35,38,62,81,96,52,68,79,69,89,62,80,35,48,33,39,81,97,32,51,56,71,52,87,69,44,81,54,78,47,78,80,78,49,69,64,71,41,50,37,45,98,58,38,92,61,45,31,30,73,39,41,40,73,71,84,85,54,65,91,52,82,39,58,64,40,59,59,97,77
42,75,60,72,56,95,95,95,96,32,32,91,43,59,71,98,44,84,36,76,37,38,81,93,49,54,93,46,65,92,64,97,64,82,73,92,66,66,41,47,81,86,52,62,96,36,57,56,77,68,58,73,67,51,94,66,43,55,88,56,32,96,91,75,84,98,30,39,67,49,45,92,52,90,50,66,46,38,86,95,67,60,61,77,90,81,71,91,55,94,73,98,83,44,92,94,45,61,63,93,95,82,45,98,52,52,52,74,41,42,81,76,88,33,51,92,80,84,30,66,57,33,74,95,52,96,34,69,54,69,33,66,33,47,78,70,67,51,30,45,36,53,79,89,91,37,51,33,39,49,95,62,82,35,54,72,70,77,95,77,37,81,70,87,48,56,34,93,36,87,87,89,41,53,62,72,89,63,30,40,51,54,58,92,77,89,46,75,76,34,83,32,36,40,92,53,46,62,74,62,90,40,82,47,66,64,55,65,96,63,90,33,85,85,97,85,63,58,40,73,92,94,71,97,96,73,93,34,88,57,95,80,89,36,35,69,82,39,43,38,30,32,45,52,65,92,42,96,61,78,76,84,78,71,42,80,68,57,54,51,62,49,77,62,66,46,84,63,91,71,45,46,75,87,48,30,37,88,60,90,78,39,84,78,53,39,44,54
93,88,80,81,90,59,71,82,98,59,41,33,77,55,46,54,36,33,76,73,36,46,69,87,32,35,82,85,65,75,79,48,46,97,67,85,86,86,88,67,84,65,45,57,50,53,89,54,96,67,88,96,34,49,77,47,31,46,73,85,88,35,79,59,70,89,39,61,36,90,98,94,36,75,59,50,55,75,98,81,36,71,45,66,62,53,33,96,48,51,91,40,47,93,32,44,49,60,79,94,49,52,85,36,84,55,35,64,68,70,70,61,43,48,52,72,51,95,72,90,89,96,96,49,46,98,45,53,75,61,48,43,76,69,85,94,41,46,68,57,41,62,30,77,90,89,70,73,87,41,54,77,35,82,47,82,64,91,34,78,38,61,84,46,54,93,82,51,36,32,94,66,56,64,84,30,86,57,95,80,93,46,82,64,42,76,72,60,31,94,62,95,84,84,97,85,83,68,34,90,90,85,38,40,88,33,49,37,62,68,54,47,83,49,65,36,97,50,62,64,90,53,79,32,91,59,60,78,69,64,43,76,96,46,50,95,96,43,47,39,59,38,81,76,74,98,68,47,51,46,57,54,45,82,31,86,63,66,44,75,61,91,78,38,32,43,38,66,67,35,87,58,58,86,67,81,84,78,86,84,83,68,46,94,66,48,61,36
83,96,58,80,66,37,62,32,97,37,37,58,37,34,50,72,93,89,68,52,40,90,85,73,39,60,48,38,73,83,71,55,81,45,81,48,72,31,63,44,44,58,36,73,48,95,59,91,49,70,37,80,31,61,54,95,70,90,58,65,63,46,39,97,92,75,95,38,82,52,52,43,56,87,78,98,34,79,92,65,80,87,50,83,75,71,94,38,35,30,59,57,52,53,97,68,89,52,98,38,68,86,65,54,52,57,44,81,85,76,40,68,46,57,75,86,43,95,60,90,57,38,74,89,95,58,70,93,44,87,75,60,31,36,70,93,40,42,65,58,45,97,45,46,93,69,97,73,85,68,94,69,42,34,71,55,78,54,97,54,56,83,67,30,74,65,76,93,84,79,49,59,97,31,74,44,33,93,70,33,96,44,57,69,81,98,79,82,51,36,94,81,65,69,77,52,80,42,38,57,45,41,64,67,37,93,39,59,51,31,95,94,78,51,43,90,41,63,98,41,86,86,49,75,62,95,70,48,42,40,30,62,65,77,79,77,71,49,49,55,62,54,91,81,58,76,44,83,69,91,73,80,89,32,40,54,93,35,75,81,56,43,55,86,80,42,67,40,72,91,70,77,61,89,49,49,59,71,48,95,77,68,71,49,41,88,40,31
32,80,53,86,52,45,83,76,37,51,57,38,93,86,39,89,69,94,85,35,41,93,64,80,86,92,37,94,61,95,41,65,80,76,42,93,55,63,49,32,40,64,97,44,55,83,75,64,41,93,52,32,76,64,98,75,82,47,94,36,41,35,73,44,69,95,88,53,59,53,31,88,66,30,72,75,79,37,49,96,52,36,35,52,86,34,94,53,94,89,70,46,81,40,95,42,32,45,38,47,95,74,90,42,31,95,60,68,80,95,58,78,98,50,78,60,94,93,62,92,74,44,36,71,92,49,93,67,30,49,46,42,39,44,82,79,52,63,79,75,83,56,51,51,97,33,81,88,56,66,74,64,32,86,65,78,94,36,39,78,61,46,33,62,52,42,87,62,48,96,77,37,44,45,54,50,31,87,45,36,61,37,82,34,68,68,67,51,37,78,92,95,94,48,47,96,91,51,49,64,48,79,75,42,95,51,38,34,65,95,74,56,93,49,65,90,66,79,52,57,51,72,34,57,55,50,81,85,96,30,79,46,35,66,48,43,78,60,46,64,33,59,86,81,89,34,95,49,43,37,42,72,61,43,43,47,58,82,87,81,85,51,47,45,77,37,37,69,79,43,76,42,49,93,54,76,84,74,58,58,54,86,63,78,49,44,39,79
60,52,78,94,73,69,37,37,94,38,76,93,96,58,89,65,56,69,44,71,86,45,73,40,48,32,56,73,37,37,82,45,72,91,46,83,54,71,97,96,44,73,80,93,66,73,46,47,90,98,41,88,63,63,88,55,46,78,65,80,87,36,60,88,55,88,76,67,92,85,90,96,83,53,46,69,89,60,87,36,73,90,90,90,67,30,67,89,43,83,63,86,82,46,86,43,96,36,45,46,65,98,92,72,94,75,71,48,97,68,77,60,47,64,39,74,38,88,77,35,64,89,44,93,74,47,76,88,41,37,97,48,55,31,97,33,88,45,72,37,67,96,47,77,64,55,86,51,44,85,32,72,35,57,91,39,39,65,91,40,88,46,65,73,70,36,88,45,34,53,31,31,74,79,63,36,39,50,63,89,39,39,98,76,50,82,44,91,71,39,41,88,47,48,53,74,42,91,58,93,82,57,97,41,34,86,32,87,98,75,60,57,78,46,83,52,80,54,43,47,55,92,88,79,73,69,33,88,77,96,91,33,85,72,57,61,98,62,44,55,67,32,51,67,54,67,75,70,48,96,77,90,68,74,33,85,60,36,97,60,81,56,38,68,87,63,40,52,44,67,70,92,79,54,61,85,46,36,38,89,57,62,57,48,51,73,72,52
72,56,32,53,89,77,34,93,30,96,41,93,73,92,35,89,45,73,34,84,60,32,97,78,82,96,67,54,76,98,49,30,63,95,48,84,59,42,63,59,89,38,67,80,59,31,41,30,92,92,81,75,80,92,81,47,30,52,84,74,47,65,60,35,98,68,36,50,42,88,58,82,34,53,51,88,95,35,32,70,56,68,73,77,77,94,53,64,32,42,93,98,46,54,54,98,93,43,89,81,95,46,86,82,74,54,89,41,53,85,55,39,95,76,54,53,92,73,72,33,78,69,45,61,88,49,46,65,60,78,56,34,62,40,41,48,98,75,82,92,54,47,46,58,39,60,56,45,44,82,36,92,89,61,49,42,49,65,74,73,37,83,66,67,95,85,44,94,75,96,63,74,43,89,62,77,45,58,48,90,75,96,81,51,37,80,60,76,75,48,48,62,88,45,83,55,75,95,47,59,53,95,75,79,45,74,74,65,43,70,66,84,90,87,97,67,59,82,91,84,85,46,87,75,38,90,97,95,53,32,80,37,75,38,47,35,96,51,69,85,54,97,37,44,86,78,63,57,69,87,78,42,89,45,89,82,57,55,74,48,82,34,72,92,36,77,71,54,38,73,87,69,35,92,94,50,37,36,95,80,53,72,91,54,85,48,57,73
38,53,44,81,87,98,64,49,64,53,77,92,31,77,59,49,78,54,59,79,86,75,56,55,42,51,30,85,84,62,71,47,83,86,49,93,82,88,91,84,86,54,89,75,53,57,54,58,80,74,77,71,55,51,63,64,77,77,35,59,65,45,63,31,48,96,35,52,46,31,71,62,45,90,73,68,79,86,91,31,39,77,87,49,62,39,70,93,65,77,78,32,78,66,73,87,76,58,92,86,42,49,82,52,75,77,32,91,81,91,88,44,43,89,71,78,93,52,44,58,98,36,96,33,52,41,35,96,69,51,59,64,89,37,43,33,88,41,77,77,49,44,42,52,83,82,54,46,78,31,32,90,85,35,90,78,61,91,35,53,93,84,86,62,31,46,85,52,74,69,30,56,68,33,96,95,94,57,59,89,97,69,70,90,36,83,37,65,59,55,65,40,56,33,94,93,50,95,88,68,68,59,56,75,52,81,48,36,94,56,82,89,60,74,37,72,71,74,32,55,60,47,34,76,82,67,60,79,82,39,78,90,52,42,92,38,46,79,61,88,90,77,34,83,47,62,84,78,49,61,70,93,46,89,59,72,84,69,93,70,88,40,93,97,92,75,62,40,36,93,72,72,64,93,42,85,95,79,48,79,85,44,65,57,31,46,96,74
38,53,93,77,91,83,53,89,93,75,49,96,96,39,41,63,89,40,47,59,77,84,62,85,92,80,83,79,87,31,83,55,46,94,64,85,37,64,70,95,73,30,87,71,87,88,45,43,67,65,69,70,83,42,79,97,59,90,57,30,69,79,67,34,96,72,53,74,33,42,75,81,32,98,58,42,78,74,59,46,70,49,79,63,53,33,74,97,43,30,96,62,58,83,66,59,44,93,95,74,35,76,98,67,52,53,68,38,57,44,65,32,74,62,86,41,40,97,51,84,96,71,84,70,44,34,45,70,84,37,52,90,66,65,38,50,34,62,59,71,33,87,96,85,76,51,86,82,81,74,88,76,54,79,71,68,44,82,55,65,47,78,78,80,69,57,34,44,64,54,72,56,41,58,55,62,44,93,51,32,36,86,34,87,38,70,48,65,66,36,40,59,71,47,85,78,87,79,52,55,68,43,91,98,66,53,33,61,33,41,69,57,59,36,65,70,48,49,91,48,75,54,79,87,59,66,68,59,43,84,82,65,33,95,59,84,92,62,60,91,64,73,44,37,69,60,71,50,37,81,49,76,59,88,64,71,63,32,65,40,92,71,52,55,59,60,80,98,58,50,91,82,68,80,71,59,73,38,73,97,51,36,80,42,90,92,94,49
80,87,97,91,94,64,86,51,33,59,92,49,52,43,46,84,43,37,78,60,69,44,88,82,61,86,51,52,80,92,38,48,80,44,77,81,80,85,36,79,68,36,41,70,77,63,53,82,38,33,53,32,44,78,65,60,41,33,94,45,48,55,38,87,51,58,90,58,77,71,44,76,68,73,32,58,36,75,46,89,77,58,82,55,81,59,77,64,71,96,78,42,46,79,52,32,92,36,42,93,48,46,64,86,74,71,85,55,85,32,72,75,39,93,93,55,52,41,43,60,73,85,30,78,79,84,86,78,98,85,95,40,89,35,69,73,74,50,91,39,74,97,43,63,40,43,87,86,59,83,58,76,79,52,35,48,90,75,93,49,61,84,83,48,79,96,92,74,65,51,41,70,70,85,46,68,55,38,50,35,88,59,32,75,93,70,30,55,85,66,65,52,64,69,47,30,50,48,97,55,31,43,30,54,61,60,48,73,36,85,95,80,97,96,37,87,92,63,40,44,46,44,34,95,47,69,93,49,88,34,80,71,57,54,91,62,43,64,39,33,44,41,58,93,49,33,42,34,50,68,96,66,61,62,87,72,32,48,96,92,83,98,46,55,77,53,97,58,90,31,69,70,78,39,37,43,74,54,98,76,60,36,42,30,43,77,43,58
47,90,55,35,78,40,74,43,78,45,35,58,97,70,88,35,68,56,83,64,34,35,46,49,64,81,54,90,52,35,96,68,50,37,68,55,51,70,93,84,97,49,36,58,36,60,88,62,63,47,63,53,66,51,66,90,84,74,46,70,45,75,30,72,71,91,72,63,57,43,91,77,75,39,85,83,75,97,63,73,98,54,38,68,52,51,61,52,88,33,76,95,61,40,34,80,98,82,65,95,59,81,30,76,52,43,89,62,42,75,68,30,80,45,88,81,69,82,38,69,40,86,50,30,54,43,64,72,44,55,40,46,84,62,94,57,45,35,35,98,71,61,80,30,83,97,50,89,90,53,87,54,92,34,55,75,68,33,81,58,83,65,55,32,36,54,66,50,68,97,50,85,74,69,87,91,64,94,58,41,90,32,76,71,69,90,81,47,44,44,71,76,45,88,68,63,44,41,94,79,32,40,64,83,74,65,84,49,87,66,61,51,82,96,83,91,34,56,41,76,45,76,59,77,66,33,45,87,70,74,68,33,45,40,93,82,71,87,49,94,80,69,95,47,61,39,87,47,82,79,59,96,53,90,84,59,61,34,60,61,36,66,46,83,72,65,77,68,58,35,48,77,46,44,40,53,90,69,38,34,46,70,88,89,65,42,39,73
