ESU10102,ESU10103,ESU10104,ESU10106,ESU10107,ESU10109,ESU10110,SSU10102,SSU10103,SSU10105,SSU10106,SSU10108,SSU10109,CSU10102,CSU10103,CSU10105,CSU10106,CSU10108,CSU10109,GNT10102,GNT10103,GNT10105,GNT10106,CGS10102,CGS10103,CGS10105,CGS10106,CGS10108,CGS10109,GRC10102,GRC10103,GRC10104,GRC10106,GRC10107,GRC10109,GRC10110,ERM10102,ERM10103,ERM10105,ERM10106,ERM10108,ERM10109,AUD10102,AUD10103,AUD10105,AUD10106,AUD10108,AUD10109,POL10102,POL10103,POL10105,POL10106,POL10108,POL10109,REG10102,REG10103,REG10105,REG10106,REG10108,REG10109,ETI10102,ETI10103,ETI10105,ETI10106,ETI10108,ETI10109,CGV10102,CGV10103,CGV10105,CGV10106,CGV10108,CGV10109,IGV10102,IGV10103,IGV10105,IGV10106,IGV10108,IGV10109,CPI10102,CPI10103,CPI10105,CPI10106,CPI10108,CPI10109
88,77,76,92,76,85,91,88,92,90,89,78,79,91,82,95,89,94,80,87,92,95,77,94,80,89,76,90,88,84,76,96,98,81,88,81,91,77,94,78,91,92,82,91,95,90,91,78,80,85,96,98,80,98,93,98,81,84,76,79,91,97,85,79,92,97,91,95,77,84,93,90,93,78,85,87,76,84,85,95,82,95,75,96
89,81,76,79,84,89,83,92,94,79,91,96,91,81,96,83,85,96,79,97,92,83,98,79,96,91,82,84,98,79,94,80,85,96,83,95,88,81,79,75,81,87,94,97,88,87,83,85,84,82,95,88,78,77,81,75,80,77,86,88,94,95,84,98,97,84,77,89,79,80,88,92,82,94,81,89,80,97,82,92,81,82,84,97
97,93,77,84,88,89,77,78,86,91,98,86,98,77,91,89,81,81,90,92,80,85,76,81,94,84,88,77,87,79,90,82,91,81,87,79,85,87,87,98,82,96,86,80,89,81,89,97,91,85,98,97,90,94,79,78,97,79,87,92,98,93,79,75,97,81,91,78,83,96,79,78,77,97,85,90,96,92,87,88,82,81,93,87
97,97,78,94,77,95,98,78,92,77,83,78,83,86,95,81,77,82,96,82,85,98,76,83,85,91,75,98,98,87,90,89,86,86,84,87,82,92,75,79,80,76,80,88,82,80,85,82,77,87,82,78,82,81,93,96,79,80,88,84,95,95,83,93,87,78,95,80,87,75,86,96,96,76,89,75,89,86,84,92,95,77,96,98
96,81,78,94,93,77,82,92,84,82,88,87,80,77,85,88,91,91,81,95,87,81,93,98,75,93,98,98,94,76,81,98,80,84,96,84,94,98,95,90,97,94,95,91,84,88,89,92,82,79,96,75,81,92,96,79,82,84,75,87,91,84,83,90,78,98,80,83,83,80,78,85,89,78,96,85,85,95,97,93,75,79,89,98
97,80,82,92,84,98,88,87,87,92,82,77,94,93,94,82,87,78,78,83,79,85,83,77,92,98,79,82,83,79,90,90,79,77,98,86,92,90,80,92,85,77,82,94,80,81,90,82,75,84,77,78,82,78,86,78,76,84,84,89,76,95,77,91,90,94,91,82,82,88,79,82,93,92,98,77,97,83,92,89,96,76,84,75
85,79,94,90,83,83,77,87,81,94,89,98,97,81,93,94,77,84,89,84,80,96,81,75,93,97,91,96,81,88,86,79,98,78,97,90,84,87,96,96,80,85,85,84,89,98,75,93,98,86,76,86,98,90,78,89,97,97,79,98,97,83,98,85,97,83,79,81,92,93,95,76,83,91,96,80,85,85,80,85,83,75,81,97
91,88,80,88,81,85,96,86,87,87,92,84,84,75,97,98,82,90,89,81,93,81,84,80,82,93,83,88,77,85,75,75,92,76,92,77,75,94,90,75,92,78,94,76,88,79,96,85,82,77,91,81,98,87,87,77,81,77,98,79,84,78,93,78,95,77,77,96,98,78,78,86,87,96,93,78,79,86,98,83,82,98,75,82
84,96,94,85,94,78,78,88,86,96,92,94,77,76,89,88,82,94,77,98,78,94,87,92,85,89,88,87,92,76,80,88,91,80,86,94,75,93,90,89,85,80,94,97,75,96,82,83,93,89,83,93,93,95,84,81,75,75,82,92,76,87,98,89,78,81,80,83,76,85,86,94,98,86,82,81,92,88,84,79,78,97,84,83
77,81,92,83,78,92,80,91,79,87,96,96,89,97,90,91,79,90,93,77,96,97,80,97,76,77,89,97,80,87,81,85,82,85,98,81,86,84,90,87,92,88,82,77,87,76,78,88,96,87,97,83,86,78,75,78,84,93,77,87,98,85,98,85,89,96,82,77,94,94,90,76,80,83,92,97,98,83,85,94,95,94,98,94
91,87,84,83,75,79,79,87,87,80,92,96,89,85,78,82,80,82,80,91,83,87,87,87,98,75,85,84,80,96,92,87,83,75,88,90,95,85,78,76,97,96,77,97,76,86,78,98,83,93,95,82,92,94,97,94,77,84,87,87,90,94,85,93,85,98,98,95,87,80,97,82,88,76,84,92,86,87,93,98,97,86,95,88
86,85,91,81,78,89,83,87,96,86,98,89,85,80,82,95,85,87,83,88,85,94,79,81,92,80,97,91,78,97,88,89,97,83,82,84,90,97,87,83,90,75,93,81,87,85,96,77,89,82,93,96,85,94,79,91,84,83,85,78,87,97,87,84,96,76,89,95,94,76,86,98,84,97,79,86,94,96,88,92,88,91,76,90
75,91,88,97,89,85,87,98,91,76,90,75,91,80,88,94,90,92,97,96,91,87,95,95,77,97,79,93,89,97,95,76,90,91,85,97,97,75,90,86,76,91,83,90,88,75,89,95,76,82,87,90,84,90,84,75,92,98,94,89,80,96,92,96,86,97,77,84,94,88,85,89,79,85,86,96,89,75,94,80,91,91,79,93
83,94,93,82,86,87,93,83,93,80,94,93,96,77,76,92,81,95,80,93,75,82,92,92,90,92,85,81,76,82,79,93,76,86,86,88,88,95,86,85,93,89,77,88,85,96,84,96,91,98,75,81,79,97,88,92,88,78,75,79,80,92,97,90,96,80,84,88,79,95,81,85,87,82,96,83,75,85,91,91,97,78,96,79
84,93,75,88,75,82,95,75,82,96,85,75,84,94,75,97,86,82,87,89,76,77,82,90,76,98,93,89,92,83,78,90,77,81,92,88,97,95,97,97,94,83,93,93,77,94,96,84,80,78,86,86,84,85,97,76,95,96,96,91,97,77,84,76,97,78,93,94,91,88,97,75,89,76,76,77,80,81,78,98,89,96,83,83
94,92,95,79,86,77,84,82,91,83,81,93,98,82,91,94,87,88,84,82,76,93,75,92,92,98,85,98,96,97,80,76,98,85,75,84,95,87,81,96,90,87,76,93,94,94,83,92,78,75,89,94,88,87,96,87,91,82,78,76,84,75,77,90,84,80,93,78,83,98,84,85,80,84,98,89,81,89,86,85,77,91,87,96
88,78,95,78,76,96,82,81,86,77,91,79,98,80,95,80,96,77,89,96,93,90,95,91,92,76,93,79,93,93,84,85,91,81,89,88,93,84,89,84,84,96,83,94,90,97,82,93,84,83,95,89,91,85,97,91,96,95,86,77,83,87,83,97,81,93,98,92,88,84,86,77,93,95,79,88,97,76,92,80,88,94,94,87
85,89,89,80,75,92,85,85,86,87,90,85,82,86,75,94,80,75,83,90,94,78,76,88,85,78,86,79,75,78,77,77,92,89,76,95,95,87,81,91,77,93,98,80,90,98,82,85,96,85,81,79,90,88,80,82,90,93,89,85,84,90,97,87,93,75,94,91,84,92,90,93,78,80,90,96,97,87,90,81,79,93,97,76
76,75,77,83,88,95,85,80,98,78,93,95,92,95,98,87,94,83,91,96,77,82,86,78,92,97,85,89,82,87,75,89,97,78,91,96,85,82,84,98,76,76,84,85,75,91,77,96,92,75,78,79,82,89,86,88,91,95,88,77,85,81,94,77,98,87,97,85,83,84,85,91,93,84,92,83,86,77,80,82,81,93,84,87
88,81,84,93,75,87,96,93,78,75,97,81,95,97,92,77,87,91,82,88,90,97,87,84,94,91,86,80,93,78,96,80,87,93,91,90,82,91,84,98,91,98,90,80,98,77,78,77,98,80,89,87,87,87,96,88,96,92,96,83,80,84,80,92,87,92,94,97,97,75,86,94,93,87,91,75,89,98,82,86,83,75,98,97
90,98,85,85,79,89,85,84,96,87,84,89,82,90,75,79,88,84,92,89,86,76,91,86,76,86,93,87,80,88,85,81,98,94,94,94,96,93,76,79,80,90,86,79,86,97,96,84,79,82,96,79,79,76,80,84,97,87,85,92,95,96,83,89,96,86,93,81,92,85,77,98,75,84,76,94,79,77,88,97,90,88,90,94
80,78,83,78,97,78,98,86,92,90,91,83,98,80,87,90,82,83,79,81,82,80,96,77,94,87,78,86,75,86,91,96,98,91,79,90,98,85,83,77,86,94,75,80,90,96,85,95,95,87,93,79,94,94,97,80,77,93,97,83,79,79,85,88,93,91,95,76,78,82,86,89,86,75,76,83,94,89,80,75,97,81,75,77
95,85,95,85,94,85,94,97,95,76,86,90,85,86,81,80,81,95,84,84,82,89,89,93,91,75,89,77,75,96,80,84,81,91,87,81,78,80,83,82,93,84,76,86,84,92,78,83,76,90,85,83,88,80,94,75,81,79,77,97,82,96,83,89,98,77,88,98,78,83,84,80,84,82,84,97,95,80,98,96,85,75,92,76
84,86,77,97,78,79,78,77,82,90,88,84,96,98,78,79,81,98,75,84,94,97,88,89,76,90,80,82,91,94,85,75,88,78,77,93,91,81,85,84,78,87,87,77,87,91,76,89,83,92,82,85,89,79,96,78,85,85,85,89,92,97,76,94,83,78,96,98,86,78,84,82,86,87,79,75,86,89,79,76,90,88,87,84
77,86,93,87,87,83,92,82,98,76,94,91,78,78,96,86,81,91,94,75,77,78,95,80,80,89,91,93,93,95,79,94,77,87,90,81,90,91,98,92,80,84,92,87,91,95,77,77,86,77,93,78,77,75,83,85,81,84,77,82,97,97,85,76,82,98,76,90,79,97,78,81,85,86,75,98,97,85,95,85,82,78,92,89
78,91,76,75,96,75,91,83,81,97,81,86,83,76,81,86,94,87,86,86,97,76,92,88,94,81,92,80,92,98,88,82,84,90,94,76,87,84,92,75,87,75,97,77,85,76,93,97,88,97,86,88,97,98,83,80,93,94,93,94,84,81,77,82,94,78,98,86,91,76,77,80,85,79,97,88,84,93,98,86,78,81,86,80
77,93,83,75,79,81,91,89,88,76,95,88,80,95,92,95,86,89,86,89,91,91,93,93,77,79,97,76,87,86,96,81,83,88,96,92,96,84,79,77,89,98,88,75,81,75,97,75,89,94,86,88,91,98,94,95,90,94,95,78,87,87,84,83,85,97,79,90,85,76,84,84,80,85,86,90,96,80,76,86,76,91,98,87
92,92,80,90,81,95,93,80,86,94,98,95,98,82,82,93,95,83,82,91,81,97,77,96,90,90,79,76,98,97,96,96,80,84,94,91,80,78,78,83,90,96,78,84,95,79,95,82,76,88,79,91,93,98,79,79,80,92,82,95,98,98,82,81,94,90,97,75,81,89,87,98,86,83,91,80,96,98,98,83,96,86,79,89
90,86,81,86,96,87,86,75,84,81,77,75,96,79,79,92,87,85,78,87,89,89,87,94,75,98,86,95,88,86,96,94,76,93,93,77,79,97,96,76,87,93,77,98,96,78,90,77,86,92,94,76,76,87,97,89,85,83,77,82,90,96,89,81,78,93,91,92,88,92,95,91,93,94,80,77,81,84,92,98,77,93,77,92
76,93,95,81,98,95,96,90,91,94,84,88,88,75,80,96,97,87,95,92,77,95,77,88,77,89,89,86,93,80,89,78,93,92,92,80,78,85,93,78,77,95,84,85,93,76,76,76,77,88,90,84,95,82,93,78,84,83,94,96,75,96,94,87,76,97,81,93,81,81,96,86,86,84,88,89,84,77,92,94,85,85,87,79
91,82,83,78,78,91,80,96,88,78,89,88,93,77,80,86,94,94,76,78,88,88,87,81,85,89,87,93,89,97,81,90,84,95,76,89,89,83,88,96,94,92,89,96,88,80,97,76,96,87,76,78,77,86,75,75,80,90,78,77,96,78,84,76,78,75,79,89,86,87,94,94,87,88,91,94,88,86,89,84,78,90,98,95
82,89,81,80,80,76,92,97,85,78,97,82,90,79,83,97,91,87,96,97,84,87,78,88,91,95,78,96,89,78,91,93,75,94,75,95,90,83,75,87,87,94,88,81,88,80,92,83,84,95,85,86,82,87,75,92,84,94,75,90,78,87,81,97,79,88,91,92,98,98,94,96,98,98,88,77,92,94,95,84,82,82,96,96
92,93,88,79,88,83,94,82,78,89,81,91,90,91,83,85,96,96,92,77,94,86,97,83,77,79,98,78,82,89,76,95,79,78,95,92,95,83,82,89,86,98,80,81,83,76,78,77,84,97,89,98,98,95,87,81,89,93,92,93,85,93,87,94,92,83,95,89,81,95,86,81,76,95,89,91,78,92,89,93,76,98,88,92
86,87,87,78,96,91,92,87,89,96,81,93,94,89,88,80,86,95,90,85,89,89,96,85,79,76,86,93,75,81,89,93,92,75,94,90,82,86,87,80,82,84,79,81,89,97,91,89,92,75,75,98,78,80,81,94,90,94,90,92,97,84,97,89,82,80,76,91,86,81,82,78,78,98,88,82,91,91,83,90,89,75,95,98
97,98,79,86,81,79,76,81,87,91,80,78,77,77,82,91,95,88,98,92,80,97,91,88,78,85,77,98,76,80,85,77,84,83,85,80,95,86,93,96,98,80,85,83,89,87,83,97,96,96,82,82,79,93,86,91,77,83,86,83,89,75,93,98,88,87,97,82,75,93,88,93,97,88,82,80,85,78,92,90,83,93,95,85
89,81,91,83,95,82,87,90,81,92,78,85,82,79,84,89,94,94,94,90,95,88,86,86,91,98,76,94,77,96,80,79,97,97,78,76,84,81,84,76,90,75,79,81,78,95,94,94,92,84,98,79,88,94,75,81,81,91,91,93,81,95,98,91,78,78,96,76,95,84,96,86,78,88,98,86,80,80,78,81,97,77,82,92
90,76,93,80,94,80,81,83,83,95,93,94,89,95,80,89,76,79,97,79,83,80,75,85,75,80,94,81,77,97,85,76,90,86,85,92,93,81,97,83,76,78,82,83,80,84,81,82,79,93,78,88,92,77,98,95,76,83,91,77,85,83,78,81,76,75,84,80,97,87,75,79,81,97,91,90,81,83,97,94,97,93,79,81
91,98,97,78,94,90,81,79,98,89,80,88,77,91,82,92,78,88,78,82,89,93,91,81,80,98,83,96,86,92,76,86,85,89,80,84,91,86,77,92,80,96,82,89,93,86,77,98,78,93,93,98,81,80,84,80,97,97,95,79,83,75,86,86,96,76,84,93,94,81,94,94,94,77,84,94,79,90,76,76,89,96,79,98
87,80,92,75,81,90,86,82,96,95,89,97,80,87,90,84,88,93,87,91,85,88,83,92,85,97,75,87,83,95,93,83,79,92,88,82,94,82,86,96,75,80,86,81,92,86,90,93,92,91,87,79,76,85,92,96,93,76,76,94,92,88,97,97,92,87,92,90,97,98,90,90,86,81,81,81,88,83,93,83,83,78,88,81
90,91,77,77,88,75,89,87,95,88,90,85,95,87,75,79,92,92,84,87,82,84,97,76,88,84,91,89,90,95,86,95,94,80,96,81,79,91,83,80,96,97,82,75,98,88,83,80,89,80,88,90,88,78,78,86,88,96,76,87,86,84,97,95,79,86,77,90,91,94,81,87,96,95,79,89,89,81,91,98,85,91,98,94
75,93,95,83,77,83,86,87,83,92,77,79,89,86,93,91,83,88,86,85,85,95,78,79,97,82,75,97,96,83,98,89,96,91,87,78,81,95,96,85,94,79,92,80,89,94,94,96,87,84,82,90,86,96,84,93,78,86,89,77,87,89,92,82,87,86,92,81,77,90,76,83,96,79,91,89,90,94,85,85,90,88,98,82
97,81,79,93,96,95,80,86,78,88,93,96,97,78,96,75,79,84,87,86,81,94,76,86,91,81,93,90,91,76,93,88,88,77,80,96,89,90,78,92,81,88,96,86,80,89,86,98,95,76,80,97,83,94,94,97,92,84,89,87,95,88,85,84,82,97,77,79,92,78,86,78,95,81,88,89,93,96,95,77,94,96,76,88
85,93,92,75,96,77,80,75,81,95,98,84,87,85,81,86,82,78,85,83,88,84,78,85,93,76,89,96,76,94,85,82,86,89,86,95,84,90,85,87,80,77,78,97,98,91,78,75,76,87,91,91,92,94,84,86,91,98,75,89,77,92,84,77,95,97,82,97,80,89,90,78,89,84,90,84,91,84,85,76,95,87,89,89
95,97,89,82,80,78,81,79,83,89,97,89,86,78,86,98,81,97,96,86,89,87,75,79,93,81,98,88,96,86,79,86,88,90,88,77,81,95,91,79,88,94,84,86,83,81,75,82,85,87,76,77,91,93,96,76,76,82,90,75,95,75,79,97,85,88,89,86,95,93,79,80,97,91,79,95,80,82,77,82,77,83,88,97
88,92,79,84,87,84,87,80,75,93,82,77,94,89,84,97,97,85,98,79,77,96,83,75,94,85,76,79,76,87,77,96,85,86,97,88,80,85,84,95,81,87,86,81,83,75,81,79,85,79,85,78,84,82,75,94,89,97,93,80,96,88,75,94,98,77,81,95,91,83,78,80,79,84,96,97,80,83,97,94,80,94,77,84
94,95,88,78,89,75,96,90,90,83,95,87,98,88,79,80,81,89,78,96,82,75,86,95,93,79,84,97,98,89,81,90,86,91,89,91,98,96,91,89,95,78,95,87,98,75,94,81,80,91,82,91,86,95,98,83,90,93,80,86,89,86,88,80,87,84,76,81,97,83,78,98,81,95,95,81,90,83,75,84,80,78,90,88
76,87,89,83,97,79,75,95,78,87,96,87,87,89,94,88,96,98,92,89,79,77,89,97,83,88,89,96,77,95,77,80,77,92,77,81,81,89,84,79,96,90,80,95,75,85,83,89,96,77,93,87,87,85,77,85,89,79,85,76,75,81,87,85,87,91,93,76,77,81,78,90,96,94,86,91,91,94,87,79,80,78,92,79
92,83,86,77,95,80,91,82,83,78,95,83,77,84,86,90,96,83,75,91,91,84,82,95,80,82,92,85,97,92,94,85,92,83,91,96,86,98,96,78,97,92,78,81,94,80,98,79,90,83,89,89,77,75,93,92,81,94,76,91,75,89,78,79,77,78,97,75,84,96,82,77,75,94,89,83,75,77,95,78,96,85,84,75
98,92,81,91,94,98,80,88,98,89,81,98,86,78,83,98,87,83,77,97,84,98,86,85,85,80,97,89,90,94,85,98,76,97,87,87,83,85,87,79,78,86,86,91,77,77,78,78,89,90,75,89,91,87,82,92,92,75,89,76,92,92,80,87,92,90,75,79,86,76,87,98,91,94,79,95,91,77,82,75,96,95,91,82
81,87,92,83,85,80,92,96,75,79,84,96,81,98,89,83,94,87,85,92,75,82,78,81,77,96,90,88,90,88,83,76,79,83,94,91,77,97,94,89,90,79,98,85,93,78,75,78,75,88,84,76,75,85,86,88,75,94,79,96,83,92,94,91,82,90,75,94,92,95,87,89,93,75,98,83,91,95,92,84,81,92,84,87
78,78,90,95,81,90,91,75,98,84,79,90,98,98,88,82,84,87,81,96,93,86,84,82,86,98,96,92,95,91,79,84,88,80,82,85,75,95,79,87,90,97,75,90,97,97,83,76,80,76,77,83,88,91,97,80,91,95,91,97,82,88,97,87,89,86,82,85,77,86,81,94,91,95,75,92,96,94,89,79,98,84,85,98
76,79,84,94,89,86,91,77,95,94,92,90,87,82,81,88,79,91,76,94,87,81,83,78,82,81,88,76,88,79,91,79,79,79,77,76,88,81,97,96,95,86,83,84,89,88,75,88,88,90,77,86,86,95,95,95,92,89,91,78,98,76,95,88,88,84,80,83,92,90,89,94,91,82,79,78,95,81,83,95,94,92,83,84
89,88,94,87,98,76,87,91,96,78,93,97,77,80,80,88,81,96,92,88,98,94,80,76,98,94,77,91,90,84,86,75,81,97,88,83,92,81,80,98,94,89,88,76,92,76,88,88,80,85,77,94,91,87,82,77,84,90,82,82,79,75,98,79,83,79,79,90,75,78,78,84,75,78,76,76,82,95,94,90,97,76,84,98
89,81,82,82,85,75,80,96,75,78,89,88,94,75,89,91,79,88,81,95,93,80,82,97,94,91,87,94,92,80,91,87,96,76,87,79,96,77,97,92,91,97,92,91,90,76,92,90,84,77,94,98,82,77,84,77,90,89,94,78,90,88,85,94,79,77,87,75,96,98,77,84,77,77,98,88,87,96,79,89,83,88,77,86
80,87,92,95,77,93,75,82,95,95,76,75,97,76,78,86,95,97,77,87,76,95,88,96,83,75,77,82,89,79,86,79,96,89,88,84,77,83,91,83,80,96,97,84,79,98,87,87,79,87,81,87,81,98,93,91,94,92,96,81,79,76,96,78,98,75,79,86,77,87,81,80,76,91,86,98,95,81,81,81,87,95,90,87
77,75,78,80,93,82,91,80,97,84,95,85,86,84,94,93,98,96,80,96,84,84,87,78,75,79,79,87,93,91,92,88,77,97,90,85,76,96,98,98,86,78,91,86,82,81,82,81,95,94,78,84,78,77,96,93,84,90,93,81,78,95,82,75,95,90,82,90,89,89,78,77,96,93,92,75,78,88,81,78,79,92,75,96
76,81,90,83,93,90,75,76,96,91,90,81,87,92,83,93,76,79,82,77,90,84,90,94,79,84,81,80,87,87,86,83,94,91,97,80,87,82,86,95,96,77,92,81,97,94,81,86,90,85,91,84,88,95,92,88,82,96,79,78,75,87,92,82,89,94,75,79,77,92,90,81,98,90,96,75,83,82,82,78,80,80,86,76
75,89,84,87,81,78,90,91,97,76,84,80,84,89,89,81,84,88,78,95,80,89,81,75,95,91,85,78,90,95,85,86,79,79,85,77,93,83,80,92,96,81,86,88,90,89,83,81,87,89,75,85,86,92,96,85,75,80,93,94,84,85,98,92,75,83,89,82,82,90,97,84,84,84,83,77,94,85,83,92,77,80,82,79
98,98,76,97,87,75,94,92,92,79,91,76,98,93,84,83,75,83,87,84,81,79,75,84,81,89,94,90,95,77,92,91,91,87,92,92,98,83,85,94,88,82,96,90,77,92,90,91,81,90,98,93,93,93,87,81,92,91,83,94,75,86,82,94,79,95,80,89,78,82,85,76,97,77,77,90,95,93,84,97,92,83,80,85
98,80,90,80,76,83,98,93,76,98,76,93,75,92,95,89,89,81,98,89,95,86,93,97,82,88,78,75,81,84,76,76,95,79,77,92,81,81,91,98,85,92,75,80,96,76,94,97,97,98,85,96,92,88,86,90,75,95,86,94,75,84,96,93,86,84,84,77,91,77,97,84,85,97,97,77,77,88,79,91,76,75,84,87
86,98,98,93,98,83,87,91,78,85,92,93,96,86,94,86,79,98,79,82,78,91,86,95,78,98,85,76,85,97,89,92,86,81,79,98,98,82,94,89,77,85,79,96,89,91,86,85,97,77,77,83,91,94,75,95,79,81,83,93,88,89,82,80,87,95,87,96,98,78,91,94,84,76,94,89,77,76,89,75,97,96,91,91
97,97,86,76,83,87,85,78,88,91,83,86,89,81,79,81,86,83,78,83,83,98,77,77,84,86,91,84,80,95,87,76,80,79,82,77,81,76,88,92,76,75,95,91,96,87,95,89,96,84,91,86,97,94,78,88,80,95,95,93,85,91,98,93,93,82,80,76,89,93,85,76,79,81,86,83,81,87,97,95,77,84,82,93
78,94,92,82,91,81,95,97,81,95,81,95,94,86,76,77,76,82,94,86,81,90,96,88,94,85,91,79,96,80,97,88,97,94,88,97,94,79,87,83,85,97,84,77,88,77,81,86,94,88,87,86,97,76,78,94,81,96,82,90,78,89,84,94,85,96,90,97,78,86,88,79,89,80,86,78,97,97,90,86,82,80,89,81
78,92,81,81,85,94,93,90,85,92,94,84,87,90,75,88,92,83,76,75,89,83,77,98,90,95,96,79,90,77,98,79,93,77,91,76,96,75,86,96,80,82,82,92,94,93,92,96,98,97,80,77,87,82,90,80,88,90,83,90,94,83,77,85,79,84,92,75,89,75,77,82,82,94,80,91,98,84,89,94,77,75,76,97
97,87,92,90,75,97,91,84,77,75,79,93,80,75,85,78,77,92,77,91,76,75,86,76,93,78,79,94,78,92,84,77,85,92,92,84,85,87,92,81,80,95,84,85,78,81,92,82,87,90,77,92,80,76,81,93,94,87,80,91,97,92,92,96,98,87,83,84,93,90,97,92,91,98,82,86,95,75,76,93,94,82,85,92
86,96,85,75,94,82,82,95,75,82,94,85,81,84,84,89,96,94,84,80,85,77,79,80,94,83,83,93,91,94,80,90,87,96,85,77,95,82,94,87,94,87,93,87,78,79,91,79,95,82,95,91,76,95,77,79,92,87,89,91,92,87,80,97,80,86,98,96,84,77,98,97,82,91,93,78,76,76,98,98,82,92,85,77
75,96,97,88,96,83,91,75,82,78,84,82,88,98,79,95,84,93,78,95,75,92,81,97,79,93,77,91,97,81,94,80,91,98,82,82,95,96,92,88,75,88,94,83,82,90,96,76,88,92,83,81,86,95,77,76,81,78,95,79,83,88,85,88,79,84,93,90,83,94,94,97,91,94,98,80,81,83,96,85,94,96,90,77
