LIN10102,LIN10103,LIN10104,LIN10106,LIN10107,LIN10108,LIN10110,LIN10111,API10102,API10103,API10104,API10106,API10107,API10108,API10110,API10111,API10112,API10114,API10115,API10116,API10118,API10119,API10120,API10122,API10123,API10124,API10126,API10127,API10128,BRP10102,BRP10103,BRP10104,BRP10106,BRP10107,BRP10108,BRP10110,BRP10111,BRP10112,BRP10114,FUL10102,FUL10103,FUL10104,FUL10105,FUL10107,FUL10108,FUL10110,FUL10111,FUL10112,FUL10113,ASI10102,ASI10103,ASI10104,ASI10106,ASI10107,ASI10108,ASI10109,ASI10110,ASI10112,ASI10113,APM10102,APM10103,APM10104,APM10105,APM10107,APM10108,APM10110,APM10111,APM10112,APM10114,AII10102,AII10103,AII10104,AII10106,AII10107,AII10108,AII10110,AII10111,AII10112,AII10114,AII10115,AII10116,AII10118,AII10119,AII10120,AII10122,AII10123,AII10124,AII10126,AII10127,AII10128
92,38,94,50,70,61,64,42,83,86,91,43,44,74,87,94,88,62,86,57,64,58,85,34,95,98,80,96,76,75,89,35,49,89,61,98,98,44,78,90,77,91,75,95,33,36,71,33,61,75,31,62,53,31,80,57,61,94,33,74,55,76,57,68,33,46,31,35,41,41,50,76,75,49,39,38,44,42,96,47,76,37,48,54,39,64,35,65,30,77
79,89,91,37,81,91,57,32,42,57,30,94,88,97,44,40,84,71,41,40,38,37,55,62,54,42,70,70,49,57,85,98,95,38,65,76,49,85,63,72,42,93,55,33,82,82,33,94,81,35,72,67,96,35,56,65,61,59,76,94,85,32,71,51,81,82,76,84,43,38,31,74,57,33,62,60,34,54,56,44,95,73,79,49,58,70,76,78,53,70
98,36,72,92,57,82,58,32,42,72,69,79,50,30,75,84,48,75,37,73,59,48,55,38,89,71,55,73,44,56,96,84,96,58,38,85,80,47,79,97,67,54,67,91,85,35,97,48,92,41,49,30,36,36,86,51,34,68,55,30,64,88,66,91,79,56,50,33,39,48,31,69,56,39,37,47,53,70,97,34,92,64,41,84,78,78,98,57,74,90
88,46,43,41,92,61,62,57,71,47,64,63,57,80,60,46,79,36,79,77,40,49,77,79,81,46,35,82,89,65,98,51,47,96,75,68,55,74,88,47,67,80,84,51,44,60,31,33,71,80,61,65,64,89,37,40,49,69,72,91,75,40,89,52,76,64,86,45,48,62,72,39,69,61,69,40,92,38,53,36,84,53,86,49,43,61,64,63,61,63
46,80,57,68,31,45,30,41,71,56,52,97,38,70,36,71,62,65,53,79,57,40,79,58,88,69,84,74,31,84,44,68,93,94,88,31,96,38,86,68,70,53,58,37,84,37,98,42,55,50,83,87,50,63,62,35,81,91,57,30,63,96,93,84,72,66,85,51,34,45,88,35,34,36,85,64,68,52,94,58,40,56,53,39,82,30,41,61,55,85
67,73,71,46,69,77,40,53,81,81,42,90,73,47,40,39,61,98,36,76,48,98,57,50,70,71,53,68,82,73,53,88,49,91,65,86,50,85,40,84,82,76,73,41,84,68,38,59,68,82,78,61,82,34,32,76,64,63,35,96,39,61,92,86,56,36,68,48,32,61,85,55,92,73,96,87,94,49,94,35,98,75,45,63,31,72,45,37,48,53
53,70,73,55,50,45,94,76,32,65,36,78,48,38,73,90,54,64,79,49,89,98,41,41,88,32,84,34,91,59,86,84,41,56,80,84,94,93,54,37,60,64,63,65,63,48,69,32,54,56,77,97,76,32,95,57,88,45,37,62,82,78,30,45,92,88,87,84,48,40,36,69,79,86,81,42,66,82,79,64,63,38,60,32,55,59,81,39,43,34
30,66,89,31,42,76,62,34,38,74,86,76,75,87,83,59,81,38,37,32,89,72,98,90,57,97,84,82,71,56,94,86,89,64,76,33,38,87,52,79,31,95,52,97,69,30,74,85,33,42,76,36,63,52,59,89,46,87,58,73,93,96,96,32,75,58,58,92,92,77,91,62,76,93,52,57,30,59,77,46,70,43,81,87,53,35,78,78,48,54
32,46,69,54,33,54,37,70,60,63,67,74,86,76,90,75,66,35,92,98,80,69,85,80,34,63,42,77,42,68,66,34,71,79,76,62,31,48,60,90,44,82,82,88,85,72,69,97,67,44,70,88,57,58,62,51,71,56,66,44,53,92,71,50,53,34,55,69,36,71,58,36,46,66,93,68,30,65,86,49,43,78,93,72,66,33,85,41,40,33
62,51,74,94,84,97,42,87,76,85,46,51,46,70,76,65,50,52,98,62,95,75,44,36,65,66,68,92,97,96,53,34,70,84,57,74,95,76,63,41,88,73,35,80,31,93,47,68,48,35,85,36,59,33,47,58,81,59,76,31,36,35,73,82,88,86,83,78,52,51,79,46,81,63,85,57,69,42,92,50,55,81,83,84,87,30,85,42,50,85
88,55,62,47,80,55,31,51,96,67,51,86,36,80,81,39,90,70,33,96,76,52,72,85,93,47,98,34,60,54,41,40,31,77,65,53,75,41,80,67,64,64,80,94,78,95,33,60,50,88,30,61,62,84,62,62,95,87,34,30,91,42,98,54,95,80,46,92,44,52,30,59,80,69,77,67,44,42,62,84,70,56,33,46,86,51,70,68,39,30
70,82,96,55,74,52,87,31,41,85,55,53,46,36,58,49,70,64,44,85,87,97,82,89,72,66,67,52,55,88,36,74,84,67,66,97,72,82,59,33,35,30,44,56,43,46,84,73,67,54,45,63,85,69,89,40,81,55,66,57,91,55,55,91,37,32,75,93,84,32,40,31,86,41,93,46,56,46,71,94,92,47,40,82,89,43,34,44,31,42
80,79,30,75,73,45,63,39,61,33,69,47,68,39,51,89,59,30,78,37,82,53,77,78,65,89,87,67,57,66,60,43,33,91,76,83,51,66,82,80,43,48,57,73,60,58,98,67,69,48,68,49,79,70,46,58,84,35,46,64,30,88,45,51,42,64,52,76,98,52,59,95,60,35,59,65,73,66,62,65,96,40,33,59,71,57,31,47,75,43
53,83,65,57,51,45,92,92,54,52,38,48,48,87,37,44,33,80,45,89,38,67,85,58,30,93,92,85,82,95,37,84,57,41,84,65,45,39,96,74,57,78,57,96,44,72,89,83,94,82,53,69,78,79,94,56,58,75,64,75,34,42,52,85,54,98,96,81,78,69,51,90,55,65,94,84,41,34,67,90,54,85,55,62,64,57,45,91,60,56
78,73,56,82,62,57,36,77,86,65,93,37,39,86,66,67,61,37,42,82,85,52,47,40,45,94,44,93,44,48,83,55,41,66,50,60,94,88,39,65,80,66,30,79,31,59,40,36,69,88,88,38,50,62,79,75,69,94,55,46,71,31,56,47,75,32,92,78,51,49,39,81,58,51,93,67,72,91,92,70,77,30,93,67,63,93,93,96,95,87
47,56,44,43,57,86,89,57,74,47,30,37,32,35,67,79,72,46,94,43,53,82,94,73,66,59,56,58,73,69,43,82,49,78,85,45,97,89,56,66,39,55,40,30,35,68,83,63,98,45,38,67,79,76,53,40,85,91,59,46,51,73,98,65,73,55,80,87,69,57,67,34,52,37,50,59,62,30,66,93,47,69,42,58,50,35,32,89,87,52
37,91,94,47,86,69,58,53,58,47,43,62,72,63,64,50,92,89,57,45,78,61,75,50,57,42,65,71,41,38,90,59,61,92,70,91,67,95,68,71,96,38,70,31,71,57,49,46,87,69,96,45,63,91,79,80,86,60,72,95,79,60,53,33,37,47,49,94,64,66,58,70,48,65,76,97,86,50,97,73,97,42,85,88,59,54,56,83,65,75
65,95,57,47,54,73,90,50,82,63,36,84,88,38,56,47,42,81,64,56,63,38,95,82,72,38,70,79,68,53,97,33,53,75,35,96,44,47,63,62,55,42,49,91,60,60,72,35,54,75,93,62,64,88,86,78,53,63,32,44,52,56,78,59,32,69,36,42,47,63,30,46,30,70,49,43,88,60,86,86,83,67,74,72,90,96,68,92,69,43
69,45,44,95,86,87,86,62,48,34,56,71,67,88,69,81,38,89,92,64,66,57,95,84,76,76,73,36,78,98,89,39,62,60,84,88,33,36,67,36,89,37,74,63,56,32,47,45,68,60,37,73,55,65,74,38,53,32,90,57,52,83,65,82,73,71,57,32,31,58,47,70,33,82,59,36,66,45,33,97,31,98,87,97,38,73,36,59,65,59
32,85,92,83,84,53,97,88,56,87,55,55,40,96,58,72,43,75,86,82,70,72,94,60,59,58,56,77,87,65,41,68,60,84,30,94,35,32,97,49,69,85,32,78,87,61,46,55,40,53,76,43,66,84,73,95,39,69,46,33,60,76,67,70,92,31,41,46,82,87,93,54,49,53,74,89,58,73,61,38,41,92,96,53,72,91,57,47,85,30
45,77,75,60,57,47,58,83,96,46,50,60,82,93,30,41,89,45,77,97,53,53,60,33,92,56,40,36,64,84,33,93,97,70,83,79,46,40,40,59,76,67,53,43,74,49,48,39,98,84,63,64,35,52,61,54,96,86,44,69,61,90,73,56,88,80,73,91,69,95,98,54,77,89,91,71,49,33,35,33,70,80,36,49,69,53,93,74,78,80
51,95,61,63,93,33,50,45,95,51,34,64,32,69,86,95,48,51,71,82,87,52,54,55,35,42,69,30,80,74,70,59,64,76,85,36,68,54,60,61,39,71,58,38,78,36,78,46,94,65,75,47,44,37,59,81,83,64,63,87,37,68,56,68,72,35,85,52,72,50,53,55,90,54,92,70,79,82,50,89,93,48,71,94,49,49,80,72,85,37
94,89,63,48,40,60,78,52,89,72,68,62,33,87,97,85,30,82,32,55,95,65,53,55,89,41,82,59,37,91,78,84,80,53,89,41,83,57,45,65,63,82,87,35,96,38,65,78,70,96,66,72,40,31,75,67,35,30,95,77,79,63,64,94,84,95,83,57,85,49,49,76,88,72,31,72,89,31,84,85,51,33,77,38,52,71,81,75,46,36
37,56,64,82,32,32,67,96,80,34,56,86,72,80,80,61,88,76,30,73,43,68,30,41,33,86,51,91,96,92,44,41,86,49,48,35,96,65,40,40,50,44,74,36,57,79,56,44,36,38,72,41,33,79,39,49,73,43,67,43,61,79,38,84,97,67,53,53,66,60,96,49,31,88,78,71,93,33,94,79,48,48,51,64,41,89,70,42,83,82
42,77,65,34,75,92,98,67,71,82,78,84,35,80,88,63,56,97,34,37,98,72,61,83,63,86,35,90,32,79,43,30,65,78,45,57,98,57,77,92,54,62,49,31,85,55,78,97,69,75,43,61,77,88,38,53,73,76,37,75,31,46,72,52,40,89,94,51,81,36,30,53,76,86,70,44,87,71,79,34,41,97,49,68,73,49,50,91,56,80
57,55,94,43,76,70,56,89,32,49,67,90,90,55,45,57,91,74,31,89,62,39,94,53,64,33,73,61,74,94,38,84,32,79,47,34,95,37,39,75,30,73,35,62,41,60,35,67,49,71,35,86,40,87,46,77,33,45,48,36,55,49,96,56,94,67,97,31,75,71,59,70,87,49,51,85,85,73,84,63,49,79,66,86,37,94,47,49,47,71
90,90,39,97,80,84,85,32,50,98,97,50,39,55,58,78,87,95,85,72,71,69,36,44,88,59,81,40,72,89,92,91,53,44,95,54,70,85,97,66,57,59,54,40,39,74,39,69,63,70,46,42,59,73,48,71,58,56,73,64,97,36,45,59,85,88,68,77,59,39,98,37,34,43,43,73,70,63,54,76,59,53,83,54,58,46,69,31,35,72
32,73,81,56,73,51,91,43,42,80,41,43,72,54,98,71,56,96,83,56,44,34,57,65,88,93,94,61,74,93,59,64,45,47,59,52,88,77,72,54,59,50,81,59,55,87,98,47,54,43,35,92,96,54,96,49,94,43,55,69,57,45,91,97,60,63,95,75,70,95,71,89,41,83,43,61,86,54,90,69,96,60,83,55,42,82,67,48,37,49
88,48,30,50,35,65,97,55,85,54,57,93,87,70,32,70,69,81,61,94,47,39,52,51,31,45,80,30,96,92,45,63,38,94,87,52,90,38,36,80,72,91,73,43,54,60,64,38,52,65,59,30,75,73,91,66,61,40,95,82,64,87,50,86,88,64,77,50,86,89,50,98,86,50,38,32,34,64,96,33,92,51,37,89,58,68,97,67,86,53
37,35,46,87,36,58,63,83,81,46,61,63,41,95,54,32,86,62,30,63,80,70,50,94,89,37,37,71,38,30,50,50,57,68,70,94,79,72,42,60,96,46,87,80,65,52,59,64,71,83,32,37,30,87,37,82,52,32,85,59,93,76,77,73,86,42,40,84,89,44,63,93,79,52,59,71,37,84,58,95,50,68,75,39,76,86,61,90,47,59
98,37,91,51,59,48,85,52,48,96,67,62,91,55,90,38,92,96,49,77,35,60,86,54,74,41,77,67,35,50,59,32,67,53,80,87,42,92,34,75,87,63,57,92,63,83,75,40,69,78,69,70,84,46,86,74,92,33,86,84,63,52,81,92,91,70,53,56,45,82,51,91,84,55,31,44,35,73,75,93,48,76,31,37,41,81,72,93,58,87
44,71,85,40,36,37,56,75,80,87,90,32,44,32,74,52,56,51,61,78,66,87,52,66,30,59,61,37,35,38,30,53,60,85,94,30,75,33,37,98,44,74,76,50,79,37,74,83,53,80,70,98,52,89,59,82,79,97,66,36,67,82,96,68,81,88,50,96,65,89,98,94,45,57,44,77,89,67,54,98,82,47,51,60,98,56,88,95,47,78
80,31,61,71,72,91,49,97,62,47,43,38,81,32,59,30,56,81,95,75,82,30,89,32,33,86,64,56,47,91,57,92,90,49,53,84,43,76,55,87,82,46,53,55,40,68,72,56,77,88,43,94,44,96,72,56,54,81,63,48,76,84,73,70,71,50,39,52,93,33,98,59,50,52,45,92,47,91,88,39,37,48,46,81,77,65,60,53,76,97
61,32,78,47,55,90,72,54,84,59,37,43,74,79,89,79,43,50,46,97,56,53,77,69,93,73,79,96,82,66,34,46,63,85,61,30,32,70,78,57,72,82,78,51,43,72,92,69,37,81,71,39,95,45,41,44,65,64,70,34,64,86,69,70,74,45,42,34,94,62,63,61,73,68,41,31,90,33,56,76,80,87,91,83,49,61,77,58,71,76
98,33,40,81,62,34,36,65,50,50,98,38,74,38,71,66,96,96,52,30,93,44,60,81,57,52,40,50,34,80,86,87,49,62,57,45,41,31,72,38,80,93,33,32,65,97,37,68,92,60,68,37,54,74,64,69,60,69,96,98,65,83,92,85,78,91,90,30,72,91,72,30,31,44,68,93,77,82,95,97,45,64,33,67,92,50,82,53,52,45
40,44,63,37,36,54,60,44,53,51,51,54,45,77,87,88,30,76,35,68,77,58,87,43,51,69,84,39,97,52,88,52,87,56,32,47,59,70,82,41,69,98,50,33,90,98,83,55,58,50,37,73,76,32,92,61,85,74,51,74,46,74,98,83,96,50,72,71,57,76,98,71,66,51,44,83,53,82,84,78,33,38,73,95,36,86,75,89,83,98
59,89,97,79,30,39,34,54,47,34,95,87,95,78,68,73,95,70,80,64,47,87,72,74,32,75,97,40,38,73,50,91,65,92,37,39,41,43,51,83,30,78,38,77,89,70,68,57,93,92,39,96,57,81,88,73,38,45,53,58,59,88,89,35,42,91,62,36,65,46,97,62,65,81,70,53,96,69,36,51,46,62,83,92,96,92,76,46,64,44
85,87,41,62,50,39,68,34,65,96,87,34,37,90,60,54,77,38,91,68,81,94,87,39,30,58,66,91,73,72,64,98,77,51,73,50,59,46,46,78,87,48,43,38,83,69,76,81,42,71,33,94,91,31,49,35,71,81,89,35,46,60,78,84,69,97,64,53,86,49,44,85,48,59,87,58,67,58,87,55,82,72,66,69,86,45,42,61,54,85
95,92,94,76,75,54,82,96,78,98,96,36,95,63,86,45,83,52,43,49,41,89,67,74,44,46,48,37,40,93,54,73,70,59,56,81,65,96,56,85,69,74,59,66,60,98,66,75,50,66,62,53,84,34,96,38,79,33,38,40,82,42,39,34,56,69,59,97,96,87,98,73,82,85,46,51,32,85,86,96,78,96,98,80,58,50,55,90,70,71
76,93,56,78,44,33,43,30,86,88,49,45,73,54,88,36,83,79,75,55,74,78,90,54,35,79,74,50,77,32,76,34,71,60,84,92,69,70,71,69,79,31,81,83,72,30,90,62,75,35,80,80,79,78,61,82,69,46,91,83,48,79,68,56,84,57,30,46,33,95,58,33,84,77,98,64,55,86,81,93,43,96,33,52,39,38,60,56,89,55
97,56,41,31,40,54,50,86,51,80,38,61,31,88,61,43,67,52,30,59,88,69,82,49,76,85,38,32,45,76,34,67,77,93,36,77,91,69,77,88,72,36,87,68,76,87,33,75,49,33,53,70,32,46,41,74,56,65,59,49,58,89,93,52,41,32,95,91,77,74,78,76,79,83,44,40,38,49,46,69,86,43,53,63,95,49,63,57,55,65
36,81,64,68,36,92,38,39,89,65,86,44,64,74,80,40,52,97,46,35,71,54,42,61,84,43,41,51,64,45,39,59,50,83,98,47,98,59,96,85,66,63,47,53,49,70,40,40,46,70,87,94,78,59,37,53,72,77,55,82,66,78,85,94,49,46,52,62,75,92,70,57,63,46,62,76,68,50,97,48,37,68,75,96,71,30,78,54,65,98
44,43,93,37,33,96,57,44,52,42,52,46,42,95,32,51,87,83,95,79,97,87,59,36,90,74,73,76,43,94,47,43,72,34,95,43,82,98,56,92,36,72,83,82,42,47,96,79,91,76,68,82,79,72,57,35,89,88,86,84,61,51,95,33,50,90,89,74,37,49,80,86,91,88,73,92,98,79,92,47,58,79,81,39,38,75,56,97,40,61
52,94,84,93,96,46,79,57,97,42,45,68,41,98,54,36,88,50,80,71,84,86,76,81,77,58,30,41,38,74,46,72,95,51,94,38,91,47,77,94,51,39,88,77,90,79,89,70,61,48,80,63,86,86,35,76,58,96,61,50,61,74,87,60,63,45,49,71,85,72,30,70,85,50,68,36,46,78,34,59,36,66,98,71,73,95,78,63,96,79
81,41,43,43,82,58,67,78,59,65,63,92,61,84,54,44,80,83,39,36,59,65,80,37,84,81,89,73,48,65,90,46,77,72,71,96,91,37,62,62,43,64,56,39,69,80,33,91,85,94,97,81,90,70,54,80,46,31,38,70,70,52,71,69,58,73,35,79,86,87,71,59,40,46,90,84,36,73,95,34,98,54,52,34,35,41,34,96,43,69
45,47,84,60,93,79,88,30,77,55,56,50,41,48,87,95,47,47,38,76,82,42,82,31,48,42,55,47,48,90,39,80,36,62,64,55,54,83,65,73,33,52,93,50,48,63,58,49,40,60,61,38,97,98,31,55,73,92,65,44,45,96,75,85,68,58,86,72,64,61,48,43,77,37,60,62,82,30,98,81,85,59,33,64,54,74,55,93,39,95
74,60,35,47,47,95,71,80,40,51,54,53,97,95,85,85,61,80,51,67,68,48,97,97,34,70,43,64,75,50,77,40,97,93,88,40,80,40,76,30,65,56,59,36,65,87,34,86,83,62,81,34,70,74,94,94,98,70,57,62,86,46,78,63,83,60,74,40,43,35,84,74,53,84,56,53,31,54,84,35,94,53,95,54,70,64,40,46,78,68
36,60,39,58,51,73,85,44,95,35,41,87,54,57,81,64,43,61,59,83,40,72,53,63,34,59,97,36,30,93,35,33,87,43,80,87,44,65,68,80,37,96,82,30,96,74,66,30,74,31,62,71,33,35,38,71,45,43,84,38,86,66,77,33,37,57,35,89,94,98,91,80,61,64,32,85,49,69,34,48,31,81,59,81,53,42,56,36,55,50
97,75,94,65,71,85,69,78,43,95,46,45,57,85,33,47,70,64,37,66,38,48,59,69,39,47,83,84,33,97,64,87,35,54,63,70,62,50,84,87,78,76,87,43,56,71,56,52,39,76,86,33,82,57,32,55,37,60,51,75,56,79,80,98,50,60,78,57,39,31,35,34,44,72,31,73,76,48,42,74,68,84,78,51,40,70,31,38,31,45
74,33,88,43,85,51,49,73,83,50,59,96,93,96,75,65,63,34,61,60,91,38,45,54,97,80,41,47,32,96,50,54,67,59,90,86,76,71,57,50,32,82,55,59,50,30,64,54,74,64,47,47,43,79,44,63,32,79,70,87,60,62,65,36,62,87,67,45,43,36,95,91,61,71,87,64,88,36,50,79,87,61,43,86,68,93,59,93,63,54
36,81,42,38,91,96,87,87,43,87,55,37,44,46,50,51,82,59,67,42,63,86,49,64,70,34,43,81,71,40,41,86,73,62,90,44,41,64,90,94,68,47,31,63,52,82,91,91,74,41,52,32,55,75,76,36,72,50,61,80,71,68,36,72,38,46,82,62,33,79,70,52,46,63,85,73,47,40,53,80,42,82,58,64,32,45,36,76,73,92
47,79,63,45,61,73,92,72,52,39,31,53,74,46,82,66,47,77,94,90,68,35,82,76,71,45,70,32,40,49,46,60,75,36,73,88,39,45,82,30,81,48,83,89,50,88,39,75,76,98,74,74,68,45,65,31,91,44,59,86,77,33,30,97,85,38,39,65,82,89,45,90,47,91,47,83,45,52,96,44,41,59,54,32,62,32,69,96,36,95
55,69,81,37,91,92,84,64,98,67,70,83,39,85,96,59,79,35,76,76,65,90,45,89,89,66,94,63,96,93,42,34,50,64,76,79,93,52,80,84,45,58,66,39,51,33,34,40,85,94,57,60,64,77,63,77,59,32,47,76,71,77,50,39,68,76,64,33,93,65,88,60,79,32,37,77,54,51,79,42,59,65,61,70,58,87,66,90,57,53
51,64,96,54,93,46,32,61,85,55,87,77,65,57,66,60,98,74,91,63,55,53,98,57,64,52,74,39,96,77,75,47,92,67,47,60,90,83,86,83,62,66,59,78,66,54,50,41,44,51,70,78,73,53,68,53,43,76,94,47,61,85,83,98,46,72,76,53,34,41,34,78,88,45,62,80,92,85,37,70,40,43,81,93,64,31,42,75,82,42
85,87,86,33,40,87,58,59,96,72,53,53,52,96,71,39,66,33,47,71,93,42,43,87,73,76,87,79,71,40,55,38,89,55,76,77,77,98,53,55,59,64,69,60,95,88,44,31,33,30,72,55,54,67,76,79,68,73,57,60,91,35,40,94,56,35,55,73,39,36,59,65,72,76,51,44,67,36,56,31,81,38,56,77,93,73,44,95,98,30
57,56,64,39,65,57,53,57,59,69,35,64,68,71,47,57,36,61,52,42,84,79,63,88,64,88,98,31,42,44,64,46,56,76,81,83,84,87,48,34,38,88,38,53,67,33,63,97,57,62,90,31,91,64,45,41,76,36,70,46,64,81,44,62,72,62,34,59,89,32,70,52,78,61,93,68,50,89,67,72,64,40,89,76,62,31,31,43,72,51
87,32,75,71,84,56,84,73,30,91,32,41,76,95,34,84,61,31,67,88,92,35,65,77,72,87,89,38,46,31,92,43,85,75,69,94,44,81,94,52,72,36,57,71,33,98,54,82,40,47,54,46,66,48,42,98,83,80,39,54,67,74,50,84,53,57,59,88,83,94,95,90,47,82,72,49,64,86,65,46,61,37,52,36,32,91,95,63,62,82
43,39,85,76,97,77,37,55,93,97,79,55,32,97,95,37,84,37,80,94,36,79,85,36,49,92,57,86,57,61,46,32,54,34,78,53,93,64,63,80,69,80,93,88,76,59,55,58,54,71,66,36,77,70,62,81,32,69,38,97,91,76,37,37,87,60,60,73,76,36,54,37,57,89,35,53,67,90,93,46,71,86,47,94,73,50,43,86,46,88
63,44,30,74,38,85,89,96,82,89,90,85,78,77,73,52,76,30,42,76,30,63,39,35,61,59,69,52,78,93,41,42,35,61,36,37,37,38,59,45,61,50,31,76,74,40,38,71,87,48,30,30,68,93,66,62,34,52,61,84,82,39,66,62,51,38,98,47,64,80,96,95,64,61,37,63,30,30,36,31,93,34,79,38,69,66,39,67,92,33
30,53,37,37,61,98,72,90,71,81,91,91,88,69,31,70,91,41,78,88,91,76,60,68,98,50,78,61,47,36,87,35,73,49,84,46,56,79,61,47,87,69,57,92,45,46,73,59,33,45,78,33,83,90,75,36,55,86,36,72,32,51,66,75,88,60,77,58,93,34,97,33,47,70,59,81,35,30,87,76,83,44,51,35,32,80,84,39,86,70
73,38,78,64,79,93,85,87,91,70,57,32,82,80,76,86,34,32,53,76,78,93,81,91,32,68,42,57,47,48,85,50,66,61,32,87,92,96,72,55,78,36,76,61,37,49,90,97,59,71,80,98,93,31,85,62,56,93,92,65,37,30,68,58,69,85,98,83,47,92,98,59,49,55,39,64,30,68,38,52,83,67,66,38,50,31,82,53,93,40
98,33,97,89,96,61,69,55,61,54,93,46,50,75,56,83,52,41,89,77,36,84,75,33,62,58,60,53,49,32,31,64,30,78,73,89,62,62,73,85,55,51,79,88,82,46,82,72,44,85,91,81,96,43,36,76,79,57,82,79,88,62,46,91,93,72,73,63,62,79,63,69,31,88,74,93,41,71,48,80,79,86,53,57,97,41,32,49,97,60
