DDD10000,LCP10000,RTS10000,CIP10000,IOP10000,PRCY_001
85.0,87.08,85.33,87.47,84.17,85.81
85.75,88.17,88.67,89.49,88.67,88.15
88.58,86.75,86.0,88.56,85.33,87.04
86.5,88.92,87.83,86.53,86.17,87.19
91.17,88.67,88.33,88.29,86.83,88.66
86.58,88.08,88.67,87.82,85.67,87.36
86.25,86.17,86.0,87.0,87.67,86.62
88.33,87.67,88.33,86.42,89.17,87.98
87.75,87.0,90.67,85.0,89.33,87.95
88.17,87.75,85.33,88.93,86.33,87.3
84.83,88.42,85.5,86.2,90.33,87.06
87.83,87.75,89.17,87.13,89.33,88.24
88.58,87.0,87.17,86.87,88.17,87.56
84.25,88.5,88.33,87.13,88.33,87.31
85.75,88.17,85.83,86.89,88.0,86.93
86.92,88.5,87.67,88.73,88.33,88.03
87.75,88.08,86.5,86.87,90.0,87.84
88.17,87.75,85.5,87.4,88.17,87.4
85.58,86.83,88.5,85.51,85.83,86.45
86.25,85.67,85.0,87.44,85.83,86.04
89.92,89.5,89.5,89.07,88.5,89.3
87.92,86.42,83.67,87.22,86.33,86.31
87.67,89.42,86.0,86.22,89.17,87.69
87.33,88.92,91.17,89.76,84.17,88.27
88.25,90.33,87.33,87.4,91.5,88.96
85.42,87.92,86.17,84.98,86.17,86.13
88.0,87.25,90.83,84.93,83.83,86.97
90.0,86.08,82.67,87.24,88.17,86.83
87.5,87.5,86.33,87.11,87.33,87.16
86.75,87.17,89.17,87.44,92.5,88.61
85.92,87.42,87.33,87.78,93.0,88.29
88.42,88.0,88.17,88.0,88.83,88.28
85.17,88.25,89.67,87.82,87.33,87.65
88.08,85.83,91.83,88.56,88.83,88.63
87.33,88.33,85.83,87.0,88.5,87.4
90.0,87.08,90.33,87.87,87.5,88.56
86.67,87.17,86.83,87.53,88.67,87.37
86.83,87.25,86.83,87.98,87.5,87.28
85.33,89.67,87.67,89.42,87.83,87.98
87.83,86.92,91.33,87.67,89.67,88.68
88.17,89.08,86.5,88.09,87.0,87.77
86.5,86.58,86.67,86.98,87.0,86.75
88.92,86.67,86.67,88.29,91.0,88.31
89.0,87.08,86.67,89.31,88.17,88.05
87.75,87.25,88.33,87.38,88.0,87.74
87.42,86.83,90.17,86.58,89.83,88.17
86.67,86.83,83.0,87.11,87.33,86.19
88.42,87.92,87.0,90.67,91.5,89.1
87.08,89.83,91.83,86.89,87.67,88.66
87.25,90.0,87.67,88.4,87.33,88.13
90.0,88.0,88.17,89.04,87.83,88.61
85.0,88.42,85.0,88.36,89.5,87.25
86.67,87.33,87.67,88.98,87.5,87.63
89.0,87.83,88.0,91.04,86.83,88.54
87.42,88.42,89.83,88.27,87.17,88.22
87.08,86.42,87.17,88.09,88.83,87.52
89.0,84.0,87.5,89.58,88.83,87.78
86.67,87.17,84.83,86.76,89.5,86.98
87.83,86.58,86.83,85.8,84.83,86.38
87.33,88.25,90.67,88.47,88.17,88.58
88.25,89.17,87.0,87.36,88.17,87.99
87.5,88.08,89.17,85.24,88.17,87.63
85.75,86.67,85.83,86.69,86.5,86.29
88.5,88.25,86.5,87.24,86.17,87.33
88.75,88.08,88.83,86.73,92.0,88.88
88.5,87.0,88.17,87.42,84.0,87.02
87.75,88.25,85.83,85.87,86.5,86.84
87.58,87.42,90.17,86.36,87.33,87.77
87.0,88.92,87.0,84.13,86.17,86.64
85.42,87.08,89.83,86.93,87.67,87.39
86.33,87.92,87.17,86.69,90.83,87.79
86.67,88.75,84.17,85.93,89.17,86.94
86.75,87.92,84.33,87.13,85.83,86.39
86.08,87.17,87.5,87.47,84.5,86.54
86.67,90.0,86.67,84.96,86.17,86.89
87.92,89.5,87.0,88.58,85.83,87.77
85.92,86.67,89.33,89.49,88.17,87.91
90.33,88.67,87.5,87.78,84.67,87.79
86.83,90.08,87.17,84.44,87.33,87.17
86.83,85.33,86.33,85.69,90.67,86.97
85.58,89.5,86.33,84.6,87.83,86.77
88.08,88.42,84.67,87.11,87.67,87.19
88.42,88.5,84.5,85.98,86.0,86.68
87.58,89.58,87.5,85.16,85.5,87.06
87.58,85.75,86.83,86.24,88.33,86.95
89.33,87.58,86.67,84.71,88.67,87.39
89.5,90.83,87.67,87.0,88.83,88.77
85.58,88.17,86.17,86.67,86.0,86.52
86.58,86.58,87.33,86.8,87.67,86.99
89.83,86.5,84.0,84.64,85.33,86.06
86.67,89.33,88.83,87.93,86.33,87.82
86.33,86.42,90.0,89.09,87.83,87.93
87.75,88.58,83.5,86.69,85.5,86.4
87.33,87.17,87.5,86.49,87.67,87.23
85.5,84.83,86.83,86.67,84.67,85.7
88.42,87.25,89.5,85.71,84.17,87.01
88.58,87.67,88.0,88.13,88.33,88.14
86.08,86.92,89.5,86.98,88.17,87.53
88.5,88.0,89.0,86.09,87.5,87.82
88.08,84.83,90.0,87.91,89.5,88.07
88.0,90.17,87.0,87.42,87.33,87.98
87.0,87.33,88.33,90.09,88.33,88.22
87.0,88.17,88.5,87.27,85.33,87.25
85.33,86.92,87.33,88.38,86.83,86.96
86.42,88.92,91.0,86.69,90.0,88.6
87.17,89.33,84.67,86.02,86.17,86.67
89.42,90.42,90.17,87.78,85.33,88.62
88.42,87.25,88.0,88.64,88.33,88.13
87.83,86.75,88.33,89.33,85.5,87.55
87.83,86.67,89.0,84.31,85.17,86.6
86.0,89.17,85.67,86.18,86.83,86.77
88.75,87.5,89.5,87.96,86.0,87.94
85.5,87.33,87.5,87.36,91.0,87.74
87.83,87.33,87.17,86.93,90.67,87.99
87.0,85.83,87.17,87.71,89.83,87.51
88.5,87.33,85.0,87.58,88.83,87.45
86.17,86.92,88.83,87.76,88.5,87.63
86.67,89.25,88.5,86.18,86.5,87.42
87.58,85.42,89.17,87.11,87.5,87.36
88.33,86.58,86.0,85.4,87.17,86.7
87.33,87.0,87.83,87.58,87.33,87.42
87.25,87.92,88.83,87.33,88.0,87.87
89.0,87.25,88.0,88.67,84.83,87.55
89.0,87.08,89.0,88.53,86.33,87.99
87.5,87.42,87.5,90.0,84.5,87.38
87.33,88.58,86.67,87.36,85.67,87.12
88.58,87.33,88.67,87.16,87.5,87.85
86.58,83.33,85.17,87.36,87.33,85.95
86.0,88.33,88.17,86.36,86.17,87.0
86.17,87.67,87.33,89.36,87.5,87.6
86.75,86.67,86.83,90.69,88.67,87.92
87.42,86.25,86.5,85.38,84.83,86.08
86.67,86.42,86.33,89.24,87.33,87.2
89.83,87.33,89.0,87.49,87.33,88.2
86.58,88.42,86.83,88.58,84.83,87.05
87.92,83.92,89.83,85.58,86.5,86.75
84.17,87.75,87.5,86.67,85.67,86.35
85.92,88.58,85.83,86.22,88.0,86.91
86.92,87.83,90.17,86.24,86.5,87.53
88.5,88.42,86.83,86.82,88.33,87.78
87.67,89.83,89.17,86.24,84.83,87.55
88.17,87.67,87.17,87.33,88.5,87.77
88.58,85.25,89.17,87.64,89.0,87.93
88.58,86.83,86.83,86.6,86.17,87.0
88.67,87.75,89.67,88.49,86.83,88.28
86.08,88.42,86.0,89.42,90.17,88.02
88.83,88.83,91.0,88.56,84.67,88.38
87.58,86.25,86.17,86.91,89.0,87.18
85.67,90.25,85.83,87.91,88.67,87.67
87.75,87.25,87.17,88.42,88.33,87.78
88.25,86.75,88.0,86.96,87.33,87.46
87.08,88.25,83.5,85.04,85.67,85.91
86.0,86.42,86.33,88.82,87.17,86.95
86.75,88.5,86.5,88.8,86.33,87.38
90.25,85.17,86.5,87.0,91.17,88.02
88.33,86.5,84.83,86.67,85.33,86.33
87.17,87.83,87.67,88.51,88.17,87.87
87.75,87.92,87.83,88.11,88.17,87.96
88.92,87.17,86.17,84.27,89.33,87.17
85.58,85.67,84.33,87.87,86.17,85.92
87.83,88.83,92.17,87.76,86.67,88.65
87.33,89.25,88.33,88.33,88.5,88.35
87.0,88.67,88.5,85.33,85.67,87.03
89.17,89.25,91.33,88.16,92.17,90.01
88.17,87.58,84.5,87.38,88.33,87.19
88.58,90.5,85.33,88.4,84.83,87.53
87.83,90.17,88.0,90.13,89.0,89.03
87.58,85.42,87.5,87.76,89.17,87.48
86.33,87.42,86.67,88.38,92.33,88.23
86.5,88.25,87.17,87.0,87.5,87.28
88.92,86.0,85.33,86.91,85.67,86.57
87.25,88.08,88.83,88.0,89.17,88.27
87.17,86.83,90.0,87.36,85.5,87.37
87.5,87.42,87.33,85.78,84.33,86.47
84.17,86.5,85.0,88.44,86.33,86.09
87.67,89.5,89.5,87.07,91.17,88.98
86.92,88.08,87.67,90.0,88.17,88.17
86.75,87.5,87.5,89.0,89.5,88.05
84.17,90.17,87.67,86.09,87.5,87.12
88.08,86.67,87.0,87.38,85.17,86.86
87.42,89.17,87.17,87.87,86.33,87.59
87.67,89.25,86.83,87.24,90.17,88.23
89.5,88.58,82.83,88.98,88.33,87.65
86.33,86.67,90.5,88.53,87.67,87.94
86.92,90.0,85.83,88.47,86.33,87.51
86.42,88.83,89.0,87.56,87.83,87.93
86.42,86.75,86.17,86.09,86.83,86.45
88.42,87.33,87.0,86.89,87.17,87.36
86.0,86.0,89.83,88.04,87.83,87.54
88.17,86.83,87.67,86.47,89.5,87.73
88.67,86.17,87.67,88.8,88.17,87.89
87.83,87.75,86.5,87.2,90.17,87.89
87.83,88.0,86.67,89.0,89.0,88.1
85.33,88.83,85.33,87.76,89.0,87.25
87.42,87.33,88.0,85.36,90.5,87.72
83.58,87.75,85.83,89.02,85.83,86.4
88.75,87.92,87.17,89.6,88.5,88.39
87.67,90.0,86.33,87.0,90.0,88.2
86.42,87.5,92.5,89.16,90.0,89.11
91.67,87.58,85.5,87.31,90.33,88.48
88.08,87.92,86.33,86.69,88.83,87.57
88.33,87.75,87.17,88.76,88.33,88.07
84.42,86.92,92.5,87.0,88.67,87.9
87.25,85.25,88.33,86.42,85.17,86.48
89.08,87.33,89.83,85.96,86.33,87.71
87.17,86.75,88.33,85.96,85.5,86.74
87.08,84.75,85.5,86.84,87.33,86.3
87.17,87.08,88.0,86.49,85.83,86.91
86.08,84.83,87.83,87.69,90.0,87.29
88.75,86.5,89.67,87.51,88.0,88.09
85.58,89.0,91.17,90.42,89.83,89.2
87.42,88.0,89.17,89.0,86.83,88.08
86.33,89.08,85.0,86.71,86.67,86.76
88.33,86.17,88.83,88.58,89.33,88.25
88.5,89.67,85.5,86.89,91.83,88.48
86.0,87.08,86.17,88.22,87.17,86.93
87.75,86.0,86.67,87.47,86.5,86.88
89.75,87.83,86.33,88.09,86.0,87.6
85.33,89.0,90.5,90.33,88.17,88.67
89.58,90.17,87.67,86.6,83.67,87.54
89.92,86.58,85.67,87.04,86.83,87.21
86.42,89.75,90.5,86.42,87.0,88.02
86.58,90.58,88.83,88.78,86.33,88.22
89.25,87.25,86.17,85.58,86.17,86.88
89.08,87.08,89.0,91.31,86.33,88.56
85.67,86.58,87.5,88.27,90.17,87.64
88.83,86.75,87.0,86.24,84.83,86.73
86.75,88.17,83.67,87.69,88.83,87.02
83.33,84.67,87.0,86.76,87.33,85.82
87.08,87.5,88.33,88.56,88.17,87.93
86.0,85.42,86.5,85.53,86.83,86.06
88.42,85.67,88.17,88.67,87.33,87.65
90.75,89.83,88.83,87.78,88.17,89.07
87.92,88.75,86.83,89.24,86.67,87.88
85.5,87.92,87.17,88.98,88.67,87.65
89.33,84.25,86.5,85.2,89.17,86.89
87.25,89.25,83.83,87.51,89.5,87.47
88.92,88.5,88.83,84.78,86.83,87.57
87.58,88.17,86.0,87.78,87.83,87.47
86.75,87.5,90.83,87.56,86.67,87.86
88.75,86.75,88.67,87.29,85.33,87.36
88.17,85.67,82.83,86.29,85.17,85.62
86.25,87.42,90.0,87.73,88.0,87.88
88.5,87.33,86.17,90.78,84.67,87.49
90.42,88.08,88.0,88.76,86.83,88.42
87.0,86.33,87.17,86.73,88.33,87.11
87.67,89.75,84.67,86.2,88.33,87.32
87.25,88.92,83.83,88.11,89.83,87.59
86.25,88.67,89.33,88.62,90.67,88.71
87.25,88.92,89.83,88.56,86.33,88.18
89.0,87.5,89.33,88.11,86.5,88.09
87.08,89.17,85.0,86.29,90.33,87.57
86.25,89.5,86.17,88.33,87.5,87.55
86.75,85.58,89.17,87.11,85.83,86.89
87.33,85.25,85.33,86.27,88.17,86.47
86.75,85.42,87.83,86.98,90.17,87.43
88.5,87.92,90.0,87.07,87.5,88.2
88.58,89.33,86.83,85.73,89.33,87.96
86.25,90.75,86.5,87.13,88.33,87.79
87.42,86.0,85.0,85.51,86.67,86.12
87.92,87.92,88.83,85.49,90.67,88.16
87.75,89.58,88.33,90.47,85.83,88.39
89.83,89.42,87.5,85.42,85.5,87.53
88.25,86.0,87.17,86.4,86.33,86.83
86.58,86.83,87.5,90.38,87.0,87.66
86.67,87.5,88.17,86.91,88.5,87.55
86.5,88.75,89.33,87.62,85.67,87.57
84.58,86.92,88.33,88.82,83.5,86.43
86.58,88.17,88.33,87.87,86.0,87.39
88.33,88.83,89.33,86.44,87.67,88.12
87.0,87.58,87.17,88.33,86.83,87.38
86.5,88.0,86.5,89.18,88.33,87.7
86.67,86.58,86.67,87.69,90.17,87.55
89.75,86.67,87.0,89.31,90.67,88.68
86.92,88.83,88.17,85.82,88.0,87.55
87.25,87.58,89.33,88.93,88.17,88.25
87.58,85.42,88.67,85.27,84.33,86.25
88.0,88.25,85.33,84.44,92.0,87.61
87.33,89.0,90.33,86.44,87.0,88.02
87.75,87.17,88.67,88.02,87.0,87.72
85.33,89.08,88.5,86.98,83.33,86.65
88.5,88.92,87.17,86.91,83.67,87.03
85.25,88.17,87.5,91.73,86.17,87.76
89.33,86.75,84.5,86.13,87.83,86.91
88.5,88.75,84.0,87.82,86.33,87.08
88.75,90.33,89.0,86.67,87.17,88.38
85.5,87.92,89.0,86.04,86.67,87.03
89.17,90.25,85.33,85.8,88.0,87.71
88.92,86.83,85.67,84.2,87.83,86.69
89.5,88.92,88.67,87.64,90.83,89.11
86.58,86.08,86.67,87.84,85.17,86.47
88.33,88.17,82.5,86.73,88.5,86.85
87.92,87.25,87.5,87.91,90.17,88.15
85.17,91.75,86.67,86.78,85.5,87.17
87.75,85.33,91.67,88.98,86.17,87.98
89.0,87.08,87.67,89.27,87.17,88.04
87.42,87.25,87.67,85.87,89.67,87.57
87.0,88.5,86.33,87.18,87.5,87.3
87.0,86.08,92.17,87.82,87.83,88.18
88.75,88.25,87.17,86.64,88.33,87.83
86.08,87.33,86.83,88.04,88.0,87.26
90.42,87.42,89.0,86.82,85.5,87.83
87.42,89.17,85.5,89.16,85.0,87.25
88.75,88.92,90.67,85.96,86.83,88.22
85.92,86.17,85.83,89.69,87.17,86.95
88.83,89.83,87.0,87.4,85.33,87.68
87.5,87.42,85.17,86.04,86.5,86.53
88.83,87.83,85.17,87.33,89.83,87.8
89.17,88.75,87.5,85.4,88.33,87.83
86.83,87.67,86.67,88.93,84.5,86.92
87.25,89.0,86.5,86.38,85.67,86.96
85.67,87.42,86.17,85.58,85.67,86.1
86.08,87.25,87.0,88.0,87.67,87.2
87.33,88.92,87.67,87.27,87.0,87.64
86.42,85.0,81.67,88.89,87.17,85.83
86.58,87.25,85.33,84.64,86.17,86.0
87.5,89.58,87.83,88.33,84.17,87.48
86.83,87.83,90.17,88.64,86.67,88.03
88.5,87.58,91.17,85.07,85.5,87.56
86.83,86.25,89.0,87.93,90.17,88.04
85.25,87.42,84.5,87.4,86.67,86.25
86.58,87.0,88.5,89.49,87.17,87.75
85.17,87.92,89.67,87.22,85.5,87.09
88.58,86.58,87.0,86.33,90.83,87.87
88.08,87.42,89.17,86.64,84.83,87.23
85.33,86.17,88.67,88.73,87.83,87.35
87.67,87.5,85.33,86.11,84.67,86.26
87.67,88.08,89.0,88.38,89.17,88.46
87.0,86.83,84.5,87.71,88.17,86.84
88.83,88.25,85.17,88.13,87.5,87.58
85.25,88.83,89.17,88.13,86.0,87.48
85.58,86.58,88.67,85.29,85.33,86.29
89.33,87.0,89.0,86.6,89.33,88.25
85.75,86.67,88.17,86.82,87.33,86.95
87.33,86.92,87.83,90.18,86.33,87.72
86.17,88.0,88.33,86.36,89.0,87.57
87.58,88.83,88.33,86.98,90.0,88.35
86.58,88.58,84.5,87.27,87.33,86.85
88.08,88.33,85.5,88.93,85.17,87.2
85.92,89.33,87.0,88.0,88.5,87.75
87.58,86.42,85.83,88.38,87.83,87.21
88.08,86.0,85.17,86.78,91.17,87.44
84.0,89.08,82.83,84.69,88.83,85.89
88.17,90.0,85.67,88.47,84.5,87.36
87.67,88.33,85.17,86.56,90.17,87.58
86.33,86.42,88.5,85.76,86.17,86.63
86.67,87.42,85.5,86.42,88.17,86.83
86.25,88.25,87.5,89.13,85.0,87.23
88.75,88.17,87.83,87.0,86.5,87.65
88.5,85.17,87.67,85.58,85.5,86.48
89.25,87.5,85.67,88.13,87.67,87.64
86.42,89.5,86.83,87.58,88.67,87.8
88.75,87.67,86.33,86.47,84.5,86.74
87.08,88.5,84.67,88.31,85.5,86.81
87.92,88.0,91.5,86.76,89.0,88.63
89.17,88.08,86.83,84.87,88.33,87.46
87.67,87.83,85.17,88.87,86.67,87.24
88.0,87.92,87.67,84.76,88.17,87.3
86.0,86.58,88.67,85.78,90.83,87.57
87.75,87.0,91.67,86.8,85.83,87.81
88.42,88.0,87.17,88.93,86.17,87.74
88.42,88.0,83.33,88.13,87.0,86.98
87.75,86.67,89.67,85.89,91.0,88.19
86.0,87.17,91.17,89.51,90.5,88.87
90.5,85.0,86.33,87.6,87.5,87.39
88.5,87.75,89.67,89.47,90.17,89.11
89.33,84.83,88.67,86.04,88.67,87.51
86.08,87.83,89.33,86.89,88.67,87.76
88.92,83.5,87.0,86.38,83.5,85.86
86.25,86.08,86.0,91.82,85.0,87.03
88.17,88.92,85.5,90.29,86.67,87.91
89.08,86.67,86.0,85.18,85.0,86.39
86.58,88.75,86.5,86.58,89.33,87.55
86.0,86.92,88.17,90.11,82.33,86.71
89.5,87.33,89.17,87.62,89.5,88.62
86.67,86.0,81.67,88.13,89.5,86.39
85.0,88.25,86.83,87.27,88.67,87.2
87.58,86.0,87.0,86.58,85.17,86.47
87.58,85.5,83.83,87.82,87.0,86.35
88.92,88.58,88.33,86.67,90.83,88.67
87.25,87.33,88.17,88.6,87.0,87.67
88.42,87.5,86.67,87.36,86.17,87.22
87.08,86.25,90.83,87.18,87.17,87.7
87.75,88.0,86.83,87.6,93.17,88.67
88.0,85.92,89.5,87.8,87.83,87.81
90.0,87.0,86.83,86.13,88.17,87.63
85.67,87.75,89.5,86.62,85.33,86.97
86.75,87.08,88.67,88.69,86.0,87.44
87.0,89.0,87.83,90.82,87.33,88.4
88.58,87.5,89.5,84.84,88.83,87.85
88.83,86.42,89.83,88.09,88.5,88.33
89.42,86.67,89.5,86.93,88.67,88.24
87.17,88.25,86.67,87.27,85.83,87.04
87.67,88.5,91.83,84.33,87.33,87.93
88.58,89.0,87.0,87.47,88.17,88.04
86.08,85.75,89.5,89.07,88.67,87.81
87.33,87.33,89.17,89.67,89.17,88.53
88.58,88.67,85.83,86.96,85.33,87.07
87.58,86.33,91.33,87.58,85.33,87.63
88.75,88.33,85.17,86.16,85.33,86.75
86.92,88.5,83.17,88.8,85.0,86.48
87.5,86.17,85.83,87.4,86.33,86.65
89.33,89.25,87.33,89.22,90.67,89.16
85.42,87.0,88.67,87.27,85.5,86.77
86.58,88.0,89.83,87.8,85.83,87.61
90.5,87.42,86.67,86.51,90.5,88.32
89.08,87.67,88.17,87.42,88.0,88.07
90.0,87.58,87.67,88.18,87.83,88.25
86.67,87.17,85.33,89.53,86.33,87.01
87.42,88.0,87.5,88.78,83.5,87.04
88.33,90.25,89.67,89.42,87.17,88.97
87.83,88.75,88.67,90.53,91.5,89.46
86.0,87.25,86.0,87.29,86.83,86.67
90.83,87.33,88.83,86.47,86.33,87.96
88.67,87.58,85.33,89.44,87.5,87.71
87.92,89.0,87.5,88.56,83.0,87.19
88.25,88.17,86.33,85.82,85.0,86.71
86.75,86.33,87.33,86.96,89.5,87.37
86.33,89.42,84.83,88.16,88.5,87.45
89.25,86.5,87.83,90.0,84.67,87.65
88.5,85.58,89.83,86.4,86.33,87.33
85.92,88.67,85.17,87.67,86.83,86.85
86.0,88.58,86.33,88.69,90.0,87.92
86.5,89.67,83.33,87.98,89.5,87.4
86.92,87.67,90.83,86.11,85.83,87.47
88.25,87.83,87.33,86.82,84.83,87.01
89.25,87.83,86.83,87.64,86.83,87.68
85.42,87.08,88.67,87.11,86.83,87.02
88.92,89.25,86.5,87.11,88.0,87.96
89.42,86.5,88.33,86.42,88.0,87.73
87.83,87.33,87.0,86.6,89.0,87.55
88.25,86.17,87.67,87.22,89.17,87.69
85.58,89.83,87.67,87.67,87.5,87.65
85.17,90.08,89.5,88.04,87.33,88.03
85.25,88.58,89.0,86.16,85.67,86.93
88.83,85.67,88.0,86.56,85.33,86.88
85.83,89.33,86.17,85.58,88.5,87.08
87.42,88.08,84.83,89.93,85.33,87.12
85.92,88.0,84.83,86.4,84.17,85.86
86.83,88.17,86.83,88.18,88.67,87.74
86.92,87.42,91.17,88.91,89.17,88.72
88.58,86.83,87.83,87.02,90.83,88.22
88.33,87.42,87.17,87.84,88.83,87.92
88.0,84.75,91.33,88.89,89.17,88.43
86.58,89.0,90.33,85.84,90.0,88.35
87.42,87.42,86.83,85.13,89.67,87.29
88.42,87.67,89.67,86.87,86.67,87.86
85.83,89.58,87.5,87.73,85.0,87.13
87.0,87.5,87.33,87.16,86.67,87.13
89.33,88.83,84.0,87.82,86.67,87.33
90.08,88.83,87.33,87.36,88.67,88.45
86.58,86.17,87.83,88.16,89.17,87.58
87.33,86.5,85.83,87.56,86.83,86.81
87.17,86.92,84.33,86.93,85.67,86.2
87.67,87.42,90.83,84.89,89.0,87.96
88.33,89.0,84.5,87.29,88.17,87.46
87.42,87.42,86.5,85.62,86.83,86.76
88.58,87.25,86.83,84.44,86.5,86.72
87.75,85.67,87.0,86.2,89.83,87.29
87.25,86.83,87.5,86.0,90.83,87.68
87.83,89.0,86.5,87.42,85.5,87.25
87.17,89.83,85.0,88.22,87.0,87.44
88.33,86.92,88.83,87.36,88.5,87.99
86.75,88.5,86.0,88.82,85.83,87.18
87.58,89.17,85.33,84.89,87.5,86.89
87.0,91.17,87.67,87.2,87.5,88.11
87.75,87.42,85.83,87.04,88.17,87.24
89.42,88.08,88.83,85.91,87.0,87.85
89.67,85.08,87.0,86.89,88.67,87.46
84.42,85.08,84.17,86.47,89.17,85.86
87.67,87.83,88.17,87.07,87.33,87.61
85.67,87.92,89.67,87.89,88.67,87.96
88.0,85.67,90.33,87.73,87.0,87.75
86.83,85.58,84.0,88.13,86.5,86.21
85.92,87.67,87.67,85.76,91.17,87.63
84.42,86.83,84.33,89.82,87.5,86.58
87.25,87.33,87.83,86.91,92.83,88.43
87.17,89.17,84.83,87.93,84.5,86.72
86.08,89.08,86.33,86.38,88.0,87.18
87.75,84.92,86.0,85.89,88.33,86.58
87.75,86.42,85.5,85.93,88.83,86.89
85.42,87.42,89.17,88.67,86.0,87.33
87.92,88.75,85.0,86.87,84.67,86.64
87.0,88.25,87.5,87.76,87.83,87.67
86.58,88.42,87.83,88.18,88.67,87.94
88.33,89.92,88.83,86.93,88.0,88.4
87.08,88.5,87.17,88.11,88.5,87.87
87.25,87.25,88.67,88.09,88.67,87.98
89.25,86.67,87.17,88.27,86.83,87.64
86.42,86.67,91.0,86.69,86.67,87.49
87.92,87.67,87.33,86.73,88.5,87.63
88.75,88.42,85.83,86.4,90.5,87.98
88.5,86.83,85.83,87.58,89.5,87.65
87.08,87.5,83.0,88.91,87.33,86.77
88.25,85.67,87.83,88.71,87.0,87.49
87.83,86.0,87.83,89.13,84.0,86.96
88.08,89.08,89.67,87.71,88.17,88.54
86.92,87.58,88.5,88.2,85.33,87.31
88.0,88.33,86.33,87.93,85.0,87.12
84.92,87.17,89.0,87.89,87.5,87.29
87.92,87.5,87.83,87.44,86.0,87.34
86.33,87.58,91.17,87.47,85.5,87.61
87.08,86.58,88.33,83.93,87.0,86.59
87.0,86.42,88.17,88.16,90.83,88.11
87.83,88.17,87.67,86.29,86.0,87.19
89.25,86.0,87.33,84.24,85.83,86.53
87.92,87.83,91.33,88.62,84.67,88.07
88.5,87.92,85.33,86.2,88.83,87.36
88.67,87.25,89.33,86.56,85.0,87.36
86.67,86.5,85.33,89.56,88.17,87.24
85.17,87.83,86.67,88.02,85.83,86.7
89.0,88.42,84.33,85.82,88.67,87.25
86.0,89.33,86.5,88.09,90.17,88.02
88.33,87.83,89.5,86.47,90.83,88.59
89.92,87.67,91.0,91.24,91.5,90.27
86.33,86.67,87.67,85.62,88.83,87.02
88.25,84.67,89.17,87.31,91.17,88.11
87.58,86.33,90.0,86.84,86.67,87.49
85.58,88.08,86.5,87.49,88.33,87.2
86.42,86.5,89.17,86.11,84.67,86.57
