RST10000,RCD10000,RSL10000,RSU10000,ROR10000,RDA10000,RTR10000,RPR10000,RMR10000,RCM10000,RSRC_001
59.42,60.53,57.47,54.21,62.58,68.16,59.37,59.68,53.21,60.68,59.53
52.26,58.26,56.89,59.26,65.79,59.63,59.53,54.95,70.74,56.16,59.35
65.42,61.37,63.47,62.47,65.26,62.95,65.68,59.53,60.63,56.05,62.28
60.68,55.26,55.63,54.89,63.63,59.21,51.74,59.79,58.11,64.16,58.31
60.0,61.32,63.68,68.89,65.11,60.47,53.21,56.11,56.11,57.63,60.25
64.32,68.53,61.84,51.21,64.68,68.21,64.37,54.84,60.58,60.11,61.87
60.89,62.32,62.74,59.26,64.53,61.95,66.74,59.84,52.42,61.74,61.24
61.21,51.79,60.95,57.21,62.42,51.53,60.68,62.26,63.21,62.26,59.35
59.11,60.95,60.37,60.84,62.84,53.58,63.11,56.42,59.42,48.53,58.52
62.16,66.58,58.74,64.26,60.63,53.74,61.47,62.58,58.0,57.21,60.54
59.63,65.89,60.95,57.11,56.53,63.26,66.42,59.84,59.58,57.84,60.71
61.95,62.63,60.32,67.68,58.53,56.05,56.37,63.63,58.84,63.47,60.95
62.63,62.16,57.84,58.74,64.0,61.63,59.89,61.26,58.53,59.95,60.66
61.58,61.53,61.89,60.42,64.68,55.74,55.58,65.37,55.05,64.32,60.62
61.26,56.21,58.68,62.53,64.68,62.47,65.16,66.95,57.37,58.95,61.43
58.0,57.84,65.05,59.0,57.84,62.63,57.37,62.63,58.95,59.58,59.89
53.16,56.53,64.63,66.21,54.74,60.32,49.74,61.16,63.53,62.53,59.25
49.79,53.68,57.0,61.74,66.37,57.37,61.11,54.63,59.63,62.95,58.43
60.16,59.74,60.26,65.53,63.26,59.58,58.68,54.58,60.89,50.68,59.34
52.53,62.11,56.16,61.21,55.58,57.89,67.89,62.21,67.89,52.0,59.55
59.42,57.0,69.53,52.47,63.05,66.0,59.79,58.68,56.84,61.79,60.46
67.89,61.11,56.79,58.89,63.95,60.68,62.26,62.53,52.32,61.79,60.82
64.89,62.63,57.84,61.79,56.16,63.47,65.47,53.47,59.42,61.37,60.65
60.0,55.79,59.63,60.16,55.89,57.42,52.95,58.79,65.21,61.47,58.73
60.95,63.37,57.16,54.26,65.21,56.37,60.11,64.79,58.63,66.0,60.68
57.95,59.32,59.37,60.26,53.89,58.79,59.53,57.16,60.21,63.0,58.95
59.89,51.95,56.47,59.11,60.74,64.11,62.21,57.21,64.63,61.37,59.77
56.68,60.58,58.89,58.21,63.79,61.89,58.89,67.05,61.79,67.89,61.57
56.79,60.47,57.79,55.16,56.89,61.21,58.11,63.37,56.47,66.89,59.32
63.84,68.37,58.16,53.37,58.42,56.84,56.11,61.53,60.05,60.63,59.73
57.26,62.26,62.16,65.84,63.84,61.11,63.26,58.0,64.74,54.26,61.27
57.05,56.95,57.0,64.32,59.26,65.42,69.74,62.37,59.74,57.37,60.92
60.47,63.68,64.11,63.47,59.53,56.89,63.68,58.95,63.21,65.89,61.99
58.26,59.63,57.79,50.58,57.47,56.63,68.89,56.79,57.11,63.32,58.65
64.63,61.58,57.05,62.84,59.95,56.95,51.42,61.95,59.74,59.0,59.51
59.47,61.42,60.05,58.95,67.05,56.11,62.89,66.05,55.74,61.05,60.88
55.0,65.16,66.0,59.58,54.95,67.68,65.47,60.0,55.11,61.68,61.06
55.42,59.89,57.74,63.16,67.89,65.53,61.53,61.84,59.26,62.16,61.44
57.79,61.79,59.16,55.95,60.47,57.42,54.95,60.11,63.11,60.32,59.11
58.42,57.74,62.89,56.63,55.16,66.42,58.26,55.63,51.42,66.21,58.88
62.68,59.32,65.79,59.37,66.26,53.84,57.37,71.37,72.58,62.53,63.11
51.37,65.84,60.63,59.84,51.05,63.05,53.11,58.58,62.37,58.16,58.4
62.26,60.63,57.26,60.47,59.58,63.32,62.21,61.84,62.79,64.42,61.48
63.42,59.26,54.26,65.11,61.53,57.21,53.79,61.16,60.42,59.32,59.55
64.32,61.68,61.37,63.47,60.68,55.53,60.68,58.26,63.21,59.89,60.91
62.16,62.21,58.21,59.16,56.58,64.95,61.26,54.68,60.37,57.53,59.71
61.26,54.63,62.63,63.79,66.26,60.84,62.16,59.95,51.16,60.68,60.34
58.74,52.32,61.89,59.79,55.32,63.05,61.95,57.63,64.37,61.63,59.67
62.42,56.53,62.79,54.26,55.37,54.37,60.53,56.16,56.11,51.53,57.01
52.32,52.58,67.0,54.21,63.84,63.89,60.63,59.16,69.26,60.37,60.33
61.53,60.05,63.68,58.05,64.63,61.58,63.95,61.16,55.74,62.53,61.29
60.68,59.37,66.11,59.16,58.84,56.26,58.26,49.16,65.79,65.37,59.9
63.42,55.79,54.95,63.16,60.79,61.53,58.0,61.11,63.26,63.32,60.53
61.0,65.05,59.05,54.74,51.74,60.42,56.95,63.79,58.84,60.68,59.23
65.47,64.32,54.74,66.84,62.42,53.11,52.32,58.74,63.37,57.95,59.93
61.95,63.11,71.21,65.74,60.79,56.0,55.0,65.26,53.58,60.53,61.32
60.32,58.89,63.0,62.16,65.0,55.89,63.68,57.58,54.47,54.53,59.55
59.37,64.74,51.74,63.37,61.26,57.37,59.32,54.32,64.68,65.37,60.15
59.26,55.79,54.95,56.74,56.53,61.0,52.89,58.05,65.47,67.89,58.86
63.11,60.63,65.16,55.79,59.95,59.74,66.42,66.05,53.89,60.58,61.13
57.32,56.79,61.89,60.53,60.84,60.79,58.84,51.63,60.68,49.42,57.87
59.58,60.0,64.16,69.05,65.37,56.42,61.74,58.32,62.58,58.0,61.52
59.68,60.42,60.95,51.63,57.79,56.32,63.21,63.16,62.37,66.63,60.22
59.26,65.42,62.89,55.47,48.58,57.37,57.32,61.16,58.42,62.95,58.88
56.47,56.58,56.58,60.79,62.37,55.95,60.05,68.16,63.79,59.79,60.05
60.21,62.84,61.58,58.84,65.68,58.74,55.84,68.37,63.37,59.37,61.48
61.32,55.16,60.47,57.79,63.21,63.16,60.47,57.63,60.47,59.16,59.88
64.32,65.84,66.79,59.42,60.05,50.63,59.53,60.0,60.16,56.32,60.31
53.47,60.42,57.84,57.74,62.16,65.21,64.05,53.16,64.16,59.0,59.72
61.05,59.42,57.42,62.16,58.42,60.11,68.05,60.89,60.26,65.68,61.35
59.84,54.58,59.32,61.53,60.42,61.0,57.89,58.11,51.63,66.11,59.04
59.42,55.74,57.0,63.68,55.95,59.58,62.63,59.89,52.16,60.63,58.67
60.32,60.84,53.74,56.58,60.53,54.95,54.63,58.68,57.53,62.32,58.01
59.16,63.79,59.95,60.79,64.58,65.58,62.0,62.05,56.47,60.21,61.46
64.42,57.79,59.26,61.32,67.58,54.53,49.68,62.05,54.74,61.32,59.27
69.26,63.26,65.32,63.79,61.53,59.47,65.74,64.16,62.84,57.47,63.28
63.26,58.42,59.0,58.26,54.63,60.79,57.68,55.11,65.37,58.63,59.12
59.68,54.74,52.89,59.74,66.21,65.84,58.21,58.58,62.11,61.47,59.95
61.11,61.11,62.42,56.58,64.74,64.47,59.74,67.84,65.32,56.26,61.96
64.26,60.05,55.79,61.05,60.47,54.11,64.26,56.53,60.05,61.74,59.83
63.11,67.47,57.84,62.05,60.0,67.16,58.37,62.16,64.11,69.11,63.14
61.0,55.79,56.63,65.21,59.95,60.37,65.0,61.68,63.21,58.11,60.69
58.74,61.84,57.63,53.16,60.63,63.63,59.84,57.21,56.95,60.84,59.05
53.68,62.37,60.47,51.05,63.47,62.84,61.42,56.26,61.84,58.53,59.19
61.11,56.26,67.21,57.42,62.21,54.47,59.95,58.05,62.68,58.05,59.74
64.58,58.63,58.53,62.58,63.0,60.47,58.63,63.05,55.32,55.89,60.07
61.63,57.26,66.16,53.89,59.95,60.37,59.16,55.26,62.16,61.37,59.72
59.16,59.53,59.63,60.95,60.0,61.21,61.89,63.37,60.26,57.42,60.34
67.63,61.63,61.11,61.26,64.95,60.74,57.16,61.11,63.89,60.79,62.03
63.11,63.32,58.42,61.53,57.0,52.21,63.26,58.16,59.0,56.26,59.23
60.95,58.53,56.63,57.32,59.79,60.63,61.05,60.53,58.26,66.26,59.99
63.16,60.74,57.84,61.11,63.37,65.21,63.26,58.74,64.53,60.11,61.81
66.84,58.11,56.68,61.47,58.89,60.95,58.63,60.11,56.21,55.37,59.33
57.68,56.37,69.63,58.84,61.16,61.37,55.84,58.11,60.47,61.53,60.1
61.68,65.58,61.16,61.16,51.32,59.63,61.26,64.74,58.63,61.05,60.62
56.05,55.74,63.05,60.32,61.37,59.84,59.37,60.89,52.32,56.95,58.59
60.21,53.79,58.21,55.63,60.16,55.0,59.68,58.58,60.37,61.05,58.27
64.89,62.84,54.95,59.79,60.21,61.79,55.68,68.74,61.16,56.32,60.64
60.26,60.26,56.89,64.32,63.05,59.42,59.63,59.74,60.89,56.74,60.12
65.0,58.74,57.26,59.21,62.84,56.84,56.21,64.32,64.47,60.79,60.57
65.16,56.84,54.84,64.42,63.16,64.68,55.79,65.11,57.95,67.05,61.5
61.05,53.47,58.26,64.11,59.16,62.95,60.42,63.11,52.32,61.0,59.58
59.84,58.05,56.26,61.89,59.63,57.47,56.58,57.58,65.63,63.37,59.63
56.68,56.68,65.0,55.47,54.84,55.0,65.58,53.53,66.74,57.53,58.71
57.05,61.21,61.89,61.84,62.89,57.37,57.95,59.0,62.58,59.63,60.14
64.21,61.37,61.21,63.63,53.63,62.68,58.26,63.58,64.11,53.53,60.62
58.21,60.16,59.05,65.11,57.26,61.0,54.68,61.95,61.11,61.26,59.98
57.53,61.37,64.05,62.84,58.74,58.47,64.63,66.95,61.0,57.95,61.35
59.95,65.58,51.05,53.16,69.68,58.68,55.32,56.68,58.79,64.42,59.33
61.74,59.42,59.26,65.68,61.0,55.84,53.63,59.79,62.79,61.26,60.04
61.58,59.16,58.42,55.37,64.42,59.89,64.42,60.0,60.95,57.58,60.18
64.21,60.42,65.84,54.58,54.58,56.26,61.26,60.11,66.37,58.95,60.26
58.63,59.16,56.37,56.68,60.32,57.68,60.05,66.05,53.05,61.37,58.94
59.47,59.89,65.68,63.89,61.95,61.05,57.79,55.0,67.37,58.0,61.01
56.0,56.63,63.21,53.26,56.37,64.26,68.0,55.74,62.58,62.47,59.85
54.42,57.21,52.95,58.53,60.16,63.68,51.53,58.0,65.84,61.16,58.35
59.11,63.63,60.05,58.74,57.16,55.47,54.58,58.58,57.21,68.37,59.29
63.84,61.32,58.68,59.32,58.84,65.37,61.79,58.32,64.53,58.79,61.08
66.74,60.26,67.79,65.32,55.63,64.42,62.63,60.0,59.95,63.84,62.66
64.05,54.21,60.42,56.11,60.68,53.53,54.11,58.0,63.0,62.95,58.71
60.89,61.74,58.84,63.68,56.16,59.89,52.05,55.05,57.42,59.63,58.54
60.47,52.42,56.79,58.16,55.21,57.89,58.79,59.37,49.37,64.74,57.32
61.53,60.32,56.0,60.42,65.21,59.11,54.68,53.16,56.74,59.58,58.67
59.53,65.68,65.42,61.47,58.74,64.53,54.79,62.84,64.26,52.95,61.02
62.89,54.47,69.37,56.05,57.11,66.47,59.74,59.47,57.68,62.42,60.57
53.84,51.89,53.47,62.42,58.26,58.63,59.79,57.63,55.74,64.26,57.59
60.05,58.79,63.79,56.21,57.16,55.26,60.47,62.74,55.84,55.95,58.63
61.11,60.05,55.26,57.32,54.42,55.79,60.32,58.84,59.26,64.58,58.69
59.68,56.37,66.68,61.89,49.58,62.53,59.58,56.32,57.74,63.58,59.39
53.21,62.32,59.37,53.95,57.63,61.63,55.47,62.21,64.84,56.05,58.67
59.26,57.63,63.47,60.74,60.58,69.42,57.16,60.42,65.84,59.74,61.43
62.53,62.63,58.0,60.79,59.74,59.95,59.84,59.11,65.47,57.05,60.51
52.63,63.68,59.95,54.95,64.26,55.95,56.84,65.37,58.89,60.26,59.28
61.68,59.58,62.32,60.0,59.37,53.32,61.11,57.05,57.16,55.47,58.71
57.21,58.89,61.0,58.95,65.0,62.68,62.89,61.21,65.21,61.53,61.46
58.05,59.05,53.68,61.37,56.68,56.42,66.32,70.84,58.32,59.95,60.07
52.53,55.68,60.95,51.95,65.05,59.42,63.89,60.89,60.05,60.21,59.06
59.47,60.89,55.05,61.53,53.42,59.0,66.47,57.21,59.68,62.95,59.57
64.89,61.37,59.0,60.58,57.26,53.74,59.37,56.26,63.95,57.47,59.39
57.84,52.21,59.16,64.74,60.95,56.84,60.16,58.16,68.0,56.42,59.45
57.42,54.32,63.0,61.74,57.11,66.74,68.74,59.74,58.21,62.95,60.99
60.47,55.58,57.0,59.53,52.16,57.58,59.11,62.79,59.47,58.42,58.21
61.58,61.0,58.37,70.37,59.11,57.47,60.53,59.0,52.95,67.37,60.77
54.89,56.79,62.74,56.16,52.79,61.16,59.05,60.21,62.16,58.53,58.45
63.16,71.79,59.74,54.74,60.84,62.89,54.05,62.05,60.89,55.05,60.52
57.95,57.68,62.26,63.89,58.68,64.0,53.05,63.68,63.21,58.63,60.31
62.95,61.32,58.05,60.95,61.89,58.68,57.68,63.47,58.68,61.21,60.49
61.53,59.74,58.63,61.05,61.63,60.05,62.21,66.21,62.16,66.74,61.99
58.53,58.47,69.89,62.42,62.47,61.11,51.84,65.53,54.37,63.05,60.77
51.89,61.58,61.68,51.58,59.16,53.05,58.58,58.16,60.21,60.95,57.68
54.79,60.16,53.47,61.11,63.05,55.05,59.05,62.68,60.58,61.32,59.13
60.63,60.84,67.05,59.0,61.21,55.16,54.0,59.95,53.95,61.26,59.31
59.58,61.63,64.79,62.21,56.63,66.05,61.95,68.63,60.42,55.63,61.75
61.42,60.32,62.74,61.32,59.42,56.79,65.74,52.63,59.37,59.53,59.93
58.79,65.58,62.0,59.16,58.63,60.0,54.0,57.26,59.79,61.11,59.63
63.53,67.16,60.47,62.53,57.42,58.53,53.95,52.32,59.37,59.42,59.47
59.05,59.16,65.89,60.53,52.16,64.84,63.74,63.0,56.58,53.0,59.79
65.0,58.74,66.95,65.0,59.74,61.68,60.68,61.89,59.63,58.11,61.74
58.95,57.16,60.58,59.95,65.11,62.79,62.21,59.58,57.63,60.95,60.49
62.11,57.95,60.21,64.37,57.26,54.79,58.84,56.58,62.63,66.79,60.15
61.58,60.89,55.89,60.11,54.26,60.74,62.47,69.58,62.74,59.84,60.81
61.58,57.74,66.74,54.16,61.95,64.0,62.74,56.53,62.11,58.58,60.61
63.42,65.32,66.37,50.74,66.58,58.11,60.05,64.32,63.89,57.05,61.58
61.89,59.89,62.16,55.68,51.11,65.26,58.11,54.79,57.47,61.16,58.75
57.63,62.68,57.11,63.11,65.47,65.89,55.05,63.32,60.11,53.84,60.42
62.95,61.16,52.63,59.53,53.53,59.32,65.74,63.26,55.63,67.21,60.09
57.89,57.11,61.05,58.37,53.53,58.16,56.05,59.42,54.68,62.53,57.88
56.79,57.58,67.42,61.05,60.0,67.84,59.16,62.63,57.95,56.53,60.69
63.05,58.21,62.89,59.63,61.53,56.26,56.58,58.79,59.74,59.05,59.57
57.74,60.84,63.16,59.37,61.79,54.58,62.32,58.32,63.0,60.63,60.17
55.74,61.26,60.37,60.74,68.79,53.79,61.58,51.84,66.63,60.68,60.14
55.47,63.68,58.32,62.47,60.74,60.53,66.0,63.47,54.68,61.05,60.64
63.26,55.26,58.89,60.05,60.21,59.84,62.05,65.32,61.68,59.21,60.58
56.37,64.26,59.21,59.47,62.16,69.42,56.0,59.37,65.89,64.84,61.7
56.58,60.79,54.68,55.84,59.53,57.16,62.26,61.74,59.21,60.11,58.79
51.84,57.79,59.95,61.26,57.0,59.11,59.53,62.53,51.26,58.89,57.92
54.53,54.32,65.84,62.63,58.21,58.89,57.68,59.16,61.74,55.68,58.87
64.95,62.37,60.47,58.32,57.53,65.47,59.26,61.32,53.84,57.11,60.06
60.53,61.79,51.74,51.74,56.11,71.05,57.58,67.95,59.63,58.11,59.62
56.53,60.89,55.89,58.74,63.26,60.63,58.16,62.68,56.37,65.26,59.84
63.53,54.95,59.63,62.21,57.74,56.26,60.53,51.79,58.79,59.32,58.47
60.11,58.79,63.26,54.58,60.37,62.79,63.53,67.89,58.63,57.89,60.78
61.0,63.79,65.11,52.37,66.26,56.53,58.53,62.21,60.42,64.74,61.09
59.05,67.26,57.74,58.21,63.0,61.68,59.58,61.63,57.0,58.42,60.36
61.58,63.79,54.0,56.79,66.53,55.89,57.11,61.58,64.53,61.05,60.28
54.84,49.11,54.16,64.05,59.79,68.37,59.11,63.84,62.32,56.74,59.23
55.21,63.16,53.58,60.37,67.0,59.16,59.79,59.32,57.84,65.37,60.08
57.95,69.58,59.53,55.16,62.11,61.0,51.74,62.32,61.32,61.42,60.21
64.74,57.89,62.11,59.84,66.63,63.95,54.47,61.47,63.47,63.68,61.83
66.21,54.58,52.21,62.47,60.68,61.05,58.74,60.32,56.26,62.89,59.54
66.79,59.84,60.16,65.79,55.42,68.05,57.16,58.79,54.32,61.95,60.83
62.58,57.26,53.16,59.05,56.42,66.95,59.53,59.05,61.89,62.37,59.83
60.37,60.26,64.68,56.89,67.26,63.26,54.53,63.63,61.89,60.74,61.35
57.58,55.74,58.79,63.42,55.05,62.05,61.89,56.74,60.68,55.11,58.71
59.58,59.89,66.47,58.53,60.32,55.79,62.21,62.89,54.47,55.89,59.61
63.32,60.58,60.79,67.79,67.53,63.16,66.95,57.89,54.53,61.63,62.42
55.63,57.11,64.05,57.79,63.68,58.79,59.0,63.84,58.63,60.32,59.88
63.58,66.16,59.79,61.37,62.58,60.63,63.47,57.37,55.42,62.95,61.33
59.79,61.37,53.21,60.53,59.42,61.79,60.11,56.63,50.42,64.89,58.82
58.74,59.37,55.84,57.68,60.32,56.0,53.79,62.26,61.63,61.26,58.69
55.47,59.95,59.58,56.32,57.84,60.74,56.05,62.26,61.37,55.63,58.52
62.0,64.21,61.21,52.11,64.63,59.53,57.26,61.21,58.63,65.16,60.59
54.95,62.68,61.11,56.37,65.0,60.16,55.95,61.26,58.11,58.16,59.37
57.47,51.37,59.95,56.84,56.79,56.21,58.05,57.84,52.89,64.16,57.16
57.05,59.79,56.16,63.11,66.21,55.32,60.11,60.0,62.21,59.79,59.97
60.42,56.05,58.11,64.26,61.58,68.89,60.11,68.05,58.26,53.89,60.96
55.63,60.74,50.32,55.95,58.37,56.0,64.47,54.21,58.16,63.16,57.7
59.95,55.32,57.74,59.53,59.11,56.95,64.42,55.32,61.89,60.16,59.04
51.26,60.74,58.95,56.11,66.37,53.11,69.42,52.63,60.16,55.11,58.38
61.21,64.68,48.84,56.37,58.37,54.26,57.32,58.32,64.95,55.05,57.94
62.79,61.89,66.37,55.68,60.21,61.58,57.37,53.53,58.58,56.89,59.49
57.37,65.0,54.42,56.74,62.84,56.32,62.26,58.26,67.79,58.42,59.94
56.26,54.63,66.79,60.0,63.79,61.0,58.37,61.32,66.58,50.47,59.92
60.0,61.95,57.84,58.32,63.95,61.42,58.05,55.79,61.05,60.68,59.91
57.21,64.53,55.32,60.74,59.95,63.16,61.0,62.47,53.11,62.05,59.95
62.05,60.42,60.89,59.11,58.47,64.47,57.79,66.32,57.37,52.79,59.97
54.79,57.89,56.95,62.16,65.37,60.16,60.42,55.79,64.11,57.74,59.54
58.58,55.47,62.05,62.47,60.05,54.89,59.63,61.58,57.84,54.79,58.74
55.63,67.68,57.89,59.21,56.32,62.53,63.89,58.47,52.74,58.21,59.26
54.37,61.05,57.79,57.63,60.42,65.79,54.79,53.79,56.11,58.0,57.97
53.68,52.0,61.11,58.58,67.95,65.11,59.05,59.47,60.95,61.79,59.97
60.42,64.47,58.11,65.89,61.21,56.05,55.84,64.58,58.89,59.84,60.53
62.05,55.21,65.32,63.84,58.63,56.53,57.95,57.95,66.32,56.74,60.05
60.95,58.63,64.42,60.53,65.79,64.89,58.63,57.37,60.42,60.16,61.18
55.26,55.58,55.47,68.68,63.58,64.32,64.74,60.53,58.89,66.95,61.4
63.84,56.42,55.84,58.26,51.16,60.53,61.68,59.47,56.95,56.16,58.03
63.16,54.42,63.32,63.53,56.84,58.26,54.11,66.16,54.47,60.58,59.48
61.11,59.16,56.63,61.79,58.32,53.11,59.84,57.32,59.47,60.32,58.71
62.32,59.32,57.0,66.58,54.37,65.63,49.84,58.95,61.11,65.63,60.07
59.68,57.58,63.84,60.37,57.42,62.68,65.89,61.84,63.68,59.79,61.28
57.32,57.84,57.0,56.84,60.37,58.37,59.95,53.11,66.63,55.0,58.24
57.53,56.0,58.63,68.79,64.42,57.0,59.0,61.37,62.84,66.32,61.19
61.95,58.05,56.95,65.84,60.63,59.16,57.42,60.11,54.95,60.26,59.53
69.95,59.47,58.47,55.47,63.26,57.21,60.21,68.63,60.47,62.74,61.59
54.42,68.95,60.58,55.0,54.53,58.0,60.68,52.37,64.53,65.26,59.43
59.42,61.63,52.95,61.11,57.95,54.47,52.42,59.74,59.74,59.74,57.92
60.53,66.05,58.42,59.63,56.68,53.37,58.63,58.58,54.79,67.63,59.43
58.16,62.95,64.26,58.53,54.79,64.37,64.05,62.16,57.21,63.26,60.97
61.21,57.89,59.21,66.58,57.11,58.74,64.68,59.11,56.05,58.89,59.95
60.47,47.68,59.47,60.0,58.58,68.58,60.11,57.16,65.11,54.95,59.21
60.53,54.89,58.0,59.63,51.74,61.16,57.47,55.84,58.89,56.32,57.45
64.0,60.58,60.26,57.58,62.37,54.42,65.58,56.32,58.16,65.95,60.52
66.11,59.0,56.89,56.42,59.42,55.53,60.53,62.05,63.11,57.89,59.69
64.58,56.89,63.84,56.89,58.95,68.47,54.84,61.21,65.37,62.63,61.37
56.95,59.84,62.05,54.16,60.53,62.26,62.05,62.16,62.42,60.05,60.25
59.16,60.11,60.26,63.0,66.32,63.95,63.21,67.84,57.68,68.26,62.98
56.68,59.16,63.16,61.26,57.05,63.21,62.95,62.37,60.37,60.42,60.66
60.74,63.26,63.0,60.42,57.63,60.74,60.32,57.63,62.37,59.79,60.59
61.37,61.58,60.63,56.21,60.74,54.21,57.74,67.21,58.89,52.21,59.08
58.53,58.79,62.89,57.95,61.47,56.32,59.0,68.16,58.0,55.11,59.62
65.16,64.32,54.32,51.11,55.63,69.32,66.84,65.95,61.32,55.68,60.96
56.21,66.0,62.79,57.0,49.16,60.16,63.32,55.74,59.53,61.79,59.17
54.84,60.58,61.74,63.84,54.89,62.47,58.58,60.95,60.11,64.05,60.21
69.16,56.26,50.47,58.95,58.84,57.47,58.42,64.79,58.47,64.74,59.76
56.79,63.21,59.21,55.84,55.21,55.63,56.84,70.0,59.74,54.79,58.73
64.53,53.74,59.79,57.84,54.89,55.53,59.68,51.0,57.53,64.63,57.92
