WPO10000,PPP10000,TQA10000,OCD10000,SPC10000,CTP10000,PCF10000,CTL10000,POD10000,ANL10000,PSU10000,INV10000,TST10000,COR10000,PCC10000,CAP10000,PUR10000,PBM10000,ANM10000,PROD_001
53.62,63.61,63.53,59.47,58.47,56.47,60.1,55.32,57.2,56.55,60.88,55.17,52.72,51.7,59.13,50.92,57.62,53.15,58.92,57.08
63.4,52.61,55.84,53.73,56.8,55.43,52,53.9,61.65,57.5,59.08,49.33,54.13,54.08,63.07,56.75,57.9,57.08,54.3,56.24
57.56,51,52.36,62.27,53.63,59.2,43.63,53.09,51.02,61.92,61.95,45.97,65.17,60.15,54.18,50.52,53.7,55.08,57.18,55.24
48.73,47.47,51.62,49.9,56.8,56.13,57.23,53.89,56.62,47.88,53.28,61.37,59.15,60.48,61.87,52.18,57.35,59.72,54.75,55.07
54.81,46.31,62.21,60.23,63.07,64,53.3,61.39,55.58,54,56.8,51.07,60.53,59.42,53,50.1,59.75,54.55,45.78,56.1
50.87,53.42,59.28,51.7,57.27,57.07,51.6,58.92,65.47,55.88,58.28,62.93,63.18,58.82,56.87,50.3,54.8,53.88,54.32,56.57
47.15,65.67,49.99,67.63,51.67,58.47,47.37,62.48,59.79,54.8,53.25,50.1,54.22,51.8,56.52,56.85,59.8,57.68,54.98,55.8
50.25,65.03,54.45,63.03,62.07,59.43,52.13,61.11,63.21,57.75,56.72,55.73,51.26,55.62,50.73,60.02,56.32,53.8,60.05,57.3
51.97,67.92,56.1,59.83,54.27,55.97,64.1,49.41,54.34,55.22,56.22,55.73,54.89,58.9,62.12,53.08,51.68,56.28,54.68,56.46
56.7,64.81,59.36,54.4,53.5,53.13,56.77,53.51,55.89,59.12,53.35,57.4,55.93,55.25,48.48,57.4,56.72,59.95,61.08,56.46
52.5,76.56,58.44,52.77,54.93,53.13,54.5,52.85,53.81,55.68,63.35,50.63,47.52,55.08,58.9,54.18,57.18,59.5,55.32,56.15
52.69,53.58,56.26,52.2,48.93,55.83,64.6,57.9,64.8,56.95,54.05,57.73,56.39,59.35,51.43,57.08,55.42,55.42,53.65,56.01
54.14,54.75,61.72,59.53,54.7,50.3,54.4,55.71,57.88,58.7,57.92,58.13,56.66,59.62,52.32,68.1,54.2,55.32,53.98,56.74
58.05,49.69,58.42,52.6,59.8,56.17,56.53,62.88,54.78,62.75,55.7,54.97,52.48,59.62,61.01,57.88,54,57.15,56.85,56.91
51.98,48.14,52.51,53.13,54.8,53.73,52.73,54.64,49.58,54.88,66.35,61.47,58.48,47.95,57.88,56.32,60.2,54.72,55.2,54.98
49.25,57.31,59.48,66.8,55.6,55.93,60.73,60.85,56.7,60.65,58.12,57.77,55.63,55.22,56.72,51.15,60.92,51.98,51.82,56.98
55.56,75.75,52.53,59.7,60.4,58.67,63.53,51.44,56.77,60.1,60.75,59.27,49.74,55.32,61.02,50.22,49.85,66.5,51.55,57.83
57.34,48.86,49.86,50.3,50.3,62.17,55.63,59.48,51.69,60.82,60.18,62,57.01,61.92,50.94,57.35,59.32,53.08,53.75,55.9
56.4,56.81,51.91,58.37,52.9,54.7,62.4,59.53,51.38,48.8,54.42,58.67,53.32,62.9,55.03,58.82,54.8,59.78,55.4,56.12
62.07,48.14,54.34,59.5,51,58.3,63.87,55.49,58.98,58.48,57.15,60.7,49.69,58.12,56.12,57.65,59.25,61.95,57.65,57.29
57.16,60.94,57.26,60.67,49.23,65.13,49.63,58.3,54.56,57.05,56.82,62.7,58.21,49.42,46.22,52.68,59.8,51.08,60.52,56.18
48.48,63.56,56.4,58.47,57.43,52.37,53.07,56.18,57.08,50.4,53.7,57.43,46.18,62.8,48.37,55.72,51.55,60.02,52.05,54.8
51.23,51.33,51.32,46.4,56.1,62.77,67.9,54.79,49.42,56.42,52.8,58.87,62.02,57.55,51.78,61.28,56.58,54.7,57.12,55.81
47.14,62.83,56.19,51.3,59.03,62.57,58.87,60.88,57.42,53.72,52.25,63.2,54.35,57.9,53.48,52.78,49.9,56.58,49.7,55.79
54.81,43.31,63.16,61.47,57.37,50.47,60.33,54.62,46.28,54.75,50.65,51.87,59.24,48.45,57.31,56.8,56.75,61.75,56.68,55.06
52.32,46.94,63.04,53.7,56.67,57.77,61.47,53.08,60.06,54,48.5,51,47.52,57.15,54.03,51.08,52.7,59.78,57.18,54.63
62.49,60.78,57.16,53.7,54.17,54.47,57.9,57.33,50.71,58.52,53.58,64.03,50.73,56.88,60.68,57.25,60.05,61.25,60.55,57.48
61.16,52.97,65.89,61.97,64.17,51.67,61.5,53.98,59.15,55.12,51.28,53.53,59.17,57.68,55.49,54.68,60.5,59.62,54.82,57.6
55.69,60.58,51.82,58.77,51.63,60.6,66.8,59.59,60.01,61.02,48.75,54,54.55,61.95,51.73,52,56.92,54.68,51.6,56.46
52.79,57.67,57,55.57,58.37,54.1,49.27,54.97,56.63,61.98,59.6,57.9,60.25,56.8,66.91,51.5,57.45,60.05,58.3,57.22
53.76,53.89,52.66,63.57,52.7,55.5,55.43,55.24,58.08,54.72,60.22,56.93,54.19,57.75,58.25,60.52,56.58,52.62,55,56.19
51.95,67.03,54.35,58.47,59.7,51.3,54.57,58.46,63.7,56.98,59.32,54.87,57.51,54,49.98,50.9,53.35,56.58,60.95,56.52
51.43,54.47,59.53,54.17,50.57,51.83,64.8,50.52,55.19,55.78,60.88,52.9,58.3,53.08,59.99,57.05,57.85,59.08,61.68,56.27
51.38,49.19,61.23,61.83,58.23,57.93,56.73,61.15,53.72,58.85,54.68,56.57,61.92,55.95,57.63,60.85,58.1,59.08,52.2,57.22
60.05,50.67,50.96,48.53,60.07,57.6,53.07,59.08,50.9,58.48,57.45,59.03,57.43,50.55,63.32,59.6,56.8,63,55.52,56.43
57.73,64,53.25,59.03,56.93,60.97,54.2,59.02,55.11,52.05,55.25,63.83,56.33,56.48,58.58,66.42,50.82,60.28,61.55,57.99
58.6,61.11,58.01,61.5,58.67,61.27,48.37,56.67,57.51,57.25,61.38,56.7,55.04,52.35,58.13,57.62,51.2,54.18,64.68,57.38
65.65,61.36,53.27,60.87,64.43,59.87,51.63,59.67,63.25,52.25,59.68,57.4,63.32,60.95,53.24,54.58,48.78,53.6,52.02,57.67
44.86,46.31,55.45,61.37,50.53,58.43,60.77,52.22,49.34,50.28,55.6,59.5,58.11,58.05,54.06,57.8,57.05,59.32,56.28,55.02
54.69,45.94,56.38,60.07,56.43,60.93,59.53,56.97,56.54,57.08,57.45,62.43,51.4,58.82,56.99,53.32,54.3,59.45,57.25,56.63
57.54,71.11,57.22,55.37,59.03,57.7,50.17,66.17,57.49,53.35,51.42,55.8,55.68,56.25,55.29,48.62,54.6,58.75,51.5,56.48
48.32,60.11,50.47,59.33,63.43,60.4,57.1,57.81,53.38,58.48,57.78,51.13,62.22,55.52,59.6,54,60.85,58.55,52.38,56.89
51.69,59.86,54.59,55.2,57.1,51.97,64.17,54.84,57.87,53.68,52.32,64.27,57.31,57.92,56.13,46.85,62.55,61.98,53.28,56.5
55.2,48.61,52.98,62.67,57.6,58.2,59.77,58.25,57.95,56.52,57.98,56.07,62.82,62.68,57.36,58.98,52.58,56.7,56.92,57.36
54.45,56.53,58.52,58.93,57.37,63.77,47.3,51,64.27,59.42,54.1,50.87,51.77,51.95,57.01,57.6,57.15,47.15,63.75,55.94
54.03,51.31,59.41,55.63,58.8,61.27,53.03,57.78,50.1,59.9,60.58,55.77,46.32,64.08,60,58.7,58.58,58.45,56.3,56.84
56.33,63.67,60.76,54.47,60,51.57,59.07,48.91,60.82,58.25,64.22,62.13,59.16,58.65,55.07,54.25,56.98,61.98,57.42,58.09
53.29,53.22,54.49,58.7,54,58.93,58.3,51.5,50.42,56.38,55.15,55.7,59.52,55.9,58.68,61.1,62.05,55.32,61,56.51
53.54,59.28,58.01,53.57,54.07,62.37,49.43,49.12,58.19,60.22,51.42,47.83,55.63,62.05,62.27,55.25,52.72,57.92,54.45,55.65
53.44,56.31,58.79,53.27,52.6,63.07,61.17,52.57,53.67,56.18,52.1,57.8,57.57,53.08,67.31,56.4,56.02,54.9,61.5,56.72
53.81,65.83,53.07,64.9,55.6,49.07,58,55.09,60.42,60.02,53.45,61.7,55.62,57.32,69.69,58.98,59.92,49.3,50.52,57.49
55.08,54.22,66.08,56.03,60.87,58.73,54.8,62.43,48.56,57.25,53.3,49.23,54.87,60.38,53.52,57.05,54.9,59.58,58.18,56.58
55.5,43.14,56.47,56.4,58.97,55.1,55.9,59.7,53.78,53.8,55.58,49.93,57.95,58.52,53.68,55.25,49.38,56.55,57.82,54.92
59.58,56.83,56.27,58.43,60.37,58.13,57.8,54.72,59.47,56.1,60.12,54.3,47.19,49.52,56.37,64.25,52.95,58.52,59.15,56.85
55.83,64.25,53.43,55.1,65.07,59.13,55.37,57.29,64.11,56.82,55.05,50.47,57.72,54.08,58.58,56.08,53.45,57.38,48.15,56.7
47.98,62.94,59.67,53.9,62.17,58.37,52.5,55.83,49.87,59.12,60.68,58.87,60.61,51.35,51.38,49.95,54.85,57.92,53.22,55.85
66.22,62.17,57.8,56,53.9,48.17,59.3,60.32,59.89,58.32,53.92,58.53,56.21,54.32,60.09,51.4,58.42,59.02,53.48,57.24
57.06,52.78,52.62,55.47,61.5,46.03,60.47,61.25,52.39,58.08,60.05,58.57,54.61,59.15,65.27,52.92,55.8,60.28,65.65,57.37
59.56,62.39,53.02,64.7,52.33,61.4,56.53,64.73,55.43,51.92,50.68,56.77,58,59.62,55.36,55.18,54.95,58.12,57.55,57.28
56.31,55.56,51.67,53.07,64.43,53.8,47.67,67.09,59.67,52.82,50.8,57.13,55.55,61.12,50.07,63.75,57.1,52.98,50.6,55.85
56.43,61.61,55.47,65.27,62.13,57.3,62.47,54.76,57.42,52.98,53.9,52.83,54.79,52.85,61.74,54.65,54.62,52.95,60,57.06
52.12,61.97,57.04,54.6,59.03,58.2,62.03,52.79,63.48,57.15,57.08,58.4,59.22,59.82,56.6,49.5,55.92,61.62,52.85,57.34
53.94,44.25,55.99,51.3,56.23,57.3,60.3,54.15,55.7,59.02,55.95,52.8,59.2,55.4,70.46,54.95,54.5,56.6,62.25,56.33
63.08,50.06,54.65,54.33,63.23,50.63,52.77,61.36,53.54,58.15,56.25,59.2,56.25,61.8,59.32,59.35,54.58,57.88,57.42,57.05
56.75,57,60.78,52.6,59.83,57.37,53.23,60.08,58.18,54.02,54.8,55.2,60.72,55.02,49.11,58.72,59.9,56.22,64.55,57.06
55.78,56.06,57.28,59.73,48.97,54.6,56.97,59.2,59.04,61.8,54.55,51.67,67.27,60.75,56.27,50.48,60.12,61.3,53.68,57.13
56.41,53.97,61.17,61.67,58.6,60.7,58.63,53.98,58.74,55.1,67.75,49.77,61.05,55.78,61.93,56.25,55.15,53.45,55.22,57.65
46.48,39.75,57.75,47.6,60.2,52.5,60.87,50.49,56.8,55.92,63.58,56.73,51.92,52.95,58.47,56.55,55.85,53.6,51.52,54.19
52.16,71.11,59.91,55.07,51.03,52.03,51.63,55.76,56.77,60.82,54.2,50.17,51.13,53.48,54.68,51.3,59.4,59.62,61.7,55.89
59.66,55.69,59.95,66.23,58.73,56.03,61.77,54.52,48.76,65.58,57.22,56.53,58.86,56.6,60.74,48.7,53.8,50.1,61.7,57.43
57.99,59.11,59.38,53.3,53.33,55.37,54.63,55.25,53,58.78,60.5,57.9,62.61,52.12,50,54.12,55.45,54,60,56.15
55.38,55.22,63.67,54.4,53.63,52.8,55.33,58.76,59.37,61.82,60.78,51.6,50.2,57.55,62.56,50.3,51.12,59.42,54.42,56.23
58.06,53.69,65.48,67.37,58.47,52.07,49.23,62.58,58.08,58.5,51.9,59.7,53.05,52.78,56.92,61.5,49.82,59.08,63.28,57.45
57.77,59.22,57.08,58.4,45.2,51.17,57.53,55.38,50.57,58.08,60.62,55,50.64,62.12,53.02,50.62,56.25,53.68,53.7,55.06
57.08,64.19,52.38,54.5,54.07,58.23,58.07,59.67,58.17,61.82,60.78,65.47,51.84,53.5,49.18,58,54.45,51.1,58.88,56.91
60.24,51.64,60.39,59,64.13,62.47,57.23,61.15,53.52,58.12,55.05,51.3,57.12,53.82,54.36,54.22,57.38,53.82,53.1,56.74
63.06,51.56,57.73,55.07,57.63,58.8,54.6,57.25,57.07,55.72,58.92,58.3,57.88,55.15,49.82,54.35,54.58,61.65,59.15,56.75
55.06,65.53,57.81,49.8,61.07,61.03,49.57,54.56,57.1,50.28,47.82,53.63,51.86,54.9,59.64,51.5,53.95,58.75,57.78,55.35
58.96,46.33,59.88,53.37,56.2,57.33,58.17,56.73,61.85,60.85,55.45,52.5,53.15,56.5,54.68,54,57.55,52.22,58.8,56.03
62.46,51.81,61.34,61.83,56.43,57.37,56.9,55.07,58.32,50.92,58.12,56.9,62.88,56.72,61.79,57.45,57.58,57.25,53.42,57.61
53,46.75,48.14,51.43,52.17,55.53,49.17,56.18,55.19,56.32,59.1,57.9,51.88,57.52,50.12,57.55,56.22,54.42,62.82,54.29
54.05,57.25,52.11,50.27,57.8,56.03,52.3,48.98,55.73,63.28,61.45,61.37,50.78,56.68,63.32,53.05,52.65,57.38,55.45,55.78
58,60.97,53.08,50.43,61.67,59.43,65.53,56.57,56.25,53.68,61.9,58.23,63.42,48.12,55.18,56.95,58.18,55.28,59.58,57.5
47.6,50.61,59.58,57.63,45.9,60.07,53.73,63.46,54.29,60.4,61.68,54.53,57.8,54.82,52.12,63.15,58.18,50.78,54.85,55.85
55.77,58.28,49.23,66.3,49.93,54.63,58.37,53.16,57.38,52.72,61.28,59.67,52.58,58.75,51.07,59.38,51.55,53.85,58.68,55.92
53.79,61.11,60.58,59.07,55.57,51.97,49.4,56.98,51.87,60.45,59.48,57.4,58.74,62.88,62.13,54,58.62,60.9,55.08,57.37
55.38,59.25,45.42,59.87,64.9,51.6,55.33,61.79,51.68,56.08,49.88,48.73,59.11,57.82,57.97,60.25,57.2,52.65,54.72,55.77
51.3,60.14,53.28,55.07,60.17,58.5,61.4,57.77,60.49,62.05,62.28,54.77,59.66,59.2,59.59,54.25,52.95,54.85,53.68,57.44
55.75,61.14,63.72,51.9,50.23,49.17,63.03,64.32,57.97,57.88,64.95,57.8,51.19,55.82,53.67,56.9,62.58,55.12,57.42,57.4
62.56,48.61,56.71,63.53,61.93,58.83,64.2,58.96,57.51,55.85,57.62,53.67,52.73,62.48,62,55.88,57.2,50.02,53.08,57.55
56.6,62.72,53.42,52.73,59.4,60.63,59,57.08,53.87,51.08,53.6,54.87,62.51,52.18,59.57,56.32,58.25,57.22,56.68,56.72
52.06,66.86,60.12,50.97,49.27,53.17,63.37,60.68,57.75,58.32,55.72,51.9,58.87,58.18,56.91,53.68,52.7,48.12,65.8,56.55
65.96,47.58,55.08,57.13,54.13,60.17,52.27,50.88,57.79,61.22,56.98,49.2,58.17,50.92,60.68,54.58,46.78,55.45,55.4,55.28
59.18,59.28,54.32,56.03,51.57,59.83,50.7,51.81,55.35,56.2,56.05,63.5,60.98,58.42,53.29,60.2,49.45,62.15,56.08,56.55
51.98,49.44,54.59,61.03,53.13,58.73,56.17,52.67,55.08,55.38,53.52,56.9,60.16,57.92,57.36,55.72,49.5,61.55,58,55.73
58.06,43.78,60.76,57.33,57.5,54.93,56.27,58.19,57.51,56.85,53.82,55.27,55.29,52.65,49.88,57.1,55.95,50.15,59.12,55.29
51.22,66.81,57.26,55.6,57.67,58.57,63.27,57.38,64.08,48.15,54.1,51.7,52.85,58.18,61.78,57.88,57.12,57.62,53.85,57.11
59.3,57.47,56.7,62.53,60.33,53.87,63.03,58.33,52.71,58.58,49.7,55.47,57.72,54.8,60.48,60.48,54.08,54.45,57.82,57.25
52.66,62.89,54.08,54.33,61.87,63.03,60.27,53.48,55.04,49.98,57.72,55.53,48.84,57.08,47.58,55.78,56.45,61.82,55.7,56.01
67.51,58.25,60.97,55.57,63.03,55.07,59.87,61.99,62.14,55,51.52,54.23,53.91,51.68,54.29,61.45,60.3,57.58,61.55,58.21
51.54,54.92,58.56,61.9,52.57,52.87,51.13,51.39,57.72,58.18,57.85,61.6,59.72,56.85,55.31,56.7,54.6,52.08,61.02,56.13
56.64,42.11,58.78,64.33,52.4,57.17,60.87,55.86,59.34,55.3,54.65,52.83,54.45,55.3,54.08,59.42,51.78,54.85,56.32,55.6
51.4,60.06,56.49,52.63,61,60.3,57.47,54.16,64.58,52.8,58.62,55.27,60.03,53.2,57.31,61,59.1,60.32,58.58,57.6
55.88,48.22,57.67,59.17,54.83,55.33,59.73,48.36,56.38,61,62.25,56.33,60.68,59.82,48.42,55.88,60.62,55.4,57.88,56.52
52.95,56.67,60.29,58.3,59.13,50.13,56.37,50.72,59.22,50.5,61.35,43.07,61.99,54.9,56.22,55.75,53.72,61.5,53.22,55.58
56.91,54.44,58.88,55.97,62.53,55.4,56.97,46.37,56.58,53.8,51.82,50.53,62.91,54.35,50.13,61.4,58.55,63.18,62.1,56.46
55.81,50.39,54.92,62.2,54.7,59.7,57.63,52.45,61.78,56.15,53,50.1,52.73,58.48,54.03,56.08,51.02,57.02,62.78,55.84
55.39,52.83,58.44,51.8,57.57,47.53,52.47,51.17,56.52,57.28,58.78,55.6,54.87,56.5,53.6,59.4,51.82,62.9,61.48,55.58
54.03,60.14,64.89,57.77,54.33,52.23,63.67,59.78,53.46,59.05,54.15,61.4,58.61,58.92,62.22,47.82,52.1,56.22,56.38,57.22
59.75,65.92,58.69,57.47,55.37,55.33,56.33,60.4,48.77,53.48,61.4,64.7,65.66,56.32,55.06,55.48,54.7,55.7,57.35,57.78
58.01,64.31,56.98,55.4,61.33,54.33,59.07,63.67,49.16,56.05,57.22,53.53,52.72,59.3,58.56,56.22,64.25,48.58,60.8,57.34
54.89,52.53,56.25,52.53,61.7,44.47,51.8,55.73,56.01,56.78,62,65.3,54.36,57.45,57.02,55.02,56.52,56.02,54.7,55.85
54.54,59.25,59.33,62.1,66.83,56.4,67.27,55.44,56.19,52.5,59.35,61.83,57.62,61.18,58.4,57.6,50.28,70.58,52.68,58.91
52.75,44.94,50.78,60.13,57.2,49.27,57.23,57.34,63.12,61.25,53.52,62.2,59.55,56.05,59.15,58.52,49.88,51.25,60.12,56.01
59.94,51.97,56.83,49.17,60.2,51.33,58.2,48.36,52.27,50.28,61.22,56.23,50.78,54.92,57.3,52.78,56.5,59.42,52.58,54.75
48.47,44.75,60.04,59.1,53.97,55.23,61.67,60.38,58.55,57.15,49.48,61.03,53.68,52.62,56.58,62.28,59.5,63.3,54.98,56.46
56.82,58.92,59.6,55.63,61.07,63.9,52.5,61.25,57.23,61.22,59.38,65.03,57.08,56.2,53.06,48.22,54.12,59.42,50.68,57.44
50.53,54.58,59.8,59.53,46.77,52.63,53.23,47.54,52.23,51.9,58.98,56.63,50.78,53.8,52.22,53.9,57.15,60.85,58.02,54.27
59.6,55.61,54.55,56.3,63.1,66,61.93,62.93,56.07,53.02,54.05,55.53,59.91,57.6,60.77,67.28,54.08,56.8,54.72,58.41
62.37,61.72,61.62,63.2,57.5,59.2,53.7,56.01,65.14,52.38,60.18,57.57,47.19,58.42,52.84,53.55,56.85,59.45,70.68,58.4
53.99,63.67,60.98,64.07,53.07,58.8,59.77,61.43,55.05,58.12,57.98,58.67,60.33,50.2,59.91,60.05,59.4,54.2,53.98,58.09
54.16,32.39,53.22,58.63,60.77,50.83,50.73,50.12,54.21,58.52,58.9,46.5,57.02,54.75,59.14,56.45,62.15,62.5,55.92,54.57
56.48,55.36,56.16,60.73,62.07,52.03,57.6,56.32,58.27,56.48,57.88,62.63,55.9,49.6,62.02,58.9,53,55.05,56.45,57
63.21,56.69,54.64,59.9,57.53,51.73,63.43,51.17,63.56,54.15,60.85,58.9,53.36,63.3,53.39,52.55,60.72,58.08,53.5,57.4
58.05,48.47,54.98,55.73,59.23,56.83,64.6,55.8,53.55,57.1,60.12,53.97,59.07,59.45,51.68,56.28,56.98,57.55,56.28,56.62
57.53,54.03,55.87,62.9,61.13,59.5,57.73,59.96,59.8,58.52,55.02,57.4,55.58,52.75,55.61,61.8,60.28,60.7,62.15,58.33
56.72,51.67,55.02,58.5,60.8,52.3,58.3,53.81,60.94,65.72,50.35,59.67,70.74,54.2,59.74,53.58,54.32,57.18,60.38,57.58
53.92,61.44,52.88,55.27,56.2,49.37,56.73,49.87,69.46,56.98,55.58,58.3,52.08,58.02,61.8,49.52,61.18,60.4,55.1,56.53
45.62,45.36,61.89,51.83,56.47,66.03,58.4,57.33,59.71,55.95,58.65,63.3,59.64,54.55,52.74,57.85,61.02,53.8,56.48,56.66
54.5,67.58,57.81,59.73,57.77,62.4,52.57,63.49,59.32,57.92,59.22,58.53,61.53,52.48,52.56,54.4,59.35,58.42,57.88,58.29
56.32,59.11,59.79,53.5,67.47,53.07,55.73,58.02,59.13,62.55,58.72,55.3,51.96,61.4,62.55,57.68,59.8,60.28,53.15,58.19
49.66,55.64,52.61,57.27,58.73,50.1,55.33,52.6,58.89,64.53,53.92,64.3,52.42,51.2,63.15,56.22,54.95,54.38,56.75,55.93
60.03,39.22,55.81,53.73,62.57,52.03,55.57,61.12,51.78,60.35,59.32,46.2,58.89,51.8,55.95,53.52,51.02,56.18,61.68,55.09
57.5,66.83,61.8,50.73,54.53,61.4,56,54.62,55.12,52.62,55.42,51.97,62.06,59.42,57.77,58.12,61.72,58.7,52.8,57.32
57.44,55.33,56.57,49.1,61.07,52.47,55.27,55.38,62.35,51.75,62.5,59.8,53.43,54.3,52.52,64.47,54.25,57,55.98,56.37
56.45,68.53,59.56,56.27,50.47,51.4,53.77,60.01,58.56,56.15,54.52,57.83,59.23,57.3,58.2,62.95,46.65,59.55,57.48,57.1
46.54,41.58,57.41,57.83,54.77,63.5,52.73,52.5,53.32,58.9,54.8,64.9,53.27,52.72,64.32,53.08,59.1,64.18,54.25,55.77
57.89,60.69,53.88,49.13,56.27,55.1,59.57,55.79,61.17,61.22,54.85,58.33,56.33,56.82,66.32,56.2,55.42,62.58,55.72,57.54
57.06,58.83,55.4,52.07,57.47,59.53,55.27,56.29,58.17,61.65,57.92,60.07,56.4,51.32,53.93,51.12,54.85,53.35,56.58,56.17
51.55,66.94,59.08,56.13,53.2,59.1,53.43,57.4,57.92,60.32,51.55,51.57,62.2,59.22,54.88,58.42,54.65,58.12,59.52,57.12
58.42,54.36,52.86,53.9,66.07,53.23,58.63,51.9,57.85,55.42,48.72,54.57,51.01,57.58,63.47,62.38,52.9,57.72,56.85,56.2
50.81,60.56,61.52,60.17,57.97,61.13,55.2,56.62,53.62,55.4,64.88,59,51.22,56.92,57.82,60.62,58.68,51.92,58.8,57.52
63.44,54.25,58.64,59.83,50.23,59.63,65.43,58.04,63.8,55.05,51.88,63.07,60.52,59.5,59.83,55.32,48.6,53.9,56.95,57.79
48.12,49.42,63.93,56.57,65.63,54.2,61.8,53.99,62,60.95,53.02,61.37,57.16,54.82,58.42,63.65,62.75,56.82,54.82,57.87
53.22,60.44,59.88,62,59.7,62,54.53,62.54,54.48,58.7,53.62,61.13,50.12,55.68,66.01,57.42,64.22,56.82,56.98,58.4
50.78,51.11,52.87,61.1,57.03,61.07,55.37,48.6,51.94,58.95,56.5,66.77,57.98,56.22,50.54,55.48,54.18,55.42,63.4,56.07
59.18,37.58,68.64,56.4,62.83,59.1,56.3,53.88,58.09,60.92,58.78,55.5,54.75,61.08,54.3,52.65,64.3,59.78,51.65,57.14
48.55,50.11,57.42,58.47,55.87,47.2,52.93,56.12,51.58,54.68,53.45,54.77,59.62,59.58,52.53,60.7,60.95,62.98,56.48,55.47
60.06,59.61,61.79,53.83,50.77,53.73,57.27,61.09,60.91,57.8,56.85,54.3,54.71,54.52,54.37,56.95,49.58,57.18,53.72,56.27
61.07,49.94,54.79,49.63,55.37,57.53,50.67,50.97,53.9,59.45,57.75,52.37,53.42,60.3,56.92,58.4,53.6,53.52,48.5,54.64
47.06,60.11,56.9,58.47,59.47,50.3,51.8,56.68,55.31,59.85,57.45,56.83,53.52,60.82,54.41,59.12,46.98,56.62,50.28,55.37
59.38,65.58,58.2,51.63,61.4,62.47,65.93,52.87,63.05,57.55,65.5,55.57,52.58,59.78,54.43,54.48,59.52,51.88,53.7,58.18
60.71,59.56,53.47,57.3,54.6,56.77,61.33,57.49,48.31,53.78,62.8,56.87,58.75,53.65,58.42,53.78,59.1,57.82,55.6,56.85
49.77,61.47,60.36,66.8,49.7,58.53,53.97,57.92,62.58,57.75,50.65,59.43,58.94,64.08,66.9,52.8,57.45,58.15,63.68,58.47
60.35,61.83,49.17,63.97,54.5,56.07,52.13,58.79,55.48,53.58,57.3,52.73,59.18,56.92,58.51,52.3,62.22,61.08,60.68,57.2
59.31,48.69,43.16,55.27,58,53.6,53.9,59.92,60.69,56.7,62.42,50.23,60.97,52.6,56.36,64.55,51.98,51.85,53.58,55.46
59.84,56.03,59.62,57.8,55.7,57.7,60.1,57.13,56.63,52.5,56.7,53.2,55.15,52.88,55.02,54.7,49.32,52.95,61.48,56.02
54.28,56.67,57.63,55.87,51.63,62.77,62.27,60.88,60.43,58.38,58.88,52.2,61.32,56.98,67.61,56.95,53.35,58.75,54.88,57.98
63.79,55.58,53.68,61.1,57.33,51.87,56.97,55.92,54.63,61.8,59.42,55.27,62.65,55.55,50.73,65.5,60.68,58.22,57.3,57.79
50.45,58.78,59.7,41.27,60.13,56.57,52.6,56.87,55.48,60.3,54.02,57,61.58,55,60.55,53.9,60.6,65.28,56.45,56.66
57.64,67.5,58.55,56.23,58.07,52.7,59.03,51.75,60.17,57.32,57.6,51.27,65.27,54.95,57.94,55.12,61.92,48.08,53.42,57.08
