ESU10000,SSU10000,CSU10000,GNT10000,CGS10000,GRC10000,ERM10000,AUD10000,POL10000,REG10000,ETI10000,CGV10000,IGV10000,CPI10000,ESRC_001
85.17,85.33,88.5,80.25,87.33,86.83,89.83,84.5,89,85.83,87,91.67,82.67,88.67,86.61
89.44,81.5,87.83,85.75,89,87.17,89,86.83,87.5,81,84.5,91.83,87.83,89.67,87.06
90.44,87.67,85.5,81,86.17,90.61,86.17,86.67,83.33,88.67,86,85.5,88.5,83,86.37
84.67,80.5,88.17,84.25,89,84.78,83.67,89.33,85.67,86.33,85.5,82.17,81.83,84.17,85
90.06,93,85.33,82.5,82,89.17,86.33,90.33,86.67,81.67,84,87.83,91,84.67,86.75
89.89,84.33,83.17,92.75,89,89.44,86.33,86.17,87.17,91.17,93,89,89.5,87.67,88.47
87.06,84.17,85.83,86.75,88,81.39,84.83,85,88.83,90.67,87.33,84.5,86.17,84,86.04
83.22,89,90.67,86.5,87,83.83,81.33,87,83,94.67,86.17,85.67,90.17,82.17,86.46
85.39,86.83,85.67,87.5,84,89.22,85.83,84.33,89.5,88.33,86.5,88.33,85.33,84,86.48
86.72,87.5,90.17,87.75,86.33,87.5,86,85.83,81.33,86.5,88.83,81.33,84.83,90.5,86.51
86.78,88.83,86.17,88.75,86.17,85.61,86.67,90,89.17,89.33,87,84,83,86.83,87.02
82.78,87.67,84.83,87,84,85.44,84,84.33,89.17,79.5,88.67,82.33,86.5,86.17,85.17
87.06,81.83,86,88.25,88,82.83,86.5,87.5,88.83,91.67,79.67,86.33,85.33,87,86.2
85.44,88,87.17,88,85.83,82.61,82.83,84.5,86.5,83.67,87.5,85.17,81.5,84.67,85.24
86.28,86.67,85.17,89,85,88.89,87.5,87.67,87,89.5,88.17,89.17,86.83,87.33,87.44
85.89,86.67,86.5,86,87.33,87.22,84.17,89,88.83,89.33,87.5,86.5,89.33,88.83,87.37
83.39,83.67,85.83,87.75,87.83,84.72,85,88.83,88.67,88.67,85,89.33,80.33,83.67,85.91
88.61,87.33,89.67,82,85.17,84.61,85,86.33,86.17,86.5,88.5,85.83,87.67,83.83,86.23
85.83,86.83,84.67,88,91.67,86.83,84.5,87.33,91,83.33,89.17,86.33,85.5,85.17,86.87
88.78,88.67,89.67,88,84.33,88.67,82.83,88,87.33,91.17,86.67,83,93.83,84.67,87.54
85.78,88.67,87,81.5,84,83.33,82.67,86,82.17,83.17,83.33,84.5,87,86.83,84.71
88.44,83.5,88,90.25,86.5,90.22,87,86,88.5,88.67,82.67,85.17,91.5,87.17,87.4
85.72,82.17,89,89.75,86,89.83,88.33,79.17,85.83,87.5,87.5,86.17,84.17,84.67,86.13
85.06,86.67,84,87.75,88.83,88.5,86.5,86,84,86,84.83,86.17,85.5,87.67,86.25
85.89,84,87.67,89.75,87.83,87.94,90,84.5,88.17,90.5,88.17,86.67,89.83,82.33,87.37
84.17,80.5,90.83,87.5,81.17,85.11,88.83,86.33,81,88.83,81.83,82.67,82.83,84.67,84.73
85.06,87,85,82.5,87.67,88.11,85.83,86,87.5,87.17,87,86,87.67,83.83,86.17
85.89,83.5,92,88.75,85.67,88.06,87.5,90.5,84.17,88.17,92,86.33,87.33,84.17,87.43
89.28,88,80,85.25,87.67,88.44,91.33,87.67,90.67,83.5,86.67,86.5,92,85,87.28
90.78,91.5,88.5,90.5,85.17,86.5,89.33,84.17,86,85.33,87.83,88.67,87.17,91,88.03
87.17,86,85,89.5,84,89.06,88,86.17,86,87.5,88.17,90.67,84.17,88.33,87.12
85.06,84.83,83.83,84.5,82.17,86,85.83,89.33,91.67,81.17,84.33,90.5,84.83,84.67,85.62
87.06,88,85.83,90.25,85.83,87.5,82.17,88.67,89.83,89.33,85.5,87.67,86.17,86.17,87.14
84.83,90.5,85.5,86,89.67,85.94,87,82.33,90,87.5,82.17,84.83,86.67,86.83,86.41
87.28,86,85.33,85,88.83,89.94,86.5,88.83,84.83,80.67,85.67,86.67,86.67,88.17,86.46
87.17,86,89,80.5,80.33,89.56,86.33,87.5,87.33,88,91.5,86.67,87.67,87.5,86.79
80.5,87.83,85.67,84,86.5,84.5,89.33,87.17,86.83,87.33,85,85.5,86.67,87.17,86
82.78,91.17,84.17,86,86.5,87.72,88.17,87.83,81.67,91,89.83,86.5,87.17,91.33,87.27
84.56,86,82.5,89.75,87.5,92.28,90.67,84.83,91.67,86,89.5,84.33,87.33,84,87.21
85.72,87.5,82.33,79.75,87.83,85,89.17,86.67,84.67,83.5,90.33,80.17,92,86.33,85.78
89.44,86.67,84.5,83.75,84.5,88.33,87.33,84.17,87.5,89.67,83.17,92.33,91.33,81.33,86.72
87.67,83.5,85.83,88.25,89.5,86.72,92.33,82.17,85.67,86.33,85.67,87.5,87.33,85.17,86.69
86.44,89.67,88,87,89,86.94,85.5,87,85,88,89.5,90.83,86.67,87.83,87.67
85.5,85.83,82.67,85.25,84.17,88.17,87.83,87,86.83,88.83,91.5,82.33,88,85.67,86.4
89,86.17,88.17,82,89.5,86.94,88.5,86.17,85.5,84.17,87.17,86.5,83.33,87.17,86.45
80.89,89.67,82.33,91,83,88.5,87.83,83,89,84,89,83,86.5,87.67,86.1
88.28,88.17,85,87.25,84,88.17,86,88.83,87.33,84.67,87.33,84,86.83,81.67,86.25
91.17,81.33,83,88.5,83.33,91.06,88.67,85.17,89.83,84.17,90.83,90,84.33,84,86.81
84.11,87.67,84.83,86.5,88.5,84.94,89.33,86,89.33,85.83,84.83,81.67,85.33,83.17,85.86
90,90.33,81,88,92.17,85.5,85.83,89.33,86.83,82,87,88.33,84.83,88.5,87.12
87.61,86,88.5,85.75,85,88.67,84,85,88.17,86,86.17,87.33,85.83,85.5,86.39
86.78,89.17,83.67,92.75,86.33,84.78,88.17,85,80.67,86,88.67,81.33,89.33,86,86.33
88.39,89.5,89.67,89.5,86.5,85.61,88.17,88.5,88.33,83.83,89.33,84.17,89.17,84.67,87.52
84.89,88.67,80.17,85.25,91,85.61,90.5,82.83,85.5,85.17,82,84.5,85.33,87.5,85.64
89.56,88.83,86,84,89.67,83.28,83.5,89.83,88.5,85.5,85.17,90.83,86.5,81.33,86.61
86.28,85.17,87.83,87.5,83.5,86.78,86,86.67,86.17,86,87.17,88.5,86,83.67,86.23
89.28,87.17,88.5,89.5,89.83,84.72,84.17,84,89.83,84.33,86.5,84,87.33,84.67,86.7
84.78,81.67,85.33,85.25,88.33,87.17,85,84,85.33,87,84.33,87.5,85.67,89.33,85.76
85.33,88.67,86.67,88.75,80,85.17,85,86.67,86.33,87.67,87.33,86.83,83.67,90.5,86.33
91.67,85.17,92.17,83,93.17,90.94,89.5,86,83.17,88.17,85.17,85,86.67,90.83,87.9
87.83,87.33,87.67,88.75,83.5,87.22,78.83,84.17,89.33,84.83,87.67,80.33,84,85.17,85.47
89.78,90.5,89.17,82.5,92.17,82.33,87.83,86.5,85.5,86.67,86.67,92.33,82.67,89.17,87.41
89.56,83.67,84,88,90.17,87.11,85.33,84.33,84.67,91,94,84.83,83.5,87.83,87
85.22,85,88.83,84.25,89,88.39,88.33,88.67,90.83,85.33,86.33,91.67,81.67,85.33,87.06
86.28,87.67,84.5,83,88.83,90.17,89.83,88,89.5,94.17,87.83,84.5,83.67,83.83,87.27
90.94,91.33,85.67,85,86.33,86.94,81.17,84,83.17,83.33,81,86.5,89,87.83,85.87
87.94,81.17,89.17,85.75,89.33,85.22,80.17,86.5,85.83,91.67,86.17,87.67,89.67,89.33,86.83
84.89,92.17,79,85.5,86,81.44,87.33,82.83,89,84.67,85.5,90.33,86.33,82.33,85.52
85.39,91,85.5,83,80.5,88,88.83,86.67,87.83,87.67,87,89.17,86.67,87,86.73
84.72,86.33,90,87,90.5,87.61,88.83,87.5,93.67,85.33,85,87.33,85.83,87.33,87.64
86.5,88.17,83.67,89,89.83,85.28,86,85.83,85.17,86,81.83,88.17,84,89.5,86.35
85.28,87.5,85.5,86.25,82.83,87.33,86,87.67,85.17,87.67,90,82.33,86.67,90.67,86.49
88.06,87.17,86,84.25,83.5,86,91.5,84.33,87.33,84.67,84,86.67,86.33,89.33,86.37
89.33,88.33,87,89.25,88.33,85.67,86.67,87.17,85.17,86.17,87,88.33,82.67,86,86.93
83.28,83.5,88.83,84.25,81.17,87.89,83,84,84,88.17,86,85.67,84.83,86,85.04
87.56,85.67,86.17,86.25,84.67,87.5,87.5,86,88.83,87.17,82.17,88,86.17,89.83,86.68
83.89,82.5,87.5,86.5,85.17,90.94,87,87.67,85.5,90,88.33,82.83,89.5,87,86.74
83.28,77.33,87.67,89,87,85.28,85.5,88,84.5,86.67,86.33,87,86.67,89.5,85.98
85.94,90,81.67,89.25,90.5,88.11,85,85.33,91.17,84.83,88,89.83,90.67,88,87.74
87.61,83.33,84.67,84.5,84.17,89.5,92,85,82.83,86.83,83,82.83,87.33,88.5,85.87
83.83,89.67,85.33,86.25,89.83,85.44,81.17,85,92,81.5,90.17,90.5,89.83,85.33,86.85
87.83,89.17,87.5,84.5,83,91.44,83.67,84.83,83.83,87.83,84.67,89.67,85.33,89.5,86.63
93.22,86.67,90,80.5,88.17,82.39,85.5,82,85,88.67,88.33,83.5,92.67,86.67,86.66
87.89,87.17,84.17,91.25,87.5,88.83,83.83,90.67,82.83,93.33,93.67,81.83,82.17,81.67,86.91
90,86.33,89.83,93,86.17,91.67,89.67,85.83,85.5,86.33,88.17,87.67,81,85.83,87.64
89.56,88.5,88.17,85.25,85.5,90.33,87.33,86.17,87.17,86.17,83.17,87.33,87,81.83,86.68
85.5,88,88.33,86.75,92.83,87,90.5,93.17,88.33,85.5,83.67,87.67,83.5,91,87.98
88.28,90.33,82.5,82.25,89.33,85.06,89.17,86.5,86,87.33,82.33,88.33,90.5,87.5,86.82
88.17,84,85.33,84.25,85.17,84.67,86.83,80.83,90.5,83.83,83.33,93.5,86.17,90.5,86.22
87.06,85.33,86.33,83.5,85,86.83,84.17,85.33,86.67,88.5,84,82.17,84.5,89.5,85.63
87.11,88.17,80.83,83.75,86,85.89,84.33,88.5,82.67,85.5,85.33,83.33,88,88,85.53
85.22,81.83,87,85,88.5,84.89,88.5,88.33,86.83,83.33,85.33,84.5,89.33,89,86.26
84.44,87,84.67,87.75,88.67,90,87.33,82.33,84.17,91.83,87,89.33,89.33,83,86.92
85.5,87.5,84.17,81,89.83,83.72,87.5,89.67,86.17,85.17,89.67,83.17,89,86.5,86.33
86.89,84.67,87.67,82.5,84.67,84.44,90.83,86.17,86.83,78.33,89.17,87.83,81.33,83.33,85.33
88.78,88.5,79,79,84.67,86.56,85.5,93.83,86.67,87,89,87.67,87,82.5,86.12
88.89,86.33,86,88,85.67,84.06,77.5,84,83.83,85.5,91.17,84,89.67,90.67,86.09
86.61,84.67,83.67,88,85,88.22,84.33,88.67,83.17,86.33,85.33,85.67,82.17,85.17,85.5
90.11,85.17,84.17,86.5,87.83,83.56,88.17,86.83,88.5,87.5,86.67,86.83,89,86.67,86.96
91.72,87,86.5,87.25,85.5,81.28,84.83,86.83,86.17,85,81.33,86.83,87.67,88.83,86.2
90.78,87,87.5,94,90.5,85.72,87.67,80.5,79.17,82.5,84.67,81.5,87.67,81.33,85.75
84.78,80.67,93,87.5,83.33,90.44,85.83,87.33,85.33,85.67,84.17,89.33,89.5,89.5,86.88
90.33,83.67,84.5,84.5,87.67,86.78,88.67,88.83,89.17,88.33,88.67,84.5,87.17,88.67,87.25
89.28,84.67,89.83,90,87.83,82.22,89.33,86.33,84,81.17,87,84.17,85.5,84,86.1
86.06,89.83,89.83,91,87.5,80.78,89.83,85.33,90,84.67,89.17,80.33,92,92.83,87.8
86.5,85.17,83.17,78.25,90,88.56,82.83,88.17,85,81.33,88.33,86.33,89,83.67,85.45
88,84,89.83,83.25,82.67,89.39,88.5,84.17,85.67,85.5,91.33,86.5,87.67,88,86.75
85.33,88.17,90.33,90.25,83.33,84.78,86.83,83.67,88.67,85.83,90,90.5,82.67,85.17,86.82
84.28,81.5,86.5,92,83.17,82.83,86.33,92.5,90,86.17,89,86.33,86.17,87,86.7
89.56,89.67,83.67,91,85.83,86.67,88,88.5,90.67,87.17,91.33,85,80.83,87.33,87.52
86.39,92.5,87,82,83.5,82.78,88.5,83.33,89,81.83,82.83,85.67,87.67,88,85.79
85.44,86.67,90.33,80.25,84.17,83.28,90.33,86.33,89.67,89.5,80.5,85,81.33,84.33,85.51
89.11,89,90,91.5,89.83,88.5,91.67,85,89.67,86,83,82.33,91.67,89,88.31
86.17,89.33,88,89.25,86.5,86.94,86.5,86.5,82.33,90.33,84.5,87.67,90.5,83.67,87.01
81.72,82.83,83.83,85.75,84.5,88.67,87.33,86,85,88.33,88.5,92,88.33,86.83,86.4
82.94,85.5,89.33,83.5,85.33,85.67,85.83,84.17,90.83,84.33,88.83,87.17,91.17,84,86.33
90.17,80,82.5,91.25,81.83,87.06,84.5,89.5,89,88.33,92.17,87,88.67,87.33,87.09
91.17,92.67,92,88,86.17,90.89,86.67,89.67,83.5,89.17,83.33,89.5,82.5,85.33,87.9
87.17,89,87.5,84.5,92.17,88.72,85.5,82.67,93.17,89.17,80.33,89.5,85.67,90.17,87.52
87.39,90.17,85,88.5,82.83,85.11,84.83,93.17,91.5,87.33,86.33,85.33,89.17,87.33,87.43
87.22,81,88,85.75,85.83,92.06,90,86,84,85.17,86.83,85.5,84.33,93,86.76
85.94,86.17,92,90.5,83.83,90.83,87.67,88.83,88.83,91.5,90.67,90.33,92.5,88,89.12
84.22,85.67,80.33,87.25,82.5,92.17,85.67,94.67,91.67,86.33,89.33,82.67,88.5,88.67,87.12
86.61,89.5,87.5,85,88.83,90.28,86.67,83.33,91.33,83.17,88.67,82.67,84.67,87,86.8
88.78,89,90.5,87.75,86,87.33,86.5,89.17,87.33,86,91.83,84.5,87.83,87.33,87.85
88.06,86.33,89.67,84.75,87.17,86.94,87,87.83,90,86.17,86.83,87.5,87.83,92,87.72
85.67,84.83,87.17,90.25,88.17,89.33,81.67,84.5,89.17,89,89.5,90.67,84.33,89,87.38
90.06,84.5,86.67,88.25,87.33,84.72,87.67,88.83,82.67,87.17,87.5,81.5,85.67,79.83,85.88
87.39,87.5,86.83,86.75,81.67,90.06,84.5,83.33,80.5,84.83,87,91.67,85.17,85.17,85.88
86.06,91.5,88.5,79,83.33,86.22,82,87.67,89,90.17,92.67,86.83,92.17,83.67,87.06
85.33,85.33,84.17,86.75,82.67,85,81.67,86,87.67,90.17,89,88.33,86.83,92.33,86.52
87.39,88,88.17,81.25,86.83,80.33,88.5,87.83,84.83,85.67,86.83,86.33,82.83,87.67,85.89
87.28,88.83,88.17,77.5,87.83,85.61,89,88,85.67,85.83,87.83,82.67,88.5,87,86.41
87.11,83,86.5,85.5,85.33,91.06,84,88.17,90.17,85,83.33,84.67,85.83,85.83,86.11
85.17,88.33,86.5,88.25,85.83,87.67,81,83,83.5,84.83,85.67,86.67,90.33,83.33,85.72
83.06,88,89.33,86,87.83,85.39,87.5,85.33,93.5,81.17,91.33,87.83,87.33,86.83,87.17
89.33,81.67,85,85,84.67,80.94,81.67,91,88.33,88.5,83.83,85.83,88,85,85.63
89.39,90.83,87.33,84,88.33,88.44,82.67,84.83,82.17,86.67,90.83,88.67,86.17,94.67,87.5
91.94,83.33,84.17,86.25,90.17,87.61,83.17,87.67,89.83,83.67,83.83,85.83,83,86.67,86.22
91.17,90,80.5,86.25,87.67,86.28,89.67,82.17,87.17,85.17,81.67,88.33,90.17,85.33,86.54
86.28,83.83,84,86.25,86.17,90.17,85.67,83.33,88.67,77.33,79.5,82.5,89.17,85.83,84.91
87.22,85.67,89.5,87,83.17,88.33,82,88.17,90,84.67,84.33,87.33,86.83,87.17,86.53
91.28,83.5,87.33,87.25,89.5,87.28,85.5,87.33,86,86.17,88,86.67,83.17,87.5,86.89
83.78,83.83,89.83,87,88,85.11,85.83,86.67,84.33,83,88,80.5,85.33,90.33,85.83
87.44,85.83,84.67,84.25,89.5,84.67,84.67,87.5,85.33,85.67,87.5,86.83,87.83,88.33,86.43
87.17,88.5,94.33,83.75,84.67,85.33,84.83,89,85.83,91.67,84.67,87,87.5,85.33,87.11
90.33,84.17,81.83,87.75,88.5,89.39,87.17,84.67,85.67,83.83,89.17,85.33,87,85.83,86.47
82.83,84.5,86.33,83.5,85.5,85.5,82.83,89.83,86.83,88.5,90.33,83.67,86.5,84,85.76
87.28,90.83,86.5,87,88.17,87.83,88.67,85.5,87.67,88.83,87.5,86.33,86.17,90.83,87.79
92.33,86,89.17,88,87.33,83,91.5,91.17,87.5,82.83,87.67,85.17,87.5,85.33,87.46
90.67,86.83,91.17,85.75,84.83,80.44,83.33,85.5,82.67,84.5,81.17,85.17,86.5,87.5,85.43
83.28,91.17,85.83,82.5,86.83,88.28,88,84.5,84.5,86.17,84.33,88.67,91.33,82.5,86.28
80.89,82.5,87.5,84.75,85.5,85.78,90.33,82.5,87.17,84.83,84.33,89.83,82.5,87.33,85.41
87.44,94.17,90.33,86.75,83.67,82.39,81.17,84.83,81.17,84.5,87,87.17,87.17,86.33,86.01
90.44,88.33,84.17,88.75,88,83.5,80.33,86,86,89,88,83.5,84.5,88.17,86.34
88.89,86,83.83,89.25,86.67,89.83,86.67,83.67,86,92.33,87.17,88.17,83.67,82.83,86.78
85.33,85,83.33,90.25,89.33,85.89,85,83.5,88.17,86.5,81.17,85.17,86.17,88,85.91
79.5,86,83.67,82.75,86,86.61,85,87.17,91.67,92.17,77.67,88,86.5,86,85.62
85.17,87.17,89,85.5,89.17,85.67,84.17,85.33,83.83,82,87.5,92.33,87.5,89,86.67
86.78,87.17,82.33,80.25,81.5,88.28,87,85.67,91.67,84.17,82.67,85,86.17,82.5,85.08
82.33,80.17,87.17,80,95.5,84.5,88.67,87.17,87.83,87.33,88.67,83.33,86.83,87.67,86.23
86.33,84.83,88.17,87,88.83,85.28,87.33,87.5,86,87.33,79.67,91.5,88,83.83,86.54
84.17,84.17,83.67,80.75,88,85.11,86.5,88.17,91.83,86,82.67,88.67,86.83,78.67,85.37
88.67,84,94.33,87.5,84.33,83.33,83.5,86.17,85.33,85.17,84.67,85.83,89.67,84.67,86.23
91.94,90.67,89,82.75,91.83,87.61,87.5,84.5,85.83,90.17,85.83,82.67,89.83,86,87.58
87,85,88.67,85.5,82.33,83.61,86.67,85.17,89.83,89.83,88,85.33,87,87.17,86.51
85.39,87.5,90.17,88.5,87,88.5,85.67,87.33,84.33,90.67,86.33,84.33,87.67,88,87.24
84.78,91.17,86.33,88,85.83,84.44,90.67,86.33,85.67,89.83,83.67,89,84.67,84.83,86.8
86.22,87.17,91.33,89.5,87.83,85.06,87.17,85.83,87.83,88.33,90.67,86.5,84.5,86.33,87.45
81.83,84.5,88.83,86.5,84.5,89.5,86.83,84.83,84,89.5,85.5,89.17,83.67,84.67,85.99
85.72,83.17,87.5,86.5,86,88.94,87.33,84.17,86.83,86.5,85.67,84.67,84.67,83.33,85.79
88.67,81,83.17,87.5,85.67,86.17,90.17,83.83,82,88.5,83.83,85.67,89,80.83,85.43
85.5,80.33,83.5,83.25,88.33,88.11,80.67,91.67,82,86.83,80.17,84.17,90,84.33,84.92
82.83,88,88.17,86.25,81.67,82.94,85.17,90,80.33,86,84.5,85.33,81,88,85.01
