CSR10000,CEM10000,ORH10000,CRM10000,ITM10000,CIM10000,CPM10000,QSL10000,BIM10000,BPR10000,BIH10000,BEV10000,CHG10000,CBC10000,RTN10000,CII10000,CCM10000,CSP10000,CFS10000,CUST_001
58.73,65.57,57.4,61.95,64.42,58.84,62.95,67.16,62.89,62.84,59.84,50.95,59.32,48.16,61.95,54.68,49.32,54.47,58.74,58.96
65.13,59.14,59.67,60.53,60.11,56.26,55.63,60.11,58.68,62,57.37,57.47,52.11,51.95,53.21,60.37,67.47,48.16,52.21,57.77
61.73,52.57,63.4,59.42,53.26,56.53,57.53,65.89,54.95,56.68,71.79,53.16,55,63.84,58.21,54.26,63.11,68.74,65.89,59.79
53.27,55.5,57.93,63.32,51.79,62.37,61.37,56.89,64.63,60.37,49.79,66.21,62.37,56.95,64.11,59.16,70,57.63,49.95,59.14
61.87,67.21,58.93,58.05,63.32,65,54.74,57.89,58.68,56.79,65.58,65.58,62,55.47,64,48.89,59.84,74.11,64.37,61.18
52.47,58.79,53.67,55.05,49.21,62.63,50.58,54.68,59.42,57.58,54.21,64.84,61.74,59.68,62.11,52.26,57.68,56.79,63.53,57.21
43.8,64.71,59.27,59.89,61.26,52.84,54.37,55.32,68.11,66.89,61.16,68.68,61.74,48.11,58.47,60.37,61.05,62.37,62,59.5
67.93,56.14,62.4,66.63,60.68,61.68,61.05,58.58,67.89,60.37,61.74,63.26,63.74,50.47,50.79,65.79,56.21,58.16,53.63,60.38
67,60.64,48.87,59.16,52.37,59.79,67.58,61.05,63.84,65.53,67.42,55.89,55.11,61.47,59.47,56.21,56.53,54.79,53.37,59.27
55.93,54.43,59.67,63.74,63.95,59.47,46.37,66.42,52.58,55.84,65.16,62,60.63,58.42,54.74,54.58,55.42,58.63,66.37,58.65
63.93,67.79,63.33,64.26,53,53.32,56.11,60.79,61.74,54.89,54.89,71.58,57.89,70.42,55.32,61.63,62.63,54.42,53.05,60.05
62.07,46.21,62.87,55.89,57.68,60.58,56.63,57.63,59.95,52.32,69.11,56.63,57.95,61.63,59.79,56.84,59.84,67.63,54.42,58.72
56.13,57.43,65.73,52.47,50.79,60.32,58.68,61.21,51.37,61.32,62.26,57.37,58.26,55.16,62.68,53.74,54.63,62.26,54.05,57.68
61.27,47.36,65.53,65.11,69.79,58.63,62.63,55.79,59.63,58.42,66.11,54.58,60.21,55.42,63.74,65,58.47,57.84,63.89,60.5
52.87,65.5,59.4,68.21,66.84,55.47,59.89,56.79,56.95,63.63,64.26,67.84,55.58,60.11,70.42,68.16,58.37,68.16,58.16,61.93
55.33,65.5,63.2,64.26,63.16,61.16,61.16,67.16,54.32,53.26,61.42,65.05,59.63,56.26,51.63,62.63,62.05,58.42,63.63,60.49
67,66,54.2,66.47,63.11,60.79,72.63,64.26,60.21,64.42,71,62.53,59.32,60.11,60.58,56,59.95,55.16,60.79,62.34
44,56.07,54.33,59.05,66.84,57.53,64.74,60.63,54.84,63.95,68.21,57.05,55.79,54.84,60.79,49.47,53.74,56.63,59.53,57.79
61.8,54.57,50.67,58,57.63,60.89,59.53,60.79,55.11,61.68,46.11,55.68,59.89,61.21,59.68,53.89,65.95,60.53,58.26,57.99
62.13,61.86,54.33,65.95,59.74,53.11,58.47,52.89,65.84,64.79,61.89,52.16,60.74,59.79,58.21,61.05,65.95,64.26,62.89,60.32
60.53,47.36,63.33,61.47,67.47,55,60.42,67.84,56.95,59.68,56.89,62.37,59.21,59.74,55.16,56.79,63.37,59.53,58.68,59.57
65.67,47.29,54.73,57.32,54.16,60.42,69,72.63,63.05,60.84,55.26,55.37,53.16,60.58,62.79,59.95,64.63,67,57.16,60.05
63.07,65.86,56.53,56.84,60,65.26,59.05,62.58,55.42,59.84,62.63,55.84,57.89,54.58,53.74,59.68,58.05,51.21,58.26,58.76
63.4,65,63.67,52.84,57.26,67.26,58.58,61.84,71.21,61.89,57.05,62.21,60.37,53.53,71.37,53.68,60.63,53.58,56.11,60.6
57.27,58.14,56.87,65.53,58,65.37,59.89,67.58,60,60.11,61.74,46.95,57.74,69.42,61.21,61.42,59.47,56.58,63.63,60.36
67.4,56.29,43.13,61.26,58.11,58.68,52.26,63.05,61.11,64.11,67.11,54.42,55.74,58.79,46.21,53.58,47.84,59.37,55.53,57.05
61.47,64.21,59.47,57.58,53.79,56.53,54.05,67.11,62.84,58.16,55.16,55.63,58,60.05,72.26,62.05,66.89,53.47,60.16,59.94
66.27,66.93,71.33,62.16,62.53,67.74,58.53,61.21,57.53,69.05,58.37,69.63,61.63,55.05,52.89,51.16,53.68,51.32,58.11,60.8
53.13,57.71,55.4,63.37,53.42,64.95,66.84,62.21,52.95,60.37,63,47.89,56.47,62.53,61.16,60.53,62.95,51.79,50.95,58.3
58.8,70.36,68.13,62.32,70.74,61.58,60.79,57.79,54.26,53.16,54.79,62.42,60.21,63.16,57.79,69.53,58,61.47,64.63,61.57
62.93,55.14,67.67,58.68,59.32,57.58,54.95,59.11,60.05,59.05,60.05,59.47,62.26,60.63,63.63,59.58,52.53,47.21,63.16,59.11
54.07,66.93,65.47,66.32,56.05,60.37,72.11,55.32,56.05,62.05,56.32,60.84,61.47,64.26,53.53,58.26,58.05,58.84,56.37,60.14
59.33,61.71,54.4,63.79,61.16,54.89,58.68,54.58,61.53,54.47,57.63,55.42,57.89,67.47,64.11,56.79,54.21,52.79,57,58.31
71.53,69.07,66.67,53.79,63.89,61.32,65,56.53,55.58,66.89,58.05,60.79,55.79,59.16,60.42,60.68,57.32,62.79,49.05,60.75
59.67,58.71,60,48.37,58.53,59,52.84,48.95,63.58,68.11,56.84,55.42,55.32,56.89,55.11,58.53,52.84,61.74,59.42,57.36
54.67,64.79,71.33,60.58,59.42,61.63,69.58,51.84,63,54.11,58.47,57.58,60.74,60,61.47,63.63,66.42,60.63,58.89,60.99
58.8,64.21,61.47,71.21,60.53,58.21,56.89,61.26,57.32,61.26,57.74,61.11,61.42,54.11,60.16,59.63,58.79,58.42,74.05,60.87
59.07,59.36,60.33,56.47,68.26,51.32,54.89,62.53,54.58,63.74,52.42,61.11,57.58,65.84,60.26,51.26,57.37,63.16,64.37,59.15
65.47,54.86,59.67,60.32,50.84,62.89,54.95,50.63,53.74,50.21,57.32,65.53,62.42,50.21,60.74,65.26,60.84,58.16,69.53,58.61
56.8,59.21,67.67,57.74,57.32,56.95,58,60.53,51,62.21,67.05,54.95,63,50,46.53,59.11,57.11,54.16,57.74,57.74
56.53,64.14,52.93,55.68,71.79,72.68,52.47,61.79,60.89,59.63,63.26,58.16,52.16,52.53,75.89,59.26,68.53,57,60.89,60.85
63.07,70.5,56.07,57.89,49.47,58.58,57.95,61.95,59.63,51.89,63,55.21,65.42,65.95,59.32,59.53,50.63,68.89,54.89,59.47
50.4,67.21,55.67,65.26,61.79,54.89,64.89,53.42,61.47,64.79,65.63,66.84,61.79,69.26,57.11,49.89,72.42,59.84,62,61.29
56.8,55.57,60.33,59.95,49.89,53,63.21,56.63,60.53,60,63.95,53.58,54.42,60.68,58.21,58.26,58.37,60.37,68.84,58.56
50.87,67.79,61.4,63.53,62.68,58.21,59,54.63,64.16,59.32,57.95,61,63.53,54.74,54.79,66.47,62.26,58.58,52.68,59.66
66.73,60.86,55.07,70.68,58.68,57.53,62.32,58.74,53.21,66.74,56.16,56.58,54.21,64.95,63.58,58.05,65.68,50.47,70.26,60.55
55.4,59.43,60,55.21,61.11,63.74,55.11,60.16,58.37,55.05,72.32,63.84,63.84,65.58,66.95,56.42,60.42,63,65.79,61.14
53.33,52.07,54.6,61.32,50.63,63.68,65.74,54,57.42,54.16,66.37,60.11,55.37,48.89,64.21,50.37,60.37,60.58,51.21,57.08
57,60.71,69.93,61.63,54.53,56.79,55.16,56.47,62.37,58.26,60.84,54.63,69.26,57.63,61.47,66.11,66.05,53.84,56.42,59.95
68.8,52.43,55,67.37,61.79,54.68,59.11,61.26,60.95,70.42,54.74,56.47,58.05,51.68,58.47,55.89,54.84,58.58,62.63,59.11
61.67,50.5,55.2,60.05,58.53,57.89,67.95,62.95,62.05,52.95,66.26,63.32,57.32,64.11,58.84,60,63.42,62,54.84,59.99
62.33,69.07,48.93,51.26,60.53,49.74,54.95,57.63,67.37,64.74,56.26,66.74,57.47,67.74,62.84,60.16,64.05,58.53,47.79,59.38
57.67,53.07,65.8,61.42,54.37,60.26,52.37,60.05,56.79,53.37,62.53,54.89,68.95,67.26,65.26,62.63,56.74,58.21,52,59.14
61.4,61.14,55.8,55.95,62.32,55.21,64.47,59.47,65.79,64.21,56.47,61.11,58.63,60.53,66.26,67.16,58.32,63.79,57.53,60.82
52.13,60.79,63.27,59,61.11,64.74,65.74,66,51.42,51.32,62.84,55.68,70.58,53.05,55.84,60.16,62.42,56.05,62.32,59.71
54.6,57,64,54.26,64.74,72.89,51.95,52.16,59.58,63.21,56.95,67.63,54.16,60,58.11,64,58.47,58.26,53.68,59.24
61.33,60.43,58.27,63.42,63,50.21,67.37,69.84,55.74,61.26,61.63,56.32,60.63,58.53,62.21,68.47,51.79,63.53,65.74,61.04
50.33,52.57,63.93,57.84,67.16,57.42,54.74,55.89,64.89,51.42,54,55.05,67.84,59.95,60.79,55.05,58.53,63.16,52.32,58.05
60.8,65.64,58.93,62.26,56.63,65.11,58.84,69.84,57.68,64.16,57.74,60.11,65.79,56.58,60.84,64.74,61.37,62.74,50.95,61.09
53.2,55.79,58.47,57.05,53.16,64.74,58.74,62.21,62.79,70.42,58.47,60.32,58.05,58.16,49.26,52.58,61.89,53.79,71.16,58.96
50.4,51.07,56,60.47,74.89,52.74,60.68,61.32,53.37,62.53,59.68,62.89,63.95,59.74,61.16,58.74,57.79,68.11,48.11,59.14
54.53,67.57,68.67,69.32,56.95,58.53,64.95,58.68,59.26,56.53,59.53,64.53,56.37,61.21,57.37,55.05,62.68,59.89,51.32,60.15
59.73,63,54.8,49.89,68.37,61.05,55.53,58.42,62.21,65.32,59.68,49.47,49.79,46.53,63.26,64.21,67.16,48.05,52.16,57.82
56.73,60.5,53.2,57.42,49.89,60.63,56.11,65.05,63.74,55.11,58.63,67.58,59.68,56.95,61.58,58.74,58.37,65.63,62.53,59.37
55.2,55.43,64.67,64.53,65.53,60.53,66.32,59.79,59.53,55.53,55.32,64.47,53.47,63.84,61.05,52.32,58.68,69.32,58.89,60.23
50.53,64.57,62.4,65.68,63.26,63.63,48.79,65,60.58,67.63,60.32,56.74,67.32,58.68,57.74,59.84,56.21,56.63,62.53,60.43
72.13,68.86,65.53,63.37,61.68,62.79,60.05,64,54.79,55.16,64.11,58.79,62.11,61,62.84,56.53,55.79,50.68,64.11,61.28
61.93,67.64,60.13,64,54.95,61.21,59.68,65.47,62.05,60.68,65.37,46.42,57.32,72.37,59.47,54.11,65.37,59.53,60.37,60.95
53.4,49.86,46.13,52.11,62.84,60.74,50.42,61.26,58.95,57.32,62.58,61.05,58.42,62.05,58.63,56.74,56.21,58.16,56.53,57.02
51.6,54.71,62.67,52.74,54,59.42,53.21,66.47,61.74,59.26,59.79,52.11,56.89,62,60.63,54.16,52.53,62.26,62.42,57.82
52.93,58.5,58.2,65.79,65.95,55.74,73.21,67.79,61.68,62.74,53.68,70.37,58.58,57.95,58.05,69.95,57.16,55.84,59,61.22
59.6,52.79,59.4,55.63,56.63,63.47,58.26,57.74,64.32,55.89,55.79,60.05,60.68,62.53,66.42,53.05,63.63,59.26,63.32,59.39
50.87,67.29,54.53,55.79,58.26,53.74,64.05,54.11,62.79,56.05,54.68,53.53,65.84,54.05,71.84,62.26,50.58,62.16,69,59.02
60.13,63.36,55.13,62.21,57.26,58.37,57.32,58.53,48.21,70.05,53.21,62.11,54.53,54.63,55.16,65.58,56.26,62.32,45.05,57.86
63.4,58.93,46.8,61.89,61,55.32,53.11,59.32,51.74,58.11,53.32,54.84,65.47,67.05,64.47,59.79,52.37,53.84,69.68,58.44
58.53,62.5,66.07,64.11,67.63,59.37,59.79,55.95,67.21,58.42,65.42,60.37,52.89,52.42,59,52.37,53.53,68.79,58.79,60.17
55.27,67.5,65.4,61.42,66.11,68.53,61.11,60.37,58.95,63.95,62.63,65.63,58.58,57.21,50.74,62.26,62.05,56.68,57.95,61.17
62.27,57.29,66.53,62.05,56.53,67.79,64.95,68.11,57.74,59.74,55.37,57.47,65.26,62,57.84,57.68,54.74,54.16,57.26,60.25
57.33,66.36,51.27,50.53,65.79,58.42,55.11,51.47,60,57.42,57.11,58.79,59.63,65.42,63.68,67.42,56.42,58.16,61.16,59.03
58.53,62.64,54.53,59.58,57.16,68.58,49.79,52.89,57.63,48.95,58.05,56,59.47,50.63,66.68,61.68,59.21,55.05,46,57
64.53,57.5,53.27,59.05,52.53,59.53,58.95,49.21,65.37,56.53,54,66.58,57.95,58.21,56.58,57.68,66,60.05,65.11,58.87
67.13,52.64,61.2,52.16,65.26,59.26,63.37,62.11,53.74,67.68,56.11,52.58,71.16,64.32,55,65.84,56.37,53.47,56.21,59.77
52.67,45.93,53.8,60.53,53.84,50.74,64.68,55.26,58.42,66,58.05,63.74,55.84,54.89,60.79,58.58,59.53,59.79,61.16,57.59
67.13,62.29,61.47,63.95,53.84,56.26,62.05,63.26,57.16,54.32,69.79,59.37,59.79,63,61.37,47.32,58.95,61.95,58.16,60.07
66.07,66.79,56.6,70.05,60.95,66.21,56.84,59.74,55.84,61.16,58.21,66.95,53.58,57.79,57.32,59.32,53.16,66.32,55.05,60.42
64,67.29,59.73,64.68,59.26,63.26,58,64.53,58.37,53.53,56.21,60.89,53.16,72.47,54.68,68.32,54.95,52.53,54,59.99
52.67,63.36,48.53,49.47,63.11,64.16,63.74,56.05,58.84,66.42,64.95,57.53,66.47,51.16,62.05,57.74,60.58,59.11,58.32,59.17
65,65.5,58.93,58.26,50,59.84,68.68,62.63,55.53,59.42,59.05,53.68,51.42,62.84,58.37,53.42,63.84,55.53,65.26,59.33
59.8,62.71,56.73,51.32,58.68,66.47,48.47,56.74,49.79,51.95,55.68,57.26,65,62.16,47.95,58.42,61.11,54.42,52.47,56.69
48.33,72.14,61.73,54.26,56,59.42,66.68,59.53,58.11,64.95,54.89,61.11,64.47,58.74,62.21,61.26,55.21,69.11,50.84,59.95
66.2,56.71,55.87,55.05,59.79,57.11,60.63,61.26,55.26,58.42,59.37,53.21,56.11,55.53,62.89,65.53,58.11,57.58,58.84,58.6
62,71.43,48.53,62.79,62.16,59.16,56.63,60,56.68,56.89,64.84,68.74,54.05,51.37,58.89,67.32,69.42,56.53,64.68,60.64
61.4,70.64,63.93,51.68,69.68,48.74,58.37,52.68,60.32,56.21,65.63,64.53,55.42,56.11,54.47,62.47,51.37,65.26,53.68,59.08
54.53,58,63.73,66,59.63,60.74,54.21,54.53,61.47,61,63.53,51.42,58.74,56.47,69.84,63.21,53.47,64.58,52.95,59.37
59.8,59.71,49.53,60.26,49.37,59.37,68.21,72.42,60.74,56.32,59.58,64.21,54.84,63.11,62.11,56.32,61.79,56.95,65.47,60.01
56.47,63.14,59.8,60.37,62.95,51.68,55.47,59.89,55.63,49.79,59.89,62.16,62.47,62.89,60,50.37,64.32,57.26,58.42,58.58
57.67,65.79,58.47,65.11,58.95,54.26,58.21,61.26,52.21,68.63,54.42,56.47,61.32,52.21,60.79,67.68,50.89,60.68,68.53,59.66
61.4,54.21,62.87,66.32,55.89,51.21,62.32,52.47,49.74,56.37,56.95,59.79,66.16,53.95,56.58,48.95,54.26,66.84,59.05,57.65
65.8,57.43,56.8,51.11,56.63,54.63,58.21,68.74,64.11,61.11,55.95,62.21,56.05,55.95,55.21,58.95,66.26,62.95,58.68,59.3
60.2,64.36,61.07,65.26,61.21,54.74,59.16,64.16,53.95,59.68,61,70.11,61.79,60.11,71.79,56.32,58.21,55.74,59.21,60.95
48.8,58.86,59.53,58.84,63.74,62.11,69.37,71.11,60.32,55,54.32,73.63,59.05,65.05,57.63,53.53,58.21,60.84,47.32,59.85
69.47,46.36,72,63.95,55.21,54.05,65.16,51.58,65.89,52.95,67.74,63.84,63.58,57.53,55,62.58,58,64.89,61.11,60.57
63.67,72.14,66.47,57.84,61.37,54.79,56.21,65.95,62.26,57.74,59.37,57.53,64.63,63.68,55.53,48.84,56.47,64.95,68.63,60.95
55.07,55.86,54.6,49.37,65.16,54.74,57.84,57.95,51.26,54.32,62.32,64.47,57.26,57.32,60.21,55.95,61.16,56.89,51.42,57.01
69.33,62.71,54.4,62.42,65.16,56.47,69.11,53.37,54.32,59.11,57.79,64.11,54.11,60.05,55.74,61.63,60.74,59.26,61.53,60.07
66.67,52.14,50.67,63.05,59.11,65.26,55.32,64,62.32,63.79,58.21,59.95,59.11,52.32,56.05,63.74,55.89,58.95,66.11,59.61
60.13,64.36,66.07,55,59.26,59.63,53,63.79,52.95,57.68,64.21,61.47,60.16,58.68,63.47,61.16,61.05,59.42,65.21,60.35
58,54.43,63,65.79,54.68,68.47,53.95,56,64.16,63.21,59.84,57.63,63.37,62.68,63.37,58.63,70.05,63.26,63.11,61.24
59.93,60,62.47,58.95,43.74,59.84,60.89,60.68,57.89,66.32,57.47,58.21,66.11,58.42,60.42,57.89,53.32,65.84,64,59.6
59.8,61.64,49.87,63.63,61.58,59.26,64,66.32,53.05,68.47,54.42,58.74,61.42,53.89,65.47,55.32,59.68,58.63,59.26,59.71
52.13,69.07,47.87,68.37,60.89,63.11,65.16,48.68,57.26,52.58,65.47,58.84,59.95,67.89,59.37,64.05,55.11,53,59.05,59.36
65.6,54.93,60.33,60.53,51.11,68.95,61.26,68.89,71.53,54.21,74.16,54.42,65.79,55.58,58.95,65.26,64.42,56.79,58.74,61.65
62.87,57,70,63.11,54.05,53,59.26,65,65.11,57.68,68.53,63.68,64.05,59.32,63.95,56.16,58.05,51.42,61.89,60.74
51.27,62.36,60.53,61.26,58.26,62.11,50.89,61.68,66.58,63.53,61.42,63.16,52.47,61.42,55.37,59,64.16,62.79,54.26,59.61
51.8,60.86,52.6,63.05,67.89,59.63,63.05,66,59.37,61.53,58.11,51.42,59.63,65.37,60.68,60.53,62.53,52.95,62.63,59.98
44.2,46.5,64.13,62.26,54.32,56.32,54.89,62.21,48.58,60.95,57.53,54.89,59.37,61.05,60.32,60.58,63.21,59.37,54,57.09
59.47,58.14,55.67,66.89,63.32,55.26,50.79,56.21,66.79,55.74,57.26,61.95,65.95,67.05,62.05,61.95,54.32,50.37,60.37,59.45
50.8,57.36,64,62.05,55.53,64.37,57.32,68.74,57.21,57.63,52.53,57.74,60.79,69.21,64,54.58,55.37,60.84,49.21,58.91
57.53,60.79,65.73,57.32,57.74,64.26,59.63,61.21,57.58,57,55.95,54.47,66.53,67.89,58.42,59.11,63.58,58,61.53,60.22
59.73,50.79,54,53.68,50.68,61.21,64.53,57.68,62.26,56.05,56.63,53.26,58.42,60.84,56.74,54.63,55.74,55.89,61.47,57.07
55.6,60.57,58.87,49.79,68.95,59.63,53.21,60.53,62.68,52,60.68,63.42,58.42,57.63,55.74,55.42,53.79,61.89,56.79,58.19
56.67,59.64,63.8,56.68,59.32,58.53,70.26,62.16,66.37,53.11,54.89,63.68,53.47,59.26,58.16,58.74,69.74,61.63,53.95,60
