LIN10000,API10000,BRP10000,FUL10000,ASI10000,APM10000,AII10000,INTG_001
55.62,60.95,61.2,68.0,55.7,71.9,66.0,62.77
65.12,66.19,59.6,70.4,71.8,68.7,63.71,66.5
55.5,58.57,53.5,66.8,77.2,72.9,72.1,65.22
69.0,58.0,69.0,63.6,69.1,65.6,63.52,65.4
61.12,69.43,56.5,65.3,61.5,61.2,66.05,63.01
56.12,60.48,61.0,63.5,65.1,78.4,64.9,64.22
47.25,62.86,62.5,67.5,63.1,72.1,71.05,63.76
60.12,68.95,58.2,68.3,66.2,62.5,67.95,64.6
58.25,67.43,63.6,64.5,64.5,67.2,64.71,64.31
83.0,62.38,70.3,70.2,58.3,61.4,74.62,68.6
56.62,67.71,65.9,67.2,70.1,58.4,65.95,64.56
56.88,58.33,69.7,67.1,52.9,67.7,62.14,62.11
56.75,61.1,67.4,55.9,68.2,68.9,66.71,63.57
55.88,66.24,66.4,72.0,73.2,66.4,71.38,67.36
75.12,63.86,68.5,73.8,68.9,64.5,65.86,68.65
61.62,65.52,70.7,62.2,68.1,66.3,60.52,65.0
65.75,56.86,62.8,55.9,67.0,69.3,63.33,62.99
63.62,67.38,68.1,60.1,73.4,63.5,62.14,65.46
55.75,59.24,63.5,66.5,51.3,61.2,59.76,59.61
79.25,56.57,66.6,64.5,56.9,67.2,52.19,63.32
62.0,64.76,70.6,55.0,56.8,61.4,69.76,62.9
69.75,58.29,63.1,69.3,55.0,58.8,61.33,62.22
66.5,60.48,59.3,65.9,64.9,63.2,62.14,63.2
71.62,74.29,66.3,53.5,63.0,64.7,63.33,65.25
62.12,69.81,72.4,60.3,65.9,65.5,62.14,65.45
66.88,66.67,65.8,59.8,63.1,57.8,60.86,62.99
56.0,61.81,66.9,56.8,60.6,61.3,61.48,60.7
70.25,63.38,70.8,59.5,60.3,66.9,66.71,65.41
63.62,69.38,57.8,71.2,60.2,69.4,63.86,65.07
64.88,63.62,47.9,57.3,54.4,63.1,58.71,58.56
59.75,72.33,60.6,60.8,61.7,67.2,59.67,63.15
74.62,64.67,68.9,63.8,76.1,64.0,59.38,67.35
74.75,61.29,59.4,68.4,72.6,72.9,66.1,67.92
60.62,62.76,71.1,65.8,72.3,64.2,57.86,64.95
59.5,65.95,74.0,68.7,58.4,62.2,75.33,66.3
50.5,72.81,57.5,54.3,61.4,61.0,56.0,59.07
76.0,67.81,64.0,69.8,62.9,68.6,56.43,66.51
64.38,62.76,56.8,54.6,73.0,60.5,66.43,62.64
63.5,63.76,74.7,51.8,62.7,65.0,70.33,64.54
75.25,62.1,64.8,68.4,62.1,66.4,71.33,67.2
58.25,65.9,65.8,70.8,59.1,62.4,67.62,64.27
61.12,68.24,61.7,60.2,60.1,61.1,65.29,62.54
70.12,68.14,61.3,74.1,57.2,67.9,66.29,66.44
61.5,60.71,67.1,52.5,57.2,69.3,64.86,61.88
48.62,63.24,64.3,53.8,51.7,58.5,61.0,57.31
65.5,63.9,57.9,74.4,64.2,65.7,62.67,64.9
60.0,65.95,65.4,59.2,65.7,59.6,65.81,63.09
52.25,61.14,59.1,67.5,80.2,70.7,61.9,64.69
70.38,63.71,69.3,61.7,59.5,56.9,65.38,63.84
68.0,66.95,61.1,69.2,64.2,67.4,65.19,66.01
58.12,69.71,75.3,70.4,58.4,71.4,67.57,67.27
58.38,65.43,63.0,58.6,62.3,62.2,64.86,62.11
50.12,60.76,61.0,64.6,75.1,70.6,62.43,63.52
61.5,58.14,51.7,60.3,74.3,67.7,56.38,61.43
61.62,64.05,50.1,62.9,72.9,66.7,61.62,62.84
54.75,74.43,53.3,57.3,66.3,67.8,59.48,61.91
56.25,60.86,58.9,60.2,66.1,66.3,68.29,62.41
64.12,66.86,68.2,61.3,58.5,65.7,69.71,64.91
51.25,60.38,68.8,67.1,65.7,59.6,69.38,63.17
63.88,65.05,65.9,58.3,61.0,49.6,59.14,60.41
63.88,65.52,65.6,63.7,57.4,61.4,65.19,63.24
65.62,68.71,56.8,64.2,45.8,65.6,62.86,61.37
74.5,66.0,74.1,62.6,71.8,71.8,66.38,69.6
56.5,58.52,66.9,61.6,69.9,75.0,60.95,64.2
58.62,68.67,64.3,53.6,62.6,52.1,67.05,60.99
65.88,57.95,56.8,58.9,71.6,63.9,60.48,62.21
65.12,64.1,72.4,65.5,64.5,58.7,64.48,64.97
67.25,73.76,76.2,62.5,60.2,59.7,64.29,66.27
59.38,60.71,71.9,57.1,51.1,71.6,62.86,62.09
63.62,62.57,64.6,71.9,70.1,49.2,66.1,64.01
62.12,63.71,60.8,58.1,61.2,49.3,69.43,60.67
70.25,61.29,59.1,76.7,73.9,69.5,65.86,68.08
67.88,58.67,52.9,67.8,54.5,73.4,65.43,62.94
68.75,64.62,58.7,65.5,61.0,69.1,68.24,65.13
65.38,65.81,53.7,60.3,65.9,49.5,67.52,61.16
66.62,67.52,77.3,80.2,49.6,59.8,62.29,66.19
70.25,61.76,71.2,54.1,61.8,63.8,57.14,62.86
54.88,61.33,69.8,51.6,69.9,62.3,65.62,62.2
60.38,58.05,67.0,58.8,74.1,70.3,61.95,64.37
64.62,59.38,58.2,59.3,63.3,70.9,62.14,62.55
62.12,70.43,64.7,59.3,69.6,63.9,66.9,65.28
63.0,68.33,72.7,69.4,66.5,68.7,63.52,67.45
53.75,63.9,57.1,64.5,69.2,59.0,63.29,61.53
66.88,64.24,51.6,56.7,61.3,67.4,64.81,61.85
62.12,66.95,64.0,55.9,66.3,61.5,58.86,62.23
58.25,61.24,68.8,74.1,63.0,60.6,61.19,63.88
63.12,53.57,79.1,64.2,60.7,63.2,67.86,64.54
67.0,59.19,55.1,56.7,65.4,45.8,67.24,59.49
68.62,60.95,64.8,70.5,66.4,68.7,62.95,66.13
74.62,52.43,51.5,71.0,72.4,63.5,68.1,64.79
67.25,68.05,75.1,67.8,55.7,50.5,60.14,63.51
72.62,62.62,60.2,69.2,73.7,63.2,65.0,66.65
64.25,60.67,63.6,63.5,60.7,63.3,57.38,61.91
81.12,60.9,67.9,64.8,57.9,54.8,59.52,63.85
76.0,55.14,67.6,63.1,60.2,71.4,60.19,64.8
52.5,68.52,60.0,55.8,62.8,69.4,61.71,61.53
53.12,66.05,57.7,58.5,59.2,73.5,69.0,62.44
63.38,57.1,66.3,70.2,71.3,59.5,68.71,65.21
71.25,63.0,49.6,73.6,70.3,61.2,60.29,64.18
71.75,66.38,72.9,67.5,55.1,59.8,75.62,67.01
60.5,64.29,71.2,60.5,65.0,53.4,69.33,63.46
65.75,58.71,60.4,66.7,63.1,61.5,58.24,62.06
71.0,66.33,73.0,64.5,64.8,68.8,66.95,67.91
55.5,66.1,62.4,52.4,65.9,69.3,65.29,62.41
50.5,68.62,72.9,70.6,60.8,55.2,68.52,63.88
54.38,61.1,57.7,69.7,55.3,61.0,67.38,60.94
62.25,61.86,71.1,66.1,65.4,67.8,69.86,66.34
63.62,62.9,63.1,62.6,64.1,70.6,67.52,64.92
62.88,64.24,70.9,73.5,75.0,61.1,60.38,66.86
54.5,64.52,62.1,71.3,62.8,52.5,64.95,61.81
58.0,69.0,68.9,62.7,71.0,74.8,73.52,68.27
63.5,64.05,59.0,64.4,69.5,71.9,71.05,66.2
76.12,61.43,71.3,63.0,75.0,69.8,71.0,69.66
63.12,72.76,58.6,63.7,78.8,63.0,63.57,66.22
73.62,64.14,70.5,58.9,68.0,59.9,69.24,66.33
62.88,70.29,70.8,58.0,59.1,61.3,67.57,64.28
64.88,66.95,66.5,79.2,59.3,68.2,67.67,67.53
60.75,68.76,69.1,61.3,71.3,62.9,69.52,66.23
72.88,67.1,61.8,54.3,74.3,53.6,65.43,64.2
63.62,64.9,61.6,55.2,60.7,72.4,71.38,64.26
68.88,56.9,82.8,64.9,69.5,62.1,72.0,68.15
64.25,70.43,66.3,71.4,73.0,56.2,68.33,67.13
56.25,63.57,61.2,71.9,66.1,63.8,64.9,63.96
63.75,61.67,63.8,74.9,58.6,65.4,66.57,64.96
57.5,62.38,62.6,64.6,59.4,66.3,68.0,62.97
67.0,67.43,65.1,59.5,64.3,63.3,58.48,63.59
58.12,62.0,63.8,68.3,70.4,68.6,62.19,64.77
53.0,68.62,62.0,59.3,60.2,54.9,64.1,60.3
63.75,56.24,47.6,69.8,64.0,68.9,69.71,62.86
58.0,61.76,62.9,65.5,67.8,65.7,66.62,64.04
60.75,62.67,72.9,62.8,70.9,68.4,69.05,66.78
72.5,56.29,64.1,55.8,65.0,62.7,66.62,63.29
59.62,67.19,62.4,58.3,62.6,58.8,63.05,61.71
68.62,66.48,61.0,68.4,55.2,68.4,61.86,64.28
73.5,57.9,73.4,56.0,52.6,48.5,62.1,60.57
69.75,64.62,61.7,68.3,63.4,67.9,62.0,65.38
71.5,61.95,69.5,63.3,71.9,57.0,63.29,65.49
67.38,55.24,65.8,70.3,65.1,70.3,65.33,65.64
60.5,64.48,68.2,66.6,62.4,58.6,64.29,63.58
58.25,62.1,49.6,75.9,67.8,55.8,67.57,62.43
61.38,57.19,71.7,65.3,65.9,67.1,63.81,64.63
63.88,67.29,60.5,65.7,66.7,55.4,58.48,62.56
57.0,66.24,73.1,70.6,71.2,59.6,65.57,66.19
67.5,66.62,68.5,63.8,54.8,68.4,62.19,64.54
57.88,64.86,64.6,64.2,62.3,78.2,66.81,65.55
64.75,61.1,62.6,63.2,63.7,56.4,69.95,63.1
68.38,66.95,65.3,66.6,72.4,61.6,56.0,65.32
57.88,62.24,69.5,68.5,65.9,62.8,64.57,64.48
57.25,66.1,63.7,68.1,55.3,68.6,68.81,63.98
51.75,63.86,54.9,64.0,59.5,83.6,59.43,62.43
57.88,62.0,59.8,59.8,71.3,57.0,59.52,61.04
48.12,61.19,59.9,67.9,60.8,65.8,62.33,60.86
54.25,56.52,56.0,56.9,63.2,65.9,58.33,58.73
66.12,63.62,63.6,58.8,66.6,79.4,61.05,65.6
61.25,62.52,59.2,59.9,63.2,66.4,64.95,62.49
56.62,71.67,64.4,63.5,64.0,62.8,63.24,63.75
61.88,67.0,65.7,60.3,62.4,69.2,71.52,65.43
52.88,65.14,55.6,61.6,67.6,65.4,64.0,61.75
59.5,58.52,73.1,61.6,66.4,61.2,66.48,63.83
60.62,61.95,72.2,68.1,57.7,52.5,68.05,63.02
63.38,64.19,62.5,55.5,63.8,72.8,58.48,62.95
57.25,64.76,63.9,63.2,65.0,56.1,59.33,61.36
48.75,61.1,69.5,60.6,64.0,68.2,65.57,62.53
64.5,65.57,67.4,65.2,68.2,68.9,62.57,66.05
62.38,69.29,66.9,61.9,71.9,70.3,72.76,67.92
70.38,63.24,70.8,67.7,64.2,64.7,69.24,67.18
54.0,63.29,70.3,55.3,61.8,47.5,61.9,59.16
69.38,65.62,70.2,70.5,68.2,74.1,68.81,69.54
60.0,65.95,64.0,60.5,68.1,68.1,62.43,64.15
52.88,64.71,70.1,63.2,60.9,62.5,65.9,62.88
76.38,61.71,57.3,59.6,70.5,56.3,56.86,62.66
49.88,65.62,63.8,53.5,65.0,67.1,58.19,60.44
60.75,68.48,64.2,68.3,59.2,62.5,57.67,63.01
60.38,62.57,53.8,55.5,67.7,64.3,61.76,60.86
69.62,57.95,68.6,69.4,54.2,59.0,68.14,63.85
71.5,65.67,61.1,55.6,60.5,72.9,66.05,64.76
61.5,60.38,66.3,71.0,54.7,63.3,68.86,63.72
49.75,57.86,62.3,65.4,60.0,46.5,70.81,58.95
64.25,60.38,65.8,65.1,66.0,61.2,69.0,64.53
70.38,69.24,69.3,69.0,60.2,64.1,62.38,66.37
67.25,69.33,69.0,68.7,66.2,65.4,61.0,66.7
54.88,75.57,57.6,71.1,64.6,72.0,61.29,65.29
59.38,70.48,69.9,67.1,67.6,60.5,61.14,65.16
66.5,69.76,65.1,62.5,57.0,68.9,58.57,64.05
73.0,63.67,64.6,74.6,51.9,66.4,67.14,65.9
53.0,60.81,69.8,59.4,62.9,68.7,67.43,63.15
72.88,65.48,68.9,64.0,75.9,54.7,63.43,66.47
55.62,61.71,70.0,72.8,68.7,62.3,57.86,64.14
56.75,67.81,61.4,66.6,48.7,56.7,60.05,59.72
61.5,66.05,60.0,53.0,64.1,61.0,61.48,61.02
49.12,57.43,63.1,69.9,71.5,66.3,70.62,64.0
70.25,57.38,72.2,73.1,62.3,72.5,65.43,67.59
58.5,58.38,66.1,70.2,60.7,59.2,60.43,61.93
71.0,68.05,60.7,59.8,57.5,62.4,68.43,63.98
67.75,69.67,67.0,60.4,55.9,70.1,65.38,65.17
66.25,62.38,63.5,53.0,68.3,58.7,58.1,61.46
64.12,59.19,63.5,73.7,67.8,77.2,66.33,67.41
49.5,69.33,62.9,56.2,58.8,49.4,65.0,58.73
69.5,59.67,74.0,64.3,65.7,57.3,65.38,65.12
68.0,59.81,66.0,65.0,62.5,76.4,66.33,66.29
53.62,60.95,55.6,52.0,59.2,64.4,64.95,58.68
61.25,59.05,80.7,58.6,52.2,66.5,66.19,63.5
59.12,61.29,60.1,52.5,72.7,60.2,57.67,60.51
76.0,71.0,58.2,60.2,64.0,67.3,64.19,65.84
62.5,62.9,63.9,65.0,63.6,62.3,69.86,64.29
68.75,62.29,62.8,64.0,63.2,79.3,60.48,65.83
65.5,58.95,66.6,70.6,66.7,73.9,66.05,66.9
69.75,68.19,68.9,65.9,64.2,61.4,62.71,65.86
60.5,61.76,56.1,72.1,61.7,63.6,70.81,63.8
54.62,63.29,54.1,63.6,61.6,63.7,57.95,59.84
71.12,72.24,67.1,59.7,67.3,60.0,53.57,64.43
65.62,67.05,54.9,65.7,73.6,63.8,66.81,65.35
65.75,64.33,68.6,64.1,61.3,68.4,62.62,65.01
67.62,58.9,77.4,73.1,66.9,73.3,63.38,68.66
59.62,72.81,67.0,57.8,68.2,56.6,67.05,64.15
62.12,64.62,61.1,66.9,68.2,71.7,56.33,64.43
74.0,59.05,69.2,57.8,59.8,61.4,67.0,64.04
52.88,62.67,74.6,70.6,67.8,58.4,55.14,63.15
65.62,67.38,67.3,68.7,58.7,66.7,63.29,65.38
65.5,68.81,60.2,58.2,69.3,66.6,60.76,64.2
69.5,60.62,67.4,64.0,65.3,58.7,65.67,64.46
69.38,55.43,74.4,61.0,62.3,62.6,62.81,63.99
69.88,73.81,61.0,62.8,75.4,56.4,66.14,66.49
65.5,58.0,61.0,72.9,63.9,49.5,69.9,62.96
65.5,60.1,59.6,61.6,67.1,64.0,57.1,62.14
65.62,62.29,53.7,59.1,55.6,62.2,57.76,59.47
60.75,68.0,55.4,68.6,55.4,50.8,55.38,59.19
58.25,63.0,57.3,60.9,60.5,66.8,62.62,61.34
60.0,64.0,53.4,61.4,59.4,63.9,62.48,60.65
55.25,61.67,55.6,67.5,59.1,50.2,62.43,58.82
73.0,68.43,70.6,64.6,66.2,71.1,69.19,69.02
66.25,58.0,67.0,74.7,58.1,59.3,56.86,62.89
66.38,58.29,70.8,66.6,58.0,59.4,61.19,62.95
78.88,63.95,59.2,59.0,58.3,66.6,70.71,65.23
62.38,66.0,57.8,51.3,65.8,57.4,66.67,61.05
57.0,61.86,65.8,66.2,67.4,56.8,62.38,62.49
56.62,68.71,68.1,56.6,63.4,60.4,65.76,62.8
62.38,64.52,58.7,59.7,68.7,56.1,65.71,62.26
61.5,60.19,80.4,60.0,67.5,57.0,61.0,63.94
58.25,70.52,75.2,55.2,66.0,69.7,63.43,65.47
56.75,62.33,73.3,57.9,62.1,63.8,58.0,62.03
62.25,67.95,68.9,55.3,70.0,56.2,65.81,63.77
71.75,60.29,63.0,57.7,66.5,47.5,70.95,62.53
69.5,71.71,64.3,59.6,53.2,70.2,65.33,64.84
52.0,70.9,57.2,65.8,59.6,72.1,66.52,63.45
54.88,61.9,59.4,64.9,63.9,70.2,62.48,62.52
61.88,63.0,63.3,59.8,63.7,62.4,62.95,62.43
57.0,69.19,66.7,58.5,65.8,52.7,60.95,61.55
69.12,69.38,64.1,62.2,79.3,63.5,64.52,67.45
56.62,64.71,60.7,77.4,58.6,62.4,62.19,63.23
69.12,55.1,56.2,64.6,64.0,57.2,55.19,60.2
68.12,62.24,71.0,61.1,66.1,59.6,62.43,64.37
63.62,63.95,48.9,68.4,68.3,65.0,62.62,62.97
57.25,68.43,68.3,67.3,69.3,60.2,63.86,64.95
68.12,61.81,64.0,59.4,58.9,60.5,65.33,62.58
77.88,73.43,52.7,58.6,54.5,80.6,69.43,66.73
75.38,59.57,64.8,67.8,74.0,59.3,63.81,66.38
73.0,57.0,69.1,53.2,62.8,73.4,61.71,64.32
59.38,60.52,60.4,57.3,67.0,57.4,59.0,60.14
63.88,62.1,69.9,67.0,62.2,61.8,65.95,64.69
79.0,62.24,50.2,51.0,67.4,65.9,65.24,63.0
59.25,75.95,63.1,63.0,69.1,54.0,64.29,64.1
69.12,53.38,71.3,62.6,64.6,60.1,59.76,62.98
75.75,63.62,58.1,63.9,72.3,63.3,62.38,65.62
58.12,67.29,54.7,65.1,70.0,63.7,66.43,63.62
73.0,68.05,69.2,66.7,60.5,51.6,62.38,64.49
56.38,63.95,61.5,71.7,62.6,58.6,61.67,62.34
76.38,61.57,63.0,64.9,68.8,61.6,67.57,66.26
75.0,54.57,62.4,59.9,48.6,61.6,66.38,61.21
68.25,66.86,57.2,62.8,64.0,49.3,61.14,61.36
60.5,62.57,55.3,59.0,64.1,65.6,68.19,62.18
63.62,70.38,58.8,70.7,62.4,56.7,63.38,63.71
56.5,67.76,65.7,62.2,72.1,70.3,57.71,64.61
62.88,61.33,61.9,69.2,69.4,66.2,67.24,65.45
47.12,57.1,62.5,65.6,59.5,63.5,61.33,59.52
71.38,72.14,59.3,67.2,62.9,71.2,66.86,67.28
63.0,71.0,63.3,58.4,59.1,55.7,64.48,62.14
72.12,60.1,65.6,57.1,57.6,48.5,68.29,61.33
66.5,62.0,65.3,54.3,62.1,72.9,67.0,64.3
71.25,59.95,59.7,64.1,59.7,50.7,67.29,61.81
62.62,60.24,64.8,53.9,60.3,48.7,62.76,59.05
61.12,64.62,67.6,67.4,74.7,73.8,61.43,67.24
71.75,68.05,58.5,45.6,64.8,57.8,60.52,61.0
61.25,65.52,57.6,60.9,66.4,64.6,64.76,63.01
78.62,54.81,60.7,61.4,66.1,64.8,68.33,64.97
65.38,63.52,70.6,70.5,64.8,61.9,66.24,66.13
70.38,60.0,65.8,67.0,73.7,66.6,63.52,66.71
50.38,66.95,64.7,59.7,67.8,70.9,68.71,64.16
73.12,64.05,55.5,63.3,63.1,62.0,68.9,64.28
64.75,69.43,75.0,56.0,57.2,67.6,65.38,65.05
75.88,69.14,53.3,61.6,67.8,55.0,72.48,65.03
71.25,58.1,75.5,56.6,58.2,72.0,60.19,64.55
61.12,75.0,61.0,69.2,61.1,71.8,66.62,66.55
72.12,60.14,56.7,65.6,63.6,71.5,71.76,65.92
64.5,62.1,65.2,62.8,69.0,60.2,60.76,63.51
73.12,65.52,68.6,53.5,62.2,66.3,65.57,64.97
57.75,68.57,67.2,57.8,66.9,69.1,64.38,64.53
68.12,70.95,57.4,62.5,57.7,58.8,68.81,63.47
60.38,61.38,57.8,65.5,61.8,64.5,61.14,61.79
67.62,69.71,63.7,73.3,59.5,65.3,67.57,66.67
69.62,62.67,63.7,65.4,74.9,58.8,66.62,65.96
66.12,64.05,70.6,72.7,67.5,67.9,68.14,68.15
63.12,54.52,64.0,66.9,59.4,69.7,57.81,62.21
67.88,67.05,56.1,73.1,72.6,53.3,65.9,65.13
61.25,64.24,51.8,61.7,74.2,74.5,66.24,64.85
61.38,64.9,56.8,69.6,72.3,60.3,64.24,64.22
57.12,67.9,66.7,70.5,68.0,65.6,57.19,64.72
64.88,70.57,62.0,60.0,60.3,64.0,71.29,64.72
60.12,58.19,63.2,57.6,67.4,53.7,62.86,60.44
58.0,62.67,68.3,54.8,61.0,56.3,59.24,60.04
70.25,63.33,57.9,67.7,69.3,62.7,68.0,65.6
63.62,65.81,56.5,69.5,63.8,78.2,67.38,66.4
65.62,64.19,78.6,72.4,64.3,69.3,71.48,69.41
68.12,61.14,67.6,65.4,69.2,60.2,63.67,65.05
64.25,62.05,57.1,71.2,62.6,69.6,55.38,63.17
76.88,67.9,75.3,68.5,46.1,60.5,62.48,65.38
65.88,64.19,66.9,56.4,72.5,72.8,63.14,65.97
76.38,61.67,62.4,54.0,71.2,56.8,68.81,64.46
59.88,64.48,61.8,63.4,68.1,58.4,65.9,63.14
64.12,63.95,61.5,59.7,63.2,70.2,62.0,63.53
55.5,66.9,57.5,62.9,64.3,60.8,65.33,61.89
60.25,65.67,55.3,67.1,65.4,57.7,62.05,61.92
64.12,62.57,63.7,64.9,64.8,71.9,68.1,65.73
71.62,57.71,57.6,58.6,59.9,64.6,63.95,62.0
48.75,64.48,66.1,70.2,64.2,66.5,62.9,63.3
76.62,61.52,74.6,54.4,65.1,69.3,61.76,66.19
72.88,70.19,55.7,62.3,48.6,65.6,71.0,63.75
70.88,67.57,66.6,66.1,68.9,53.5,68.76,66.04
68.12,68.52,62.0,73.5,54.8,63.4,66.57,65.27
63.12,69.62,64.6,70.1,76.0,55.1,61.24,65.68
65.75,65.9,55.8,59.8,60.5,71.0,62.33,63.01
68.75,62.43,57.6,61.6,64.7,55.2,65.95,62.32
67.75,63.62,65.5,63.0,67.7,64.0,77.0,66.94
76.12,64.86,63.5,63.0,70.8,63.6,63.48,66.48
59.25,55.81,66.4,73.7,56.1,55.5,66.05,61.83
57.62,57.19,57.2,56.3,68.0,65.1,63.76,60.74
66.5,67.1,64.1,66.9,60.1,58.1,71.33,64.88
70.62,58.38,55.9,56.5,69.9,70.4,66.43,64.02
63.38,65.0,61.5,69.1,67.3,69.3,61.67,65.32
67.25,59.48,70.7,64.6,66.3,64.9,56.1,64.19
53.12,65.19,65.5,57.5,51.3,53.9,64.48,58.71
66.88,67.14,61.6,65.0,68.2,67.4,57.0,64.75
69.38,62.76,59.4,68.7,64.2,74.5,59.67,65.51
74.5,64.1,57.9,69.7,54.3,58.6,62.05,63.02
61.75,57.9,65.9,65.7,62.5,79.3,63.62,65.24
58.12,67.76,58.9,65.5,53.2,59.9,62.43,60.83
59.75,61.14,64.8,64.2,65.7,65.3,65.0,63.7
64.88,59.14,74.6,64.0,62.8,69.5,57.05,64.57
72.38,55.9,66.4,62.8,59.8,71.9,62.9,64.58
64.5,66.24,67.5,68.6,62.6,62.4,69.95,65.97
74.75,65.81,63.5,57.5,61.0,58.2,70.81,64.51
71.75,69.43,53.4,65.4,72.5,68.1,73.29,67.69
54.38,63.86,71.7,71.6,63.9,69.6,67.9,66.13
64.5,64.14,71.5,58.5,62.8,66.6,63.1,64.45
57.62,67.52,64.1,58.9,58.1,49.7,63.24,59.88
72.25,62.71,68.2,69.1,49.0,60.0,57.24,62.64
69.75,64.43,62.7,60.1,52.9,59.9,61.24,61.57
61.5,65.57,69.4,67.4,61.0,66.2,71.43,66.07
64.75,60.38,69.7,66.1,57.7,56.4,59.1,62.02
70.62,61.52,66.0,70.3,68.6,51.9,69.67,65.52
65.75,69.43,65.7,64.4,60.5,70.0,61.29,65.29
59.25,57.57,56.3,61.3,65.6,75.8,61.86,62.53
55.88,68.38,77.0,57.9,59.2,69.7,66.95,65.0
65.88,66.0,63.9,69.8,61.7,62.9,65.38,65.08
66.75,58.19,71.0,56.6,73.3,70.3,58.86,65.0
61.38,64.62,67.6,54.9,58.9,64.7,63.33,62.2
68.25,65.76,75.5,63.5,57.7,61.2,60.67,64.65
72.12,65.95,66.3,64.3,61.4,81.1,67.48,68.38
62.38,58.29,65.5,66.6,58.8,63.6,60.67,62.26
60.12,61.76,60.7,63.2,61.0,62.5,64.48,61.97
59.38,55.48,69.2,71.0,63.0,63.9,68.81,64.39
63.0,66.76,61.3,63.7,54.5,59.5,56.62,60.77
75.38,63.81,74.8,73.6,53.8,68.4,60.05,67.12
69.5,61.19,83.2,66.2,57.6,49.0,64.86,64.51
65.0,66.62,64.7,72.4,67.6,63.7,66.52,66.65
59.25,60.1,54.9,70.3,71.7,54.7,59.57,61.5
53.12,61.9,58.9,71.5,61.8,62.3,63.71,61.89
69.0,49.81,64.0,69.1,60.3,61.3,64.57,62.58
60.38,57.0,68.9,64.6,66.7,55.4,57.14,61.45
58.75,60.52,68.9,69.2,55.9,69.2,55.9,62.63
58.75,68.43,58.6,67.9,69.0,52.8,66.1,63.08
68.25,63.38,63.0,71.0,59.1,72.3,66.24,66.18
66.12,65.24,63.5,63.1,55.6,73.5,73.43,65.78
69.38,76.14,67.4,68.9,70.0,55.7,64.9,67.49
64.62,65.62,69.0,68.8,73.9,69.8,62.29,67.72
54.38,67.19,70.1,64.6,72.4,61.6,61.38,64.52
60.12,73.62,61.3,60.3,58.7,64.5,57.71,62.32
74.75,72.05,71.8,72.8,57.0,66.6,64.14,68.45
67.75,64.95,62.1,67.8,57.3,62.2,68.67,64.4
62.88,70.05,63.8,60.6,55.3,63.3,54.76,61.53
64.38,67.52,59.4,55.7,65.7,53.4,67.1,61.88
66.38,63.71,57.7,61.7,59.3,69.0,66.57,63.48
73.88,63.9,64.0,52.0,65.9,57.1,61.05,62.55
65.0,66.76,56.2,59.7,65.0,58.5,60.14,61.61
60.12,71.52,60.4,58.8,71.1,66.0,68.43,65.2
