Inconsistencies Report
Generated: 2026-07-08 21:58:41

Dependent Inconsistencies:
  None found.

Independent Inconsistencies:
  ESU10102 | ESU10103 | Corr=0.00 | Count=802 | 26.7%
  ESU10102 | GRC10107 | Corr=0.01 | Count=828 | 27.6%
  ESU10102 | GRC10109 | Corr=-0.02 | Count=791 | 26.4%
  ESU10102 | GRC10110 | Corr=-0.00 | Count=820 | 27.3%
  ESU10102 | ERM10102 | Corr=-0.01 | Count=793 | 26.4%
  ESU10102 | ERM10103 | Corr=-0.04 | Count=790 | 26.3%
  ESU10102 | ERM10105 | Corr=-0.01 | Count=813 | 27.1%
  ESU10102 | ERM10106 | Corr=-0.04 | Count=788 | 26.3%
  ESU10102 | ERM10108 | Corr=0.03 | Count=835 | 27.8%
  ESU10102 | ERM10109 | Corr=0.02 | Count=823 | 27.4%
  ESU10102 | AUD10102 | Corr=0.00 | Count=823 | 27.4%
  ESU10102 | AUD10103 | Corr=0.03 | Count=818 | 27.3%
  ESU10102 | AUD10105 | Corr=-0.03 | Count=790 | 26.3%
  ESU10102 | AUD10106 | Corr=0.02 | Count=848 | 28.3%
  ESU10102 | AUD10108 | Corr=0.04 | Count=831 | 27.7%
  ESU10102 | AUD10109 | Corr=0.02 | Count=832 | 27.7%
  ESU10102 | POL10102 | Corr=-0.00 | Count=816 | 27.2%
  ESU10102 | POL10103 | Corr=0.01 | Count=803 | 26.8%
  ESU10102 | POL10105 | Corr=-0.03 | Count=776 | 25.9%
  ESU10102 | POL10106 | Corr=0.00 | Count=818 | 27.3%
  ESU10102 | POL10108 | Corr=-0.02 | Count=813 | 27.1%
  ESU10102 | POL10109 | Corr=-0.01 | Count=826 | 27.5%
  ESU10102 | REG10102 | Corr=-0.01 | Count=787 | 26.2%
  ESU10102 | REG10103 | Corr=0.00 | Count=827 | 27.6%
  ESU10102 | REG10105 | Corr=0.00 | Count=795 | 26.5%
  ESU10102 | REG10106 | Corr=-0.01 | Count=838 | 27.9%
  ESU10102 | REG10108 | Corr=-0.03 | Count=813 | 27.1%
  ESU10102 | REG10109 | Corr=0.01 | Count=815 | 27.2%
  ESU10102 | ETI10102 | Corr=-0.04 | Count=775 | 25.8%
  ESU10102 | ETI10103 | Corr=0.01 | Count=841 | 28.0%
  ESU10102 | ETI10105 | Corr=0.03 | Count=833 | 27.8%
  ESU10102 | ETI10106 | Corr=0.05 | Count=857 | 28.6%
  ESU10102 | ETI10108 | Corr=0.03 | Count=846 | 28.2%
  ESU10102 | ETI10109 | Corr=-0.01 | Count=816 | 27.2%
  ESU10102 | CGV10102 | Corr=-0.02 | Count=800 | 26.7%
  ESU10102 | CGV10103 | Corr=0.01 | Count=828 | 27.6%
  ESU10102 | CGV10105 | Corr=0.00 | Count=789 | 26.3%
  ESU10102 | CGV10106 | Corr=-0.01 | Count=759 | 25.3%
  ESU10102 | CGV10108 | Corr=-0.01 | Count=820 | 27.3%
  ESU10102 | CGV10109 | Corr=0.00 | Count=800 | 26.7%
  ESU10102 | IGV10102 | Corr=-0.01 | Count=805 | 26.8%
  ESU10102 | IGV10103 | Corr=0.00 | Count=808 | 26.9%
  ESU10102 | IGV10105 | Corr=-0.02 | Count=811 | 27.0%
  ESU10102 | IGV10106 | Corr=-0.01 | Count=819 | 27.3%
  ESU10102 | IGV10108 | Corr=-0.03 | Count=783 | 26.1%
  ESU10102 | IGV10109 | Corr=-0.03 | Count=772 | 25.7%
  ESU10102 | CPI10102 | Corr=0.02 | Count=786 | 26.2%
  ESU10102 | CPI10103 | Corr=0.00 | Count=765 | 25.5%
  ESU10102 | CPI10105 | Corr=-0.00 | Count=825 | 27.5%
  ESU10102 | CPI10106 | Corr=0.01 | Count=835 | 27.8%
  ESU10102 | CPI10108 | Corr=-0.01 | Count=802 | 26.7%
  ESU10102 | CPI10109 | Corr=0.01 | Count=827 | 27.6%
  ESU10103 | ESU10104 | Corr=-0.00 | Count=797 | 26.6%
  ESU10103 | ESU10106 | Corr=-0.02 | Count=773 | 25.8%
  ESU10103 | ESU10107 | Corr=-0.02 | Count=764 | 25.5%
  ESU10103 | ESU10109 | Corr=-0.02 | Count=751 | 25.0%
  ESU10103 | ESU10110 | Corr=0.01 | Count=782 | 26.1%
  ESU10103 | SSU10102 | Corr=-0.01 | Count=839 | 28.0%
  ESU10103 | SSU10103 | Corr=-0.00 | Count=852 | 28.4%
  ESU10103 | SSU10105 | Corr=0.00 | Count=834 | 27.8%
  ESU10103 | SSU10106 | Corr=-0.00 | Count=821 | 27.4%
  ESU10103 | SSU10108 | Corr=0.00 | Count=806 | 26.9%
  ESU10103 | SSU10109 | Corr=-0.00 | Count=803 | 26.8%
  ESU10103 | CSU10102 | Corr=0.01 | Count=817 | 27.2%
  ESU10103 | CSU10103 | Corr=-0.01 | Count=787 | 26.2%
  ESU10103 | CSU10105 | Corr=0.01 | Count=851 | 28.4%
  ESU10103 | CSU10106 | Corr=0.02 | Count=812 | 27.1%
  ESU10103 | CSU10108 | Corr=0.04 | Count=897 | 29.9%
  ESU10103 | CSU10109 | Corr=0.02 | Count=858 | 28.6%
  ESU10103 | GNT10102 | Corr=-0.02 | Count=819 | 27.3%
  ESU10103 | GNT10103 | Corr=0.01 | Count=808 | 26.9%
  ESU10103 | GNT10105 | Corr=0.02 | Count=839 | 28.0%
  ESU10103 | GNT10106 | Corr=0.01 | Count=786 | 26.2%
  ESU10103 | CGS10102 | Corr=-0.02 | Count=819 | 27.3%
  ESU10103 | CGS10103 | Corr=-0.00 | Count=806 | 26.9%
  ESU10103 | CGS10105 | Corr=0.00 | Count=823 | 27.4%
  ESU10103 | CGS10106 | Corr=0.02 | Count=820 | 27.3%
  ESU10103 | CGS10108 | Corr=0.00 | Count=824 | 27.5%
  ESU10103 | CGS10109 | Corr=0.02 | Count=844 | 28.1%
  ESU10103 | GRC10102 | Corr=-0.00 | Count=827 | 27.6%
  ESU10103 | GRC10103 | Corr=0.02 | Count=819 | 27.3%
  ESU10103 | GRC10104 | Corr=0.02 | Count=836 | 27.9%
  ESU10103 | GRC10106 | Corr=-0.01 | Count=770 | 25.7%
  ESU10103 | GRC10107 | Corr=0.01 | Count=831 | 27.7%
  ESU10103 | GRC10109 | Corr=0.01 | Count=811 | 27.0%
  ESU10103 | GRC10110 | Corr=0.01 | Count=827 | 27.6%
  ESU10103 | ERM10102 | Corr=0.01 | Count=841 | 28.0%
  ESU10103 | ERM10103 | Corr=-0.01 | Count=761 | 25.4%
  ESU10103 | ERM10105 | Corr=0.00 | Count=795 | 26.5%
  ESU10103 | ERM10106 | Corr=0.01 | Count=852 | 28.4%
  ESU10103 | ERM10108 | Corr=-0.02 | Count=832 | 27.7%
  ESU10103 | ERM10109 | Corr=0.02 | Count=843 | 28.1%
  ESU10103 | AUD10102 | Corr=0.00 | Count=836 | 27.9%
  ESU10103 | AUD10103 | Corr=-0.01 | Count=809 | 27.0%
  ESU10103 | AUD10105 | Corr=-0.01 | Count=870 | 29.0%
  ESU10103 | AUD10106 | Corr=-0.01 | Count=795 | 26.5%
  ESU10103 | AUD10108 | Corr=0.01 | Count=862 | 28.7%
  ESU10103 | AUD10109 | Corr=-0.04 | Count=767 | 25.6%
  ESU10103 | POL10102 | Corr=-0.01 | Count=815 | 27.2%
  ESU10103 | POL10103 | Corr=0.04 | Count=858 | 28.6%
  ESU10103 | POL10105 | Corr=-0.03 | Count=807 | 26.9%
  ESU10103 | POL10106 | Corr=0.02 | Count=825 | 27.5%
  ESU10103 | POL10108 | Corr=-0.01 | Count=806 | 26.9%
  ESU10103 | POL10109 | Corr=0.00 | Count=860 | 28.7%
  ESU10103 | REG10102 | Corr=0.01 | Count=813 | 27.1%
  ESU10103 | REG10103 | Corr=0.01 | Count=822 | 27.4%
  ESU10103 | REG10105 | Corr=-0.01 | Count=799 | 26.6%
  ESU10103 | REG10106 | Corr=0.00 | Count=795 | 26.5%
  ESU10103 | REG10108 | Corr=0.02 | Count=799 | 26.6%
  ESU10103 | REG10109 | Corr=0.01 | Count=769 | 25.6%
  ESU10103 | ETI10102 | Corr=0.00 | Count=797 | 26.6%
  ESU10103 | ETI10103 | Corr=-0.01 | Count=755 | 25.2%
  ESU10103 | ETI10105 | Corr=0.02 | Count=836 | 27.9%
  ESU10103 | ETI10106 | Corr=0.01 | Count=783 | 26.1%
  ESU10103 | ETI10108 | Corr=0.03 | Count=815 | 27.2%
  ESU10103 | ETI10109 | Corr=-0.00 | Count=804 | 26.8%
  ESU10103 | CGV10102 | Corr=0.00 | Count=811 | 27.0%
  ESU10103 | CGV10103 | Corr=0.00 | Count=795 | 26.5%
  ESU10103 | CGV10105 | Corr=0.01 | Count=740 | 24.7%
  ESU10103 | CGV10106 | Corr=0.00 | Count=810 | 27.0%
  ESU10103 | CGV10108 | Corr=-0.01 | Count=776 | 25.9%
  ESU10103 | CGV10109 | Corr=-0.02 | Count=827 | 27.6%
  ESU10103 | IGV10102 | Corr=-0.02 | Count=813 | 27.1%
  ESU10103 | IGV10103 | Corr=0.01 | Count=801 | 26.7%
  ESU10103 | IGV10105 | Corr=0.01 | Count=801 | 26.7%
  ESU10103 | IGV10106 | Corr=0.01 | Count=826 | 27.5%
  ESU10103 | IGV10108 | Corr=-0.03 | Count=810 | 27.0%
  ESU10103 | IGV10109 | Corr=0.01 | Count=834 | 27.8%
  ESU10103 | CPI10102 | Corr=0.00 | Count=799 | 26.6%
  ESU10103 | CPI10103 | Corr=0.01 | Count=858 | 28.6%
  ESU10103 | CPI10105 | Corr=0.01 | Count=805 | 26.8%
  ESU10103 | CPI10106 | Corr=0.04 | Count=820 | 27.3%
  ESU10103 | CPI10108 | Corr=0.02 | Count=839 | 28.0%
  ESU10103 | CPI10109 | Corr=-0.03 | Count=776 | 25.9%
  ESU10104 | ESU10106 | Corr=0.00 | Count=786 | 26.2%
  ESU10104 | ESU10107 | Corr=-0.04 | Count=735 | 24.5%
  ESU10104 | ESU10109 | Corr=-0.01 | Count=806 | 26.9%
  ESU10104 | ESU10110 | Corr=-0.02 | Count=776 | 25.9%
  ESU10104 | SSU10102 | Corr=0.02 | Count=821 | 27.4%
  ESU10104 | SSU10103 | Corr=-0.00 | Count=773 | 25.8%
  ESU10104 | SSU10105 | Corr=-0.01 | Count=810 | 27.0%
  ESU10104 | SSU10106 | Corr=-0.01 | Count=805 | 26.8%
  ESU10104 | SSU10108 | Corr=0.02 | Count=823 | 27.4%
  ESU10104 | SSU10109 | Corr=0.01 | Count=835 | 27.8%
  ESU10104 | CSU10102 | Corr=0.01 | Count=811 | 27.0%
  ESU10104 | CSU10103 | Corr=0.02 | Count=827 | 27.6%
  ESU10104 | CSU10105 | Corr=0.03 | Count=791 | 26.4%
  ESU10104 | CSU10106 | Corr=-0.02 | Count=815 | 27.2%
  ESU10104 | CSU10108 | Corr=0.02 | Count=795 | 26.5%
  ESU10104 | CSU10109 | Corr=0.01 | Count=812 | 27.1%
  ESU10104 | GNT10102 | Corr=0.02 | Count=832 | 27.7%
  ESU10104 | GNT10103 | Corr=0.01 | Count=832 | 27.7%
  ESU10104 | GNT10105 | Corr=-0.01 | Count=797 | 26.6%
  ESU10104 | GNT10106 | Corr=0.01 | Count=819 | 27.3%
  ESU10104 | CGS10102 | Corr=0.01 | Count=808 | 26.9%
  ESU10104 | CGS10103 | Corr=0.00 | Count=789 | 26.3%
  ESU10104 | CGS10105 | Corr=0.02 | Count=815 | 27.2%
  ESU10104 | CGS10106 | Corr=-0.00 | Count=818 | 27.3%
  ESU10104 | CGS10108 | Corr=-0.01 | Count=798 | 26.6%
  ESU10104 | CGS10109 | Corr=-0.01 | Count=790 | 26.3%
  ESU10104 | GRC10102 | Corr=-0.02 | Count=818 | 27.3%
  ESU10104 | GRC10103 | Corr=-0.01 | Count=833 | 27.8%
  ESU10104 | GRC10104 | Corr=-0.01 | Count=811 | 27.0%
  ESU10104 | GRC10106 | Corr=0.02 | Count=855 | 28.5%
  ESU10104 | GRC10107 | Corr=-0.00 | Count=804 | 26.8%
  ESU10104 | GRC10109 | Corr=-0.00 | Count=784 | 26.1%
  ESU10104 | GRC10110 | Corr=0.00 | Count=823 | 27.4%
  ESU10104 | ERM10102 | Corr=-0.01 | Count=826 | 27.5%
  ESU10104 | ERM10103 | Corr=0.00 | Count=853 | 28.4%
  ESU10104 | ERM10105 | Corr=-0.03 | Count=771 | 25.7%
  ESU10104 | ERM10106 | Corr=-0.01 | Count=826 | 27.5%
  ESU10104 | ERM10108 | Corr=-0.00 | Count=809 | 27.0%
  ESU10104 | ERM10109 | Corr=0.01 | Count=842 | 28.1%
  ESU10104 | AUD10102 | Corr=-0.02 | Count=829 | 27.6%
  ESU10104 | AUD10103 | Corr=-0.01 | Count=793 | 26.4%
  ESU10104 | AUD10105 | Corr=-0.01 | Count=810 | 27.0%
  ESU10104 | AUD10106 | Corr=-0.02 | Count=794 | 26.5%
  ESU10104 | AUD10108 | Corr=-0.02 | Count=787 | 26.2%
  ESU10104 | AUD10109 | Corr=-0.01 | Count=809 | 27.0%
  ESU10104 | POL10102 | Corr=0.02 | Count=785 | 26.2%
  ESU10104 | POL10103 | Corr=-0.01 | Count=780 | 26.0%
  ESU10104 | POL10105 | Corr=-0.01 | Count=832 | 27.7%
  ESU10104 | POL10106 | Corr=-0.03 | Count=795 | 26.5%
  ESU10104 | POL10108 | Corr=0.01 | Count=815 | 27.2%
  ESU10104 | POL10109 | Corr=0.04 | Count=860 | 28.7%
  ESU10104 | REG10102 | Corr=0.04 | Count=877 | 29.2%
  ESU10104 | REG10103 | Corr=0.01 | Count=813 | 27.1%
  ESU10104 | REG10105 | Corr=-0.03 | Count=780 | 26.0%
  ESU10104 | REG10106 | Corr=0.02 | Count=820 | 27.3%
  ESU10104 | REG10108 | Corr=0.02 | Count=818 | 27.3%
  ESU10104 | REG10109 | Corr=-0.01 | Count=779 | 26.0%
  ESU10104 | ETI10102 | Corr=-0.03 | Count=774 | 25.8%
  ESU10104 | ETI10103 | Corr=0.04 | Count=790 | 26.3%
  ESU10104 | ETI10105 | Corr=-0.01 | Count=823 | 27.4%
  ESU10104 | ETI10106 | Corr=0.00 | Count=801 | 26.7%
  ESU10104 | ETI10108 | Corr=-0.00 | Count=814 | 27.1%
  ESU10104 | ETI10109 | Corr=-0.02 | Count=811 | 27.0%
  ESU10104 | CGV10102 | Corr=-0.02 | Count=805 | 26.8%
  ESU10104 | CGV10103 | Corr=0.00 | Count=843 | 28.1%
  ESU10104 | CGV10105 | Corr=0.02 | Count=837 | 27.9%
  ESU10104 | CGV10106 | Corr=0.01 | Count=825 | 27.5%
  ESU10104 | CGV10108 | Corr=0.03 | Count=799 | 26.6%
  ESU10104 | CGV10109 | Corr=-0.00 | Count=813 | 27.1%
  ESU10104 | IGV10102 | Corr=0.03 | Count=852 | 28.4%
  ESU10104 | IGV10103 | Corr=-0.01 | Count=809 | 27.0%
  ESU10104 | IGV10105 | Corr=-0.02 | Count=805 | 26.8%
  ESU10104 | IGV10106 | Corr=0.03 | Count=790 | 26.3%
  ESU10104 | IGV10108 | Corr=-0.02 | Count=833 | 27.8%
  ESU10104 | IGV10109 | Corr=-0.01 | Count=774 | 25.8%
  ESU10104 | CPI10102 | Corr=0.00 | Count=847 | 28.2%
  ESU10104 | CPI10103 | Corr=-0.01 | Count=801 | 26.7%
  ESU10104 | CPI10105 | Corr=-0.02 | Count=777 | 25.9%
  ESU10104 | CPI10106 | Corr=0.01 | Count=803 | 26.8%
  ESU10104 | CPI10108 | Corr=0.02 | Count=805 | 26.8%
  ESU10104 | CPI10109 | Corr=0.01 | Count=824 | 27.5%
  ESU10106 | ESU10107 | Corr=0.00 | Count=802 | 26.7%
  ESU10106 | ESU10109 | Corr=-0.02 | Count=790 | 26.3%
  ESU10106 | ESU10110 | Corr=0.01 | Count=807 | 26.9%
  ESU10106 | SSU10102 | Corr=0.01 | Count=789 | 26.3%
  ESU10106 | SSU10103 | Corr=-0.02 | Count=788 | 26.3%
  ESU10106 | SSU10105 | Corr=-0.03 | Count=802 | 26.7%
  ESU10106 | SSU10106 | Corr=-0.01 | Count=824 | 27.5%
  ESU10106 | SSU10108 | Corr=-0.00 | Count=787 | 26.2%
  ESU10106 | SSU10109 | Corr=-0.02 | Count=824 | 27.5%
  ESU10106 | CSU10102 | Corr=0.00 | Count=822 | 27.4%
  ESU10106 | CSU10103 | Corr=-0.01 | Count=800 | 26.7%
  ESU10106 | CSU10105 | Corr=-0.01 | Count=819 | 27.3%
  ESU10106 | CSU10106 | Corr=0.02 | Count=832 | 27.7%
  ESU10106 | CSU10108 | Corr=-0.00 | Count=769 | 25.6%
  ESU10106 | CSU10109 | Corr=-0.02 | Count=813 | 27.1%
  ESU10106 | GNT10102 | Corr=0.02 | Count=852 | 28.4%
  ESU10106 | GNT10103 | Corr=0.01 | Count=809 | 27.0%
  ESU10106 | GNT10105 | Corr=-0.00 | Count=765 | 25.5%
  ESU10106 | GNT10106 | Corr=-0.01 | Count=754 | 25.1%
  ESU10106 | CGS10102 | Corr=-0.00 | Count=796 | 26.5%
  ESU10106 | CGS10103 | Corr=0.01 | Count=833 | 27.8%
  ESU10106 | CGS10105 | Corr=0.01 | Count=801 | 26.7%
  ESU10106 | CGS10106 | Corr=0.01 | Count=827 | 27.6%
  ESU10106 | CGS10108 | Corr=0.01 | Count=799 | 26.6%
  ESU10106 | CGS10109 | Corr=0.00 | Count=833 | 27.8%
  ESU10106 | GRC10102 | Corr=-0.01 | Count=820 | 27.3%
  ESU10106 | GRC10103 | Corr=0.01 | Count=821 | 27.4%
  ESU10106 | GRC10104 | Corr=0.00 | Count=782 | 26.1%
  ESU10106 | GRC10106 | Corr=0.01 | Count=756 | 25.2%
  ESU10106 | GRC10107 | Corr=-0.02 | Count=794 | 26.5%
  ESU10106 | GRC10109 | Corr=0.01 | Count=814 | 27.1%
  ESU10106 | GRC10110 | Corr=0.02 | Count=810 | 27.0%
  ESU10106 | ERM10102 | Corr=0.01 | Count=822 | 27.4%
  ESU10106 | ERM10103 | Corr=-0.01 | Count=790 | 26.3%
  ESU10106 | ERM10105 | Corr=-0.00 | Count=802 | 26.7%
  ESU10106 | ERM10106 | Corr=0.01 | Count=801 | 26.7%
  ESU10106 | ERM10108 | Corr=0.02 | Count=794 | 26.5%
  ESU10106 | ERM10109 | Corr=0.01 | Count=796 | 26.5%
  ESU10106 | AUD10102 | Corr=0.02 | Count=836 | 27.9%
  ESU10106 | AUD10103 | Corr=-0.04 | Count=804 | 26.8%
  ESU10106 | AUD10105 | Corr=0.01 | Count=802 | 26.7%
  ESU10106 | AUD10106 | Corr=0.00 | Count=836 | 27.9%
  ESU10106 | AUD10108 | Corr=0.00 | Count=842 | 28.1%
  ESU10106 | AUD10109 | Corr=0.00 | Count=833 | 27.8%
  ESU10106 | POL10102 | Corr=-0.02 | Count=783 | 26.1%
  ESU10106 | POL10103 | Corr=0.01 | Count=794 | 26.5%
  ESU10106 | POL10105 | Corr=0.00 | Count=796 | 26.5%
  ESU10106 | POL10106 | Corr=0.01 | Count=829 | 27.6%
  ESU10106 | POL10108 | Corr=0.04 | Count=861 | 28.7%
  ESU10106 | POL10109 | Corr=-0.01 | Count=794 | 26.5%
  ESU10106 | REG10102 | Corr=-0.00 | Count=839 | 28.0%
  ESU10106 | REG10103 | Corr=-0.02 | Count=786 | 26.2%
  ESU10106 | REG10105 | Corr=-0.04 | Count=778 | 25.9%
  ESU10106 | REG10106 | Corr=0.03 | Count=822 | 27.4%
  ESU10106 | REG10108 | Corr=0.00 | Count=841 | 28.0%
  ESU10106 | REG10109 | Corr=0.02 | Count=822 | 27.4%
  ESU10106 | ETI10102 | Corr=0.05 | Count=819 | 27.3%
  ESU10106 | ETI10103 | Corr=0.00 | Count=810 | 27.0%
  ESU10106 | ETI10105 | Corr=0.01 | Count=812 | 27.1%
  ESU10106 | ETI10106 | Corr=-0.01 | Count=827 | 27.6%
  ESU10106 | ETI10108 | Corr=-0.00 | Count=789 | 26.3%
  ESU10106 | ETI10109 | Corr=0.01 | Count=819 | 27.3%
  ESU10106 | CGV10102 | Corr=-0.03 | Count=784 | 26.1%
  ESU10106 | CGV10103 | Corr=-0.02 | Count=749 | 25.0%
  ESU10106 | CGV10105 | Corr=-0.00 | Count=822 | 27.4%
  ESU10106 | CGV10106 | Corr=0.04 | Count=816 | 27.2%
  ESU10106 | CGV10108 | Corr=0.01 | Count=814 | 27.1%
  ESU10106 | CGV10109 | Corr=0.00 | Count=778 | 25.9%
  ESU10106 | IGV10102 | Corr=-0.00 | Count=838 | 27.9%
  ESU10106 | IGV10103 | Corr=-0.02 | Count=794 | 26.5%
  ESU10106 | IGV10105 | Corr=0.01 | Count=778 | 25.9%
  ESU10106 | IGV10106 | Corr=-0.00 | Count=812 | 27.1%
  ESU10106 | IGV10108 | Corr=-0.03 | Count=760 | 25.3%
  ESU10106 | IGV10109 | Corr=0.02 | Count=798 | 26.6%
  ESU10106 | CPI10102 | Corr=-0.01 | Count=829 | 27.6%
  ESU10106 | CPI10103 | Corr=-0.02 | Count=800 | 26.7%
  ESU10106 | CPI10105 | Corr=0.02 | Count=785 | 26.2%
  ESU10106 | CPI10106 | Corr=-0.01 | Count=813 | 27.1%
  ESU10106 | CPI10108 | Corr=0.01 | Count=824 | 27.5%
  ESU10106 | CPI10109 | Corr=-0.00 | Count=801 | 26.7%
  ESU10107 | ESU10109 | Corr=0.02 | Count=780 | 26.0%
  ESU10107 | ESU10110 | Corr=0.01 | Count=823 | 27.4%
  ESU10107 | SSU10102 | Corr=0.03 | Count=820 | 27.3%
  ESU10107 | SSU10103 | Corr=0.00 | Count=849 | 28.3%
  ESU10107 | SSU10105 | Corr=-0.01 | Count=810 | 27.0%
  ESU10107 | SSU10106 | Corr=-0.00 | Count=811 | 27.0%
  ESU10107 | SSU10108 | Corr=-0.02 | Count=836 | 27.9%
  ESU10107 | SSU10109 | Corr=-0.01 | Count=852 | 28.4%
  ESU10107 | CSU10102 | Corr=0.01 | Count=801 | 26.7%
  ESU10107 | CSU10103 | Corr=0.04 | Count=817 | 27.2%
  ESU10107 | CSU10105 | Corr=-0.03 | Count=786 | 26.2%
  ESU10107 | CSU10106 | Corr=-0.00 | Count=827 | 27.6%
  ESU10107 | CSU10108 | Corr=-0.00 | Count=832 | 27.7%
  ESU10107 | CSU10109 | Corr=-0.00 | Count=815 | 27.2%
  ESU10107 | GNT10102 | Corr=0.00 | Count=791 | 26.4%
  ESU10107 | GNT10103 | Corr=-0.00 | Count=830 | 27.7%
  ESU10107 | GNT10105 | Corr=0.01 | Count=728 | 24.3%
  ESU10107 | GNT10106 | Corr=0.01 | Count=823 | 27.4%
  ESU10107 | CGS10102 | Corr=-0.01 | Count=786 | 26.2%
  ESU10107 | CGS10103 | Corr=-0.02 | Count=707 | 23.6%
  ESU10107 | CGS10105 | Corr=-0.01 | Count=839 | 28.0%
  ESU10107 | CGS10106 | Corr=-0.03 | Count=819 | 27.3%
  ESU10107 | CGS10108 | Corr=0.01 | Count=847 | 28.2%
  ESU10107 | CGS10109 | Corr=0.02 | Count=860 | 28.7%
  ESU10107 | GRC10102 | Corr=-0.01 | Count=827 | 27.6%
  ESU10107 | GRC10103 | Corr=0.04 | Count=813 | 27.1%
  ESU10107 | GRC10104 | Corr=-0.00 | Count=797 | 26.6%
  ESU10107 | GRC10106 | Corr=-0.03 | Count=789 | 26.3%
  ESU10107 | GRC10107 | Corr=0.02 | Count=793 | 26.4%
  ESU10107 | GRC10109 | Corr=0.00 | Count=802 | 26.7%
  ESU10107 | GRC10110 | Corr=-0.01 | Count=819 | 27.3%
  ESU10107 | ERM10102 | Corr=-0.03 | Count=844 | 28.1%
  ESU10107 | ERM10103 | Corr=-0.01 | Count=830 | 27.7%
  ESU10107 | ERM10105 | Corr=0.01 | Count=851 | 28.4%
  ESU10107 | ERM10106 | Corr=0.01 | Count=831 | 27.7%
  ESU10107 | ERM10108 | Corr=0.01 | Count=841 | 28.0%
  ESU10107 | ERM10109 | Corr=-0.03 | Count=841 | 28.0%
  ESU10107 | AUD10102 | Corr=0.02 | Count=699 | 23.3%
  ESU10107 | AUD10103 | Corr=0.00 | Count=809 | 27.0%
  ESU10107 | AUD10105 | Corr=0.01 | Count=814 | 27.1%
  ESU10107 | AUD10106 | Corr=-0.01 | Count=829 | 27.6%
  ESU10107 | AUD10108 | Corr=-0.01 | Count=802 | 26.7%
  ESU10107 | AUD10109 | Corr=0.01 | Count=780 | 26.0%
  ESU10107 | POL10102 | Corr=-0.01 | Count=744 | 24.8%
  ESU10107 | POL10103 | Corr=0.00 | Count=717 | 23.9%
  ESU10107 | POL10105 | Corr=-0.01 | Count=789 | 26.3%
  ESU10107 | POL10106 | Corr=-0.00 | Count=815 | 27.2%
  ESU10107 | POL10108 | Corr=0.01 | Count=808 | 26.9%
  ESU10107 | POL10109 | Corr=-0.00 | Count=812 | 27.1%
  ESU10107 | REG10102 | Corr=0.01 | Count=822 | 27.4%
  ESU10107 | REG10103 | Corr=0.00 | Count=859 | 28.6%
  ESU10107 | REG10105 | Corr=-0.03 | Count=794 | 26.5%
  ESU10107 | REG10106 | Corr=-0.03 | Count=747 | 24.9%
  ESU10107 | REG10108 | Corr=0.00 | Count=831 | 27.7%
  ESU10107 | REG10109 | Corr=-0.02 | Count=815 | 27.2%
