BGL10102,BGL10103,BGL10105,DAM10102,DAM10103,DAM10105,BTP10102,BTP10103,BAL10102,BAL10103,BAL10104,BCB10102,BCB10103,BLC10102,BLC10103
93,81,69,67,85,72,79,90,69,97,80,84,78,84,71
66,77,88,72,73,95,89,88,96,70,92,92,95,79,97
90,74,82,71,67,98,82,70,97,91,76,69,77,73,85
77,91,87,84,67,87,90,67,72,76,82,95,90,67,97
91,73,90,91,80,91,76,72,78,84,97,95,94,80,93
69,69,71,75,85,77,76,94,80,79,92,72,84,66,86
90,83,89,77,90,81,90,96,68,65,88,89,84,88,73
79,83,74,67,84,71,90,67,95,78,82,75,91,90,78
95,91,92,82,90,82,93,96,78,68,91,91,71,74,72
96,65,67,65,86,88,83,71,76,77,81,98,76,98,93
85,93,65,91,83,77,86,88,70,69,87,85,84,82,95
66,80,77,66,78,68,79,82,86,75,83,89,86,72,86
77,97,75,77,86,74,86,79,82,95,68,70,74,78,87
93,74,95,88,82,76,68,70,83,94,96,76,69,76,74
87,94,94,85,77,95,95,78,69,83,95,78,88,94,71
96,65,97,77,67,73,88,73,68,94,75,74,67,79,94
74,83,83,77,90,71,90,93,97,95,95,69,65,71,87
89,66,77,76,85,82,97,93,77,83,90,66,71,68,97
69,76,95,84,95,93,66,70,80,77,97,95,79,98,90
87,65,84,68,91,80,92,84,78,70,98,71,65,79,86
86,68,69,73,91,92,83,69,69,96,67,91,93,69,78
91,74,78,72,97,90,80,87,93,94,73,88,82,94,72
71,67,86,79,81,77,95,67,82,77,80,77,82,66,75
74,78,87,79,72,73,95,79,83,78,93,79,83,69,84
91,95,97,66,77,75,85,77,84,74,77,78,80,78,81
84,85,80,82,87,73,78,79,71,87,91,98,83,85,93
76,93,98,93,84,89,86,98,98,83,91,81,69,85,93
92,67,91,92,86,70,87,93,84,67,90,79,95,94,73
84,81,93,95,74,68,74,71,84,70,91,70,71,80,89
94,77,78,89,80,76,71,73,94,65,94,87,82,73,65
77,91,77,76,86,86,95,88,77,80,86,93,92,69,84
68,77,82,83,66,88,91,75,93,88,85,71,65,79,70
93,69,97,94,94,91,83,67,85,87,94,96,95,65,82
76,89,87,97,76,83,69,87,79,91,77,79,92,82,92
75,77,70,78,82,74,87,65,97,89,84,66,81,72,66
96,78,97,95,89,74,70,71,81,96,71,84,90,98,96
86,72,97,95,84,83,73,79,69,95,98,92,87,76,97
83,69,82,82,75,72,67,69,69,97,97,85,96,65,88
76,81,68,72,67,79,88,84,81,87,66,82,74,82,93
76,89,79,94,83,78,84,89,97,83,79,73,93,95,75
80,86,72,98,84,98,71,75,89,76,94,94,71,94,73
74,88,67,95,86,82,98,98,96,90,74,85,70,68,92
75,74,90,65,78,89,68,73,70,66,71,85,86,91,74
98,89,86,65,88,94,84,92,94,66,67,71,69,75,92
76,73,89,84,77,83,88,93,89,69,69,91,81,76,81
77,78,67,76,71,67,95,84,73,81,95,66,74,87,82
95,93,67,95,79,84,93,79,67,83,80,88,65,87,82
79,76,71,77,73,95,78,92,80,98,74,75,73,68,75
83,80,70,70,79,93,77,98,74,87,83,79,75,82,88
72,66,94,98,73,75,96,72,70,98,86,65,86,89,87
94,80,72,75,77,80,84,67,96,67,73,82,82,76,65
73,84,85,71,77,81,92,73,74,93,75,89,94,84,70
97,72,92,89,75,97,76,80,68,70,83,65,70,77,65
70,86,67,75,89,94,77,69,85,91,83,69,79,92,76
90,91,74,66,82,69,77,81,87,80,76,71,67,65,95
68,74,90,69,88,81,73,75,97,81,98,95,89,88,81
74,67,84,68,67,85,81,98,82,84,71,96,79,91,67
78,87,94,65,94,96,91,91,71,84,95,68,87,72,90
79,66,93,90,94,74,75,65,74,91,93,92,72,78,70
74,80,85,69,65,81,65,66,93,88,98,65,94,68,97
78,78,79,67,92,81,76,73,87,79,84,85,86,72,82
69,89,93,91,97,94,83,82,73,72,97,74,94,91,67
66,85,92,66,80,98,68,95,91,73,90,75,90,72,88
88,65,74,81,92,98,71,76,82,67,94,95,66,89,83
69,69,75,98,72,69,67,90,95,84,85,71,69,75,92
67,68,71,88,72,94,88,97,69,70,80,69,86,82,88
73,85,68,81,78,75,90,97,66,74,79,95,79,69,80
91,97,74,68,79,73,82,65,74,92,74,65,81,76,88
78,80,96,77,87,92,82,78,80,78,98,96,91,91,93
74,87,82,91,84,96,75,82,83,95,69,72,92,86,84
93,97,85,81,89,74,95,94,67,91,70,71,87,95,80
75,91,90,68,93,79,81,94,86,77,93,86,82,70,77
94,93,77,85,71,76,77,67,86,80,85,65,89,83,84
66,71,85,92,92,96,86,95,69,78,67,67,65,71,72
76,76,96,93,95,92,67,87,87,92,95,94,69,76,68
93,93,77,80,83,73,83,88,71,98,82,79,72,80,68
93,65,77,93,92,83,98,94,66,83,70,86,78,87,68
65,76,74,92,97,74,76,81,65,78,68,91,98,98,67
83,78,94,84,68,80,65,75,66,93,75,69,65,81,78
76,93,68,91,81,88,83,74,68,91,73,93,83,76,68
79,85,66,88,76,85,91,80,68,83,68,80,94,73,80
91,93,80,79,68,65,98,73,92,75,93,75,71,90,89
77,71,74,92,96,96,90,94,75,95,71,82,89,97,76
81,65,76,94,76,76,87,76,94,65,66,80,73,82,97
98,79,68,74,81,78,80,66,87,68,84,74,65,90,81
78,69,69,94,82,74,96,73,97,89,87,72,89,79,87
73,92,95,68,95,92,77,74,81,93,75,82,92,72,81
81,75,66,97,79,70,89,69,75,87,89,76,79,87,70
67,93,91,93,67,90,69,70,92,71,94,81,84,74,89
79,93,93,98,70,83,68,76,96,80,91,83,91,83,68
66,65,91,97,90,69,77,68,93,78,97,69,68,96,95
68,74,76,84,93,94,92,82,78,86,71,88,71,93,83
74,84,69,84,69,82,94,68,69,72,73,66,88,83,87
79,88,90,66,92,87,91,74,86,71,93,86,88,75,86
74,96,96,79,84,97,79,81,75,84,67,65,86,80,83
81,95,77,88,85,81,84,81,98,92,72,69,89,80,68
71,73,87,96,96,98,73,82,66,72,73,81,66,96,82
71,71,66,71,95,83,79,75,81,93,82,75,87,88,78
78,69,97,69,73,91,71,96,82,93,87,77,67,69,95
90,86,74,87,66,94,72,85,74,82,83,84,94,65,67
78,97,71,92,81,74,68,68,88,79,77,69,90,79,86
84,72,76,65,68,87,81,81,65,87,79,78,98,65,71
67,91,80,85,67,83,95,84,67,87,68,96,79,94,89
81,78,75,94,93,98,96,79,79,93,85,84,95,86,77
66,81,79,70,76,84,94,66,94,89,79,75,72,68,87
71,76,79,71,70,88,87,95,87,92,91,65,75,87,78
87,89,66,81,70,77,86,90,96,66,86,69,86,69,79
81,95,73,79,71,78,96,67,72,76,77,67,66,84,67
84,86,87,88,81,84,84,76,73,77,84,89,72,87,92
98,93,66,79,85,96,80,85,78,86,70,79,78,95,73
94,82,90,85,82,71,73,91,74,97,90,86,90,94,83
66,86,97,75,72,67,98,84,66,65,78,89,74,76,89
75,75,87,97,89,65,73,90,94,72,89,78,86,92,66
75,96,75,65,86,95,92,89,82,98,67,93,88,83,76
70,70,89,94,88,98,88,67,89,83,65,83,67,81,96
85,90,75,83,94,86,78,66,90,77,97,69,97,97,82
71,86,82,81,68,86,78,92,90,70,95,77,69,73,81
75,67,88,84,97,84,80,94,92,95,71,70,77,74,70
97,71,90,95,82,97,93,75,75,89,98,92,66,95,91
98,93,92,80,95,71,65,83,74,97,72,91,67,82,77
71,73,88,85,95,68,96,72,65,77,67,77,86,79,92
77,76,94,86,83,78,73,95,97,78,89,94,74,91,67
95,90,89,94,73,98,93,77,94,95,85,72,95,94,87
71,93,98,78,95,72,79,96,76,74,80,76,71,68,67
72,98,95,82,82,87,86,66,97,93,76,79,79,68,97
98,95,87,84,90,92,93,74,75,86,98,66,71,77,68
80,65,69,81,73,85,75,96,87,65,66,80,77,75,76
95,96,90,66,78,88,86,70,90,82,68,73,74,97,98
82,87,68,74,96,66,72,68,72,72,81,84,84,72,90
84,83,93,95,88,70,68,86,87,65,73,86,98,94,71
96,65,79,80,73,97,91,89,85,79,78,98,69,76,74
84,79,81,75,95,78,80,92,73,79,78,96,97,93,85
84,90,93,88,79,73,90,68,80,73,85,79,90,68,75
84,96,91,95,89,88,84,68,84,84,84,96,88,90,85
86,86,74,80,96,88,73,74,72,87,77,69,71,93,81
74,81,73,98,82,83,91,82,97,81,85,66,79,65,72
66,95,68,67,75,98,75,67,82,85,80,93,67,92,81
98,95,88,79,84,69,80,92,74,76,69,77,79,83,77
89,77,82,75,74,73,93,97,84,73,73,96,85,93,86
70,78,83,91,81,67,67,85,96,95,97,82,93,72,74
91,92,84,86,74,96,71,97,75,83,89,76,80,70,85
94,73,97,66,97,67,71,74,89,94,73,93,67,95,98
91,73,67,87,90,96,94,93,73,82,71,74,79,65,83
98,69,96,80,82,89,72,80,69,72,74,83,67,89,84
98,88,86,65,97,87,96,95,71,84,94,81,76,80,92
86,91,93,70,87,78,92,73,91,89,65,73,69,79,74
70,65,94,84,75,69,84,70,82,70,92,76,71,82,74
88,71,84,71,68,66,77,90,88,98,76,66,74,69,88
66,75,82,69,80,91,67,92,72,84,90,80,90,90,86
77,97,95,78,66,65,66,70,83,68,72,65,84,93,94
74,81,79,68,80,98,70,84,83,91,98,98,66,89,91
68,77,69,86,85,95,79,94,75,77,66,82,76,70,88
95,83,91,75,92,93,66,67,81,88,81,80,85,70,72
76,67,67,86,95,70,75,90,73,84,77,72,74,84,70
85,95,71,80,66,75,88,95,91,66,80,88,81,84,65
85,66,95,69,82,70,70,69,80,78,75,67,84,77,96
92,90,90,88,82,72,93,98,79,93,70,97,72,79,74
76,65,77,98,98,93,87,72,95,83,82,65,78,82,90
67,88,74,80,75,91,75,94,65,81,78,68,65,69,74
86,82,80,77,83,91,74,82,72,81,84,85,67,76,79
87,94,84,86,81,84,82,74,81,88,66,97,71,85,65
85,84,91,76,88,80,85,85,94,93,84,72,96,71,85
72,92,80,93,91,86,94,87,75,94,85,65,88,66,81
83,73,85,96,82,79,88,71,68,90,83,90,76,90,73
96,66,82,74,85,73,82,66,92,67,91,68,76,76,86
75,75,88,81,97,80,68,71,94,95,79,78,78,78,66
80,77,71,80,96,72,97,85,69,74,96,68,66,93,82
91,97,86,67,94,75,67,90,92,86,72,91,81,67,67
76,95,83,91,87,98,66,65,72,73,78,73,81,95,79
72,94,81,89,85,97,80,81,76,91,87,95,83,74,69
95,67,66,83,69,73,84,92,96,87,70,74,90,67,82
73,80,69,71,73,66,66,77,76,91,80,82,75,96,68
72,66,80,75,85,65,82,90,88,71,77,65,76,67,78
79,81,97,77,87,73,87,97,93,69,79,67,81,71,73
67,96,79,91,88,87,84,77,70,72,95,66,84,80,86
77,77,72,65,87,94,97,83,81,68,75,80,85,72,75
83,73,91,98,85,95,96,92,80,95,78,68,82,86,97
72,86,89,94,66,68,81,83,77,91,70,74,97,93,72
86,78,80,97,87,98,80,66,69,86,91,77,70,98,87
69,80,86,95,75,95,88,76,68,79,77,86,90,80,90
97,76,69,72,70,68,79,85,65,93,80,76,84,78,71
71,70,72,97,74,88,79,86,78,86,92,96,91,98,92
86,65,75,92,73,70,68,85,78,79,74,87,66,98,85
90,74,67,91,86,78,92,86,86,66,95,95,98,94,82
73,70,68,92,66,91,65,76,72,87,83,96,84,88,92
88,65,85,95,83,97,73,88,89,79,83,70,67,89,70
67,89,65,78,74,80,84,97,80,72,65,73,65,90,66
68,69,75,72,81,71,74,67,74,73,96,89,86,83,71
75,76,93,85,66,96,78,85,78,92,66,92,78,96,90
73,74,80,77,93,79,96,79,76,95,74,80,69,66,88
90,80,97,95,90,94,74,91,70,84,84,85,89,80,65
90,86,80,67,85,90,70,78,84,76,91,87,88,68,94
92,98,71,72,85,75,76,75,69,66,92,80,73,96,79
82,76,71,90,75,84,97,78,68,80,70,97,98,81,77
73,72,95,72,89,66,70,93,92,70,68,77,83,86,88
92,83,69,71,88,98,76,75,65,71,71,77,94,66,73
94,66,65,68,92,86,91,83,90,92,81,66,93,92,77
94,89,81,86,69,70,77,69,71,75,80,94,72,83,79
96,80,75,77,94,96,94,95,67,86,91,81,71,81,66
71,98,69,91,74,96,80,72,72,92,96,96,95,65,78
71,69,77,84,92,73,93,68,92,65,89,78,86,67,92
93,81,68,90,94,93,87,69,84,81,98,89,85,67,85
73,93,95,65,92,79,90,87,77,70,97,82,77,78,81
94,91,75,71,68,76,98,86,91,96,71,86,76,79,84
94,65,67,86,96,93,93,96,67,91,80,81,88,88,71
95,65,83,78,74,68,81,73,90,96,86,96,65,98,69
68,92,75,85,75,90,73,74,95,72,78,91,92,74,97
77,69,91,96,75,98,83,66,67,76,76,95,84,75,72
91,66,92,83,86,96,78,92,66,81,95,81,83,97,98
97,91,95,70,80,98,86,98,65,81,85,65,88,86,75
65,80,72,70,90,80,98,81,86,67,81,91,75,67,93
80,86,65,77,71,94,83,76,74,75,80,79,88,73,91
95,77,95,79,82,68,69,91,93,84,97,94,83,93,72
75,84,85,72,79,94,98,83,65,74,85,88,88,81,96
90,89,89,87,90,87,91,70,75,67,75,88,76,69,85
85,72,71,96,72,76,94,83,96,69,69,85,86,77,85
76,68,80,65,72,85,97,98,92,65,83,98,85,77,89
67,82,71,84,70,82,98,96,75,66,65,78,81,95,83
67,73,96,70,86,72,91,79,93,74,78,65,94,71,66
66,74,73,73,88,91,93,74,79,77,94,93,86,98,94
67,85,79,90,66,86,84,91,80,89,83,67,69,68,68
88,94,76,92,98,97,78,78,74,90,84,81,86,75,76
84,88,89,93,69,68,91,72,68,75,92,80,69,84,73
77,78,93,68,76,97,96,85,81,78,97,81,81,95,94
80,86,75,82,89,72,70,73,96,81,70,93,87,77,73
94,80,87,66,90,79,83,91,69,67,86,66,65,96,88
88,87,98,88,83,96,66,93,72,90,86,80,93,79,74
98,91,92,73,89,75,87,78,82,79,87,97,82,93,86
67,87,69,88,88,82,79,72,98,78,73,84,92,95,86
85,94,91,73,79,92,80,89,83,84,75,78,94,93,70
69,97,73,67,78,87,80,86,92,81,79,84,70,86,82
74,68,67,81,77,70,82,89,96,82,79,78,75,76,74
65,93,81,77,96,92,81,80,75,95,90,76,67,73,66
80,94,78,70,82,66,69,66,98,89,93,69,98,73,97
68,91,78,88,69,85,74,91,88,90,67,90,69,81,77
77,98,65,70,95,81,65,88,96,65,98,95,81,69,68
76,85,85,85,72,89,79,83,87,69,96,89,96,86,85
87,84,96,81,98,94,95,92,79,76,75,80,93,81,89
84,73,81,84,74,71,74,69,74,77,72,65,91,93,87
78,98,78,68,65,82,87,87,67,74,81,93,93,80,98
93,73,73,91,65,65,97,94,77,86,87,73,93,91,96
87,94,97,88,66,87,90,85,90,77,90,95,86,92,76
79,87,96,79,83,72,85,76,86,69,67,87,73,94,73
65,69,71,86,68,70,88,70,92,95,95,92,79,77,65
93,96,80,80,79,94,97,68,80,94,78,88,95,74,84
88,72,67,97,84,77,75,87,83,96,89,85,81,98,73
83,79,68,71,78,86,83,79,93,79,67,83,67,70,72
68,78,76,95,82,73,92,74,98,70,95,65,69,65,80
75,70,92,71,82,77,89,96,66,98,88,92,95,80,92
81,74,83,66,74,70,74,90,90,76,93,73,78,75,94
66,70,72,91,76,86,65,78,66,66,93,65,66,71,89
66,82,68,81,73,95,66,76,71,96,97,98,74,75,94
82,77,89,82,94,80,92,71,90,93,65,68,83,91,97
92,88,96,86,70,76,83,72,73,82,89,69,76,84,77
80,78,71,74,69,71,84,79,91,70,98,83,81,93,80
94,88,66,68,73,84,92,88,72,78,89,73,93,87,82
92,95,84,84,91,95,86,96,69,73,74,72,78,87,96
72,78,66,71,96,94,78,96,88,94,90,93,72,94,68
78,80,82,94,68,88,90,92,69,73,88,79,91,85,70
74,95,83,90,89,91,97,68,94,82,69,79,68,70,82
83,93,67,69,89,97,73,78,77,88,66,97,69,80,89
93,75,96,87,81,88,77,76,89,80,88,87,72,84,65
72,74,71,92,88,78,89,71,79,88,77,78,90,90,78
75,93,94,78,98,68,84,65,76,72,98,83,73,84,85
93,73,87,67,84,74,82,80,69,94,66,67,69,98,76
81,84,87,91,96,96,69,78,95,94,67,87,76,66,81
83,66,74,67,77,96,87,72,66,75,84,93,74,91,98
84,96,71,73,95,93,89,69,65,81,75,79,75,97,69
77,73,65,69,84,71,72,98,83,93,71,97,65,89,94
88,95,92,90,83,93,89,70,91,93,68,90,93,89,73
84,96,65,68,86,94,65,67,68,69,95,73,74,94,78
78,96,88,98,86,84,82,68,78,96,77,92,65,82,73
91,73,84,66,72,79,68,86,98,68,87,84,79,65,68
66,94,84,75,85,67,80,90,67,84,73,97,86,87,83
93,76,96,90,77,95,91,98,68,68,75,79,75,85,85
78,86,77,70,87,69,70,68,77,80,85,98,76,90,91
74,93,90,84,74,83,95,83,79,83,97,78,71,83,89
67,81,69,98,82,98,71,92,81,76,92,71,65,67,66
83,69,97,65,72,70,71,82,79,71,66,97,66,96,84
71,82,74,87,69,90,88,79,67,86,69,86,85,77,98
74,66,94,89,69,78,87,96,91,72,86,89,84,67,97
74,80,69,80,93,89,77,81,91,82,94,79,66,84,87
74,65,74,95,72,83,76,75,73,74,85,68,76,79,88
88,76,75,94,67,67,78,84,70,90,74,81,77,85,86
71,78,85,73,69,67,82,80,70,70,98,83,84,65,94
74,92,85,71,71,81,67,78,71,93,93,98,91,95,94
76,68,91,77,67,91,88,80,88,87,79,79,98,76,91
74,93,84,81,89,90,90,87,96,96,98,83,76,72,97
88,93,71,65,76,69,67,68,83,68,80,91,67,83,82
88,94,67,91,93,84,71,79,73,74,82,75,94,96,74
68,66,90,80,74,82,94,74,97,79,80,87,91,71,98
78,96,69,92,74,81,82,83,72,98,65,79,86,95,74
85,77,71,78,66,73,85,87,70,76,80,94,72,76,76
70,85,82,90,97,71,77,91,78,95,67,87,82,87,92
70,67,92,96,72,66,77,75,72,97,92,77,86,73,69
98,96,65,97,88,77,90,79,83,98,88,71,78,78,72
81,87,81,73,94,97,66,76,80,76,69,94,88,94,75
79,96,68,97,83,72,83,75,79,94,92,96,73,82,75
94,83,94,87,88,84,98,71,66,77,81,94,94,83,66
83,74,76,96,97,96,66,89,76,95,78,78,92,70,77
66,79,76,66,68,76,83,94,77,67,66,76,89,87,82
97,98,96,69,97,98,82,76,68,89,71,76,79,79,69
90,82,88,90,90,78,94,75,91,66,98,65,98,94,79
78,65,76,71,65,95,85,80,87,81,86,89,68,97,80
75,77,76,67,83,96,77,65,76,73,97,71,83,69,89
66,74,75,95,82,68,92,78,69,84,90,68,78,67,90
70,72,74,90,69,80,71,84,69,73,70,88,93,78,78
98,68,73,65,97,84,91,95,68,98,89,78,88,90,91
79,65,90,73,98,77,98,89,90,69,93,94,66,93,67
87,69,75,90,88,89,67,80,91,95,94,68,85,76,73
97,95,91,70,70,89,80,81,91,67,83,80,85,67,68
73,94,85,66,82,91,65,92,75,82,74,81,91,97,95
66,68,84,67,66,81,84,77,89,78,70,71,77,87,85
91,66,96,78,98,79,85,96,72,79,78,95,66,76,97
84,96,92,85,65,91,87,80,69,82,88,70,78,84,93
87,79,91,78,67,85,78,81,77,86,92,77,84,66,95
67,73,81,66,78,80,83,82,97,74,95,95,72,84,82
81,73,86,67,74,96,71,66,66,86,91,65,93,71,65
98,92,69,65,85,71,95,98,90,85,74,92,91,96,89
95,66,67,77,66,76,89,73,70,76,89,74,75,82,91
77,75,93,75,75,65,98,80,87,80,72,92,70,92,74
65,71,79,94,67,73,83,82,67,77,96,94,88,96,79
79,80,70,66,78,79,74,83,96,94,68,84,78,82,94
76,66,72,79,67,74,76,87,77,87,75,84,85,65,65
94,79,77,72,85,81,86,90,71,82,78,73,96,86,96
81,87,92,80,95,71,81,74,73,95,67,95,96,83,70
87,84,90,74,88,91,68,74,86,84,76,87,94,93,71
65,85,86,96,79,78,84,84,76,93,74,89,92,77,74
79,69,88,78,82,72,75,88,96,91,65,65,88,90,88
71,89,71,84,88,81,98,68,90,77,86,90,69,74,93
86,70,89,81,68,84,70,75,67,92,95,93,72,97,77
78,94,94,85,79,77,70,78,84,77,94,96,68,89,67
66,90,69,95,91,75,71,82,72,66,92,68,67,85,83
89,73,74,70,96,67,98,76,67,77,69,73,69,76,91
69,80,83,82,66,76,91,85,84,90,81,84,86,97,77
88,77,94,85,85,75,92,94,86,92,71,69,95,96,83
71,84,65,67,89,74,97,98,96,84,85,67,81,91,65
90,72,66,79,77,89,67,78,74,66,75,90,89,69,90
68,96,82,82,66,66,83,86,71,89,74,71,93,97,91
71,93,65,88,91,93,90,70,91,83,81,86,73,67,87
92,70,94,93,93,91,85,77,82,66,80,79,70,91,73
73,81,74,83,88,81,85,84,76,84,90,84,77,84,71
82,70,76,78,96,72,77,69,67,74,86,74,93,85,97
66,90,77,75,78,96,86,90,69,82,67,81,91,71,93
68,76,76,89,79,70,98,98,97,97,68,66,88,83,81
67,92,97,95,72,77,74,82,95,84,78,72,87,86,73
88,67,89,70,86,87,80,87,65,83,97,95,68,97,70
65,98,72,67,86,86,85,79,70,65,73,77,70,66,97
94,76,97,86,89,76,78,66,85,73,67,87,78,91,89
79,80,78,78,98,94,79,95,74,87,81,80,90,87,84
97,70,66,96,68,81,90,66,69,72,91,83,85,82,85
87,82,79,95,83,70,66,98,72,73,66,68,82,65,89
86,94,73,74,92,95,66,89,76,67,80,87,89,87,83
98,71,81,97,71,91,72,85,77,98,65,67,66,80,85
93,66,65,85,83,81,86,80,92,76,88,83,72,66,68
77,96,89,91,66,73,71,90,73,81,86,65,89,90,73
88,90,79,70,90,70,68,95,73,96,74,86,96,89,77
87,83,65,92,65,82,83,76,65,76,88,97,82,89,90
95,75,92,81,69,69,92,77,86,68,83,67,73,71,76
92,71,81,82,77,72,97,81,68,97,70,78,79,73,84
89,86,94,67,71,78,84,72,84,85,92,77,65,76,67
95,67,69,98,83,79,65,93,84,90,79,79,91,82,73
76,88,68,69,85,73,96,94,86,78,67,80,84,91,87
71,66,93,66,91,69,84,71,72,85,93,92,91,81,79
68,97,65,73,71,75,66,71,87,66,69,70,90,98,68
80,92,68,79,72,70,82,65,82,84,93,89,78,84,82
85,95,69,84,70,84,80,92,79,94,80,95,69,77,68
87,97,65,71,82,88,75,85,65,79,97,86,81,69,84
96,90,75,86,94,77,79,79,80,91,67,80,91,84,82
76,92,85,83,98,70,73,97,88,81,69,94,81,89,95
87,65,72,84,90,82,79,96,77,95,95,82,89,97,71
82,98,72,94,89,96,76,75,95,83,84,91,92,65,82
92,67,67,87,86,66,67,75,74,95,97,91,97,73,77
89,79,76,76,70,89,96,90,68,77,88,82,77,67,94
95,78,74,71,90,81,68,93,81,73,78,70,78,72,80
79,76,84,69,79,70,87,67,93,87,68,78,66,90,71
79,65,95,83,68,72,76,70,72,67,90,74,85,68,70
86,95,97,85,72,92,87,66,86,88,69,92,87,85,89
96,81,85,95,84,92,91,92,76,73,80,86,67,79,69
86,98,84,78,98,71,85,69,81,92,74,90,78,77,93
72,72,75,73,66,81,79,66,97,87,65,75,89,81,74
80,82,74,74,80,75,96,73,89,74,79,90,89,72,75
75,91,92,78,70,93,82,78,98,86,92,74,70,76,67
80,96,77,88,96,97,79,78,70,98,85,88,88,93,71
81,74,83,68,89,88,84,72,68,83,71,98,71,78,90
93,95,79,65,82,82,71,84,77,74,77,89,75,78,81
96,76,98,65,68,95,76,95,90,74,75,67,81,75,97
78,67,95,86,74,74,68,86,70,69,87,75,86,98,81
92,85,77,87,74,70,75,77,86,84,85,65,97,80,96
97,74,71,84,83,71,93,79,72,89,87,89,97,90,84
67,89,90,69,89,77,92,80,80,92,65,76,84,90,77
83,75,83,96,86,94,94,70,86,65,91,97,86,88,76
91,85,70,91,69,87,78,83,84,69,82,76,81,79,70
97,89,71,92,79,70,69,81,87,78,71,79,74,72,73
69,84,92,90,82,93,68,80,95,85,89,67,89,89,87
94,75,90,65,89,75,84,77,71,98,97,95,68,69,92
85,83,65,79,73,81,93,86,70,90,72,85,65,82,69
69,95,65,90,97,92,80,67,91,95,86,94,86,71,76
68,86,81,85,95,96,92,79,92,80,71,72,89,95,94
70,96,77,72,93,79,72,86,67,96,88,96,87,75,86
78,71,70,77,75,71,89,92,81,87,84,88,88,78,92
89,83,71,81,86,89,74,81,74,80,69,95,84,93,75
65,74,83,91,67,83,66,69,72,68,68,86,71,88,86
89,78,98,78,66,80,77,94,88,96,66,88,84,88,82
72,81,82,85,89,82,87,68,67,85,80,94,86,97,72
83,94,98,71,65,79,84,79,78,92,84,78,77,77,88
82,65,87,95,96,67,87,73,70,89,98,79,84,84,84
85,66,82,71,68,73,89,69,87,86,78,81,85,88,92
78,82,84,83,76,81,68,70,78,68,85,90,86,79,80
98,73,65,69,75,87,71,71,80,89,80,91,85,79,68
