RST10101,RST10102,RST10103,RST10104,RST10105,RST10106,RST10107,RST10108,RST10109,RST10110,RST10111,RST10112,RST10113,RST10114,RST10115,RST10116,RST10117,RST10118,RST10119,RCD10101,RCD10102,RCD10103,RCD10104,RCD10105,RCD10106,RCD10107,RCD10108,RCD10109,RCD10110,RCD10111,RCD10112,RCD10113,RCD10114,RCD10115,RCD10116,RCD10117,RCD10118,RCD10119,RSL10101,RSL10102,RSL10103,RSL10104,RSL10105,RSL10106,RSL10107,RSL10108,RSL10109,RSL10110,RSL10111,RSL10112,RSL10113,RSL10114,RSL10115,RSL10116,RSL10117,RSL10118,RSL10119,RSU10101,RSU10102,RSU10103,RSU10104,RSU10105,RSU10106,RSU10107,RSU10108,RSU10109,RSU10110,RSU10111,RSU10112,RSU10113,RSU10114,RSU10115,RSU10116,RSU10117,RSU10118,RSU10119,ROR10101,ROR10102,ROR10103,ROR10104,ROR10105,ROR10106,ROR10107,ROR10108,ROR10109,ROR10110,ROR10111,ROR10112,ROR10113,ROR10114,ROR10115,ROR10116,ROR10117,ROR10118,ROR10119,RDA10101,RDA10102,RDA10103,RDA10104,RDA10105,RDA10106,RDA10107,RDA10108,RDA10109,RDA10110,RDA10111,RDA10112,RDA10113,RDA10114,RDA10115,RDA10116,RDA10117,RDA10118,RDA10119,RTR10101,RTR10102,RTR10103,RTR10104,RTR10105,RTR10106,RTR10107,RTR10108,RTR10109,RTR10110,RTR10111,RTR10112,RTR10113,RTR10114,RTR10115,RTR10116,RTR10117,RTR10118,RTR10119,RPR10101,RPR10102,RPR10103,RPR10104,RPR10105,RPR10106,RPR10107,RPR10108,RPR10109,RPR10110,RPR10111,RPR10112,RPR10113,RPR10114,RPR10115,RPR10116,RPR10117,RPR10118,RPR10119,RMR10101,RMR10102,RMR10103,RMR10104,RMR10105,RMR10106,RMR10107,RMR10108,RMR10109,RMR10110,RMR10111,RMR10112,RMR10113,RMR10114,RMR10115,RMR10116,RMR10117,RMR10118,RMR10119,RCM10101,RCM10102,RCM10103,RCM10104,RCM10105,RCM10106,RCM10107,RCM10108,RCM10109,RCM10110,RCM10111,RCM10112,RCM10113,RCM10114,RCM10115,RCM10116,RCM10117,RCM10118,RCM10119
82,41,82,32,71,69,90,61,46,83,43,76,68,49,66,39,34,32,37,55,59,47,42,52,69,48,57,54,90,88,89,90,40,84,64,54,58,84,35,62,47,30,52,45,72,69,73,58,71,52,76,77,32,59,32,73,69,72,72,49,39,33,56,79,64,72,30,88,56,67,47,59,32,34,34,56,86,46,44,46,31,86,51,72,60,30,82,54,38,33,49,90,62,84,86,43,43,59,81,32,49,62,67,42,57,59,82,86,75,49,78,85,42,41,71,88,82,38,67,48,58,81,63,56,50,42,66,79,80,36,44,66,34,52,45,44,36,58,87,49,34,59,46,88,54,81,62,84,47,53,50,40,39,78,55,35,60,90,44,60,51,88,49,64,64,64,56,60,31,47,87,75,49,40,79,42,75,82,51,35,65,56,42,55,46,37,48,71,68,33
34,51,81,47,45,52,84,85,64,65,61,84,88,68,88,34,36,56,54,38,35,32,44,68,41,35,69,66,65,62,69,50,81,67,48,71,78,80,51,33,60,64,67,90,46,76,90,60,34,89,45,78,41,67,79,76,71,60,33,69,56,48,37,63,74,69,44,77,48,44,34,31,33,50,32,77,32,30,49,66,66,48,75,52,81,54,37,65,71,70,47,47,52,52,67,40,66,50,46,61,65,44,48,75,85,49,34,42,89,38,68,83,54,66,32,42,35,84,41,80,47,67,43,61,71,71,78,41,83,67,30,68,49,30,90,45,31,40,73,34,48,55,46,82,39,72,39,81,77,46,65,79,46,43,71,83,47,90,59,58,62,32,76,42,66,54,46,73,67,87,84,78,87,85,70,80,87,56,88,49,51,65,52,70,52,56,42,41,63,39
36,73,47,38,57,50,42,81,60,67,66,52,76,61,60,90,74,80,43,87,64,52,89,31,73,54,36,42,33,53,35,64,43,73,89,90,81,58,49,85,79,67,64,51,86,81,88,46,41,68,45,69,58,57,58,89,76,83,61,71,33,81,77,59,38,52,76,34,61,33,71,76,78,77,89,86,49,87,79,42,78,48,56,66,86,42,32,57,82,60,61,75,48,83,51,64,70,81,32,81,85,72,34,33,52,65,74,38,53,83,45,67,79,33,68,35,57,89,80,88,43,41,73,82,72,65,74,75,46,33,88,44,41,73,67,77,59,72,52,69,50,89,70,87,84,89,76,38,83,46,81,67,64,53,75,55,52,77,76,80,67,75,57,70,87,69,67,74,83,57,75,64,67,58,84,86,32,79,44,84,81,64,54,50,70,65,75,38,74,86
58,89,31,63,54,32,56,32,80,47,45,36,34,63,35,46,47,55,51,68,65,36,81,79,80,81,89,33,77,46,64,41,87,44,42,56,35,46,66,47,68,62,77,89,51,68,83,72,34,38,30,52,79,71,60,71,73,79,47,61,45,35,76,69,34,44,78,50,57,88,50,60,33,90,80,69,36,30,85,61,45,40,76,74,69,77,63,81,88,69,51,44,65,88,85,36,81,75,68,82,87,61,72,70,56,50,82,81,67,78,51,54,34,58,71,88,67,34,86,48,39,80,65,30,35,54,58,34,37,84,55,79,65,77,74,39,75,64,84,72,58,69,35,40,40,54,49,47,36,79,50,74,85,62,58,74,64,76,66,37,34,80,71,32,52,49,63,38,68,66,58,80,33,73,60,86,52,55,48,50,55,80,89,78,65,38,36,57,34,53
89,70,66,80,89,33,31,48,55,72,33,32,44,60,68,53,59,61,68,77,34,53,66,78,47,87,52,75,55,39,44,72,75,37,43,64,53,39,41,82,44,52,41,60,64,36,70,59,78,76,40,53,36,38,72,51,46,89,44,32,74,68,84,49,54,50,70,89,32,83,69,53,60,86,55,41,45,62,77,36,62,70,90,75,51,42,69,31,88,48,66,62,66,73,44,76,70,87,35,73,36,72,35,79,87,86,49,82,33,82,62,45,77,37,62,39,81,41,58,39,49,55,75,88,88,51,56,58,62,30,82,79,67,39,43,66,67,38,55,89,69,36,71,35,70,86,79,83,62,50,76,68,44,80,36,30,36,43,42,77,55,64,35,52,55,85,86,30,60,51,82,41,66,33,63,55,55,71,90,46,33,33,79,40,90,42,72,86,42,43
45,65,30,40,39,61,87,81,73,80,33,58,57,57,60,74,76,41,54,80,48,82,39,50,48,79,78,75,60,64,49,90,43,62,61,75,37,71,32,50,51,37,70,90,36,70,76,84,85,37,81,61,33,44,46,31,63,34,84,65,69,50,84,83,39,71,61,53,58,49,39,72,43,66,40,52,32,40,52,81,44,62,57,30,70,31,30,90,88,53,44,75,31,47,59,37,46,31,47,80,81,84,42,66,88,63,54,81,70,75,34,71,79,33,71,70,78,45,61,47,63,56,34,61,46,56,65,69,70,80,85,90,47,74,88,32,46,53,86,79,35,37,86,48,37,51,71,63,88,63,86,88,53,65,73,33,89,52,73,51,61,38,77,67,38,69,43,62,33,81,34,41,60,49,60,79,62,70,86,89,51,70,71,67,87,31,72,70,71,76
88,79,63,73,66,87,76,69,62,68,66,33,64,40,60,45,90,86,68,78,34,79,32,75,38,68,83,62,75,76,32,90,87,63,74,30,89,69,57,75,32,69,53,65,33,48,39,78,71,59,36,60,53,85,46,89,46,44,85,45,46,75,43,75,46,90,55,38,31,83,52,48,38,35,72,70,75,58,61,35,55,86,42,56,48,56,50,56,54,33,60,77,83,39,31,61,52,84,44,42,55,62,53,53,41,87,71,51,80,85,52,62,55,64,41,79,41,60,39,85,54,73,67,88,80,75,48,40,58,36,82,71,90,70,30,75,47,68,58,63,54,84,40,59,88,46,53,86,85,49,67,58,60,86,72,58,42,58,41,88,47,58,64,44,64,75,53,85,89,77,79,70,68,38,90,31,46,79,85,53,45,58,82,78,60,69,63,67,75,83
34,48,58,78,55,89,83,72,58,35,80,79,53,72,86,84,49,34,42,32,44,68,68,56,60,38,90,63,87,67,80,54,70,57,53,58,36,34,38,72,65,34,78,55,40,88,90,38,85,64,78,32,51,87,70,51,57,50,50,60,66,35,64,32,49,64,76,47,40,71,76,68,85,65,32,38,31,50,60,42,60,42,65,38,74,64,71,47,54,40,55,57,57,50,61,38,34,47,48,60,40,86,70,36,83,42,72,30,40,54,49,37,51,79,81,68,36,62,34,82,62,39,83,61,78,36,31,89,86,34,49,46,68,82,81,65,41,75,57,72,31,83,53,79,38,84,39,43,49,74,80,51,43,35,34,74,60,81,48,80,83,31,79,40,37,69,30,40,79,82,54,77,76,42,50,87,40,53,63,46,37,74,76,39,60,58,33,42,61,85
51,42,58,48,88,73,90,51,45,67,35,35,40,65,73,43,34,84,76,68,52,60,74,79,41,50,69,70,43,58,57,71,61,55,85,67,52,65,81,89,90,88,89,33,40,45,86,36,73,50,66,42,75,77,39,33,43,45,63,71,64,62,34,36,72,35,56,60,51,59,87,78,52,67,67,30,82,68,37,43,40,72,55,59,46,63,44,70,37,64,44,64,68,33,35,64,66,70,73,51,51,71,58,73,87,85,90,59,69,30,62,71,54,87,35,80,61,72,35,72,82,89,56,71,52,42,54,44,50,77,54,52,57,83,39,33,55,73,89,48,62,67,32,37,58,36,77,71,73,87,75,51,86,75,30,59,88,32,66,61,35,54,64,54,85,32,71,33,63,75,45,73,56,88,42,51,71,78,56,73,80,54,83,77,39,71,76,69,46,70
90,40,82,48,40,74,60,42,76,81,50,60,65,71,34,59,40,46,77,78,59,81,90,57,81,40,82,41,75,48,54,55,51,68,51,87,64,49,67,33,78,67,68,45,63,33,36,63,39,52,62,78,39,36,42,77,36,39,32,31,72,58,49,30,34,80,76,72,85,76,85,87,51,66,79,64,52,36,80,76,44,82,80,83,72,43,64,80,63,83,87,44,39,75,90,79,90,59,76,36,75,89,59,54,83,50,88,49,51,75,90,58,56,44,90,54,30,75,38,34,33,50,37,81,72,86,89,61,39,63,85,50,85,54,36,47,34,36,47,42,66,88,78,35,67,42,54,66,78,83,66,44,33,77,36,85,44,65,60,75,56,36,60,44,36,36,36,45,84,43,43,66,33,31,42,82,66,38,81,76,33,54,64,31,67,39,33,64,41,59
68,51,41,38,74,44,69,60,35,67,63,57,65,38,36,32,53,64,82,52,82,55,83,30,39,30,83,68,69,43,61,33,33,46,71,70,81,53,48,86,87,65,60,51,82,75,73,56,88,75,63,49,61,78,49,88,39,38,42,85,90,38,36,31,89,43,52,78,71,56,76,82,62,54,33,49,65,51,67,88,64,69,51,36,35,62,47,35,56,67,37,74,52,58,76,61,40,55,71,80,70,77,42,82,31,63,79,54,61,60,68,38,63,71,78,57,79,89,69,58,78,59,81,83,82,52,36,77,77,61,49,84,69,87,53,43,78,47,68,71,85,40,34,40,73,60,56,86,36,30,41,61,44,67,66,55,75,66,84,38,47,72,35,82,90,73,39,89,41,90,64,76,60,35,45,33,72,63,55,43,35,80,30,35,51,51,71,73,84,35
56,48,76,77,70,83,88,32,30,39,43,89,56,52,37,85,64,71,68,42,53,41,49,64,74,55,55,80,63,43,69,87,78,44,88,78,49,88,47,78,86,38,38,39,69,59,45,44,57,47,90,56,51,55,57,32,45,80,48,85,73,61,60,78,39,30,53,86,40,71,37,44,65,41,41,48,69,75,80,52,79,40,61,81,45,70,78,43,84,60,46,71,72,86,73,34,46,77,34,87,58,34,80,70,73,31,80,85,72,63,59,32,65,65,50,54,64,33,69,84,80,42,60,56,89,49,64,41,54,63,54,63,70,69,36,43,85,70,82,68,45,37,71,78,31,90,57,59,68,58,84,63,48,49,44,56,50,36,78,48,45,52,33,32,80,47,39,90,43,62,83,63,86,63,74,40,81,38,73,68,61,79,76,53,75,48,75,86,37,38
49,88,70,84,49,81,57,59,67,67,88,87,62,39,44,65,42,43,68,81,38,77,48,38,44,38,42,42,31,45,66,61,64,61,45,70,56,46,90,90,53,38,64,64,42,45,50,80,67,32,75,38,38,87,54,36,46,80,70,84,39,43,50,30,69,68,38,83,84,51,90,74,36,72,41,31,41,85,80,65,82,81,55,33,88,34,51,31,49,90,43,36,64,77,71,31,60,44,45,53,54,59,43,66,58,67,63,88,89,87,57,45,82,80,51,60,67,46,85,42,74,77,80,70,53,31,71,49,43,36,66,52,73,90,80,83,71,57,60,55,49,37,33,54,43,43,68,90,63,35,48,65,71,80,59,84,77,79,86,66,45,67,78,37,76,75,42,66,46,53,75,41,59,45,55,34,78,72,40,38,30,40,76,73,64,56,82,44,65,54
58,70,54,35,61,90,68,79,88,30,74,78,39,83,72,35,76,31,57,51,70,35,33,77,48,53,74,74,59,40,89,72,86,45,85,72,62,84,57,44,88,49,75,44,77,36,69,69,32,63,86,47,59,42,36,85,84,34,57,81,72,43,61,75,56,70,75,68,71,38,89,53,37,58,32,87,41,90,90,90,87,75,50,75,70,54,36,41,89,56,81,36,79,58,85,40,50,47,90,78,46,55,85,87,69,60,58,84,80,34,47,40,55,76,75,61,58,76,82,55,75,47,61,42,59,69,63,58,63,38,84,82,78,87,41,83,60,61,42,47,81,57,64,72,33,60,78,79,63,37,45,46,71,44,53,44,72,34,76,54,37,53,37,66,33,57,70,55,79,79,79,37,65,73,70,38,53,31,42,82,38,74,59,82,48,80,78,59,69,50
84,83,64,90,64,49,54,58,38,36,80,72,82,40,90,79,42,60,76,45,76,54,30,89,53,46,84,53,43,79,51,51,78,79,90,49,78,84,36,51,86,67,57,44,59,50,32,80,80,62,58,48,38,64,49,86,87,48,75,38,86,45,40,74,39,80,48,71,70,85,38,63,81,52,77,88,55,79,36,77,62,53,63,55,31,42,44,72,62,66,67,60,84,35,83,48,90,47,78,88,87,47,88,64,56,66,78,48,55,86,83,52,64,88,79,37,38,40,31,89,43,78,67,51,67,74,71,67,75,67,70,62,53,33,62,77,84,63,56,84,87,57,58,59,46,61,70,36,47,66,53,74,54,86,78,62,33,48,68,48,86,59,61,81,32,35,82,47,76,39,59,57,65,65,47,70,76,67,54,37,32,55,86,82,64,37,75,82,75,30
41,45,51,71,61,58,41,41,47,86,82,33,48,66,42,85,81,33,49,67,41,90,87,58,86,57,59,68,79,33,86,64,53,57,63,43,52,78,34,81,39,90,53,88,45,41,56,35,79,77,64,30,35,31,41,50,90,56,76,43,48,42,74,72,84,35,41,80,70,53,66,30,85,50,37,39,40,50,89,72,89,55,73,31,69,86,30,33,63,61,34,36,69,67,82,67,43,66,64,32,76,81,69,44,84,30,83,75,85,33,44,36,81,35,44,43,83,86,58,31,72,63,71,84,35,78,47,58,69,74,70,61,30,66,79,65,76,36,47,30,36,79,63,30,75,90,85,32,67,59,50,69,46,51,69,34,87,82,46,52,72,90,43,35,62,66,50,89,68,46,76,85,88,44,82,86,58,78,82,55,34,60,51,58,35,30,88,39,83,80
64,46,48,74,62,73,81,80,58,72,47,86,46,49,33,59,48,64,57,84,79,57,61,55,53,61,39,51,87,66,66,66,41,76,65,79,53,49,63,86,64,56,80,51,58,33,80,73,43,48,46,59,51,88,65,75,41,77,65,67,61,80,64,38,65,71,88,55,41,47,57,53,88,45,63,64,77,80,90,39,51,90,47,82,81,77,85,77,70,75,90,81,37,55,86,40,70,31,69,71,75,43,51,53,85,89,88,31,41,45,63,32,84,50,66,68,83,36,87,56,48,48,35,50,55,37,77,41,59,78,78,90,84,85,39,69,64,68,63,75,39,43,39,66,75,85,72,72,56,66,43,48,85,53,53,78,33,84,56,85,74,50,44,69,73,35,73,31,40,38,70,67,54,32,59,75,39,48,87,34,42,73,72,53,52,32,46,59,73,39
67,54,77,37,78,83,60,32,86,47,73,60,49,49,63,90,72,64,30,40,83,55,70,77,87,30,42,56,64,49,52,53,49,54,79,48,86,65,49,54,76,69,77,80,65,70,62,85,34,34,31,70,43,32,64,53,31,46,44,90,71,50,44,52,62,62,84,66,51,51,44,44,49,69,42,64,56,71,71,44,40,81,34,60,60,68,79,79,34,83,38,33,75,78,44,84,41,30,61,78,55,34,33,76,76,53,79,67,80,78,83,79,61,77,33,70,70,54,78,70,38,64,38,74,66,78,45,48,41,31,56,45,79,49,55,34,82,62,60,86,41,70,63,47,65,39,78,43,64,76,76,35,57,87,81,49,77,48,64,83,68,65,57,34,56,38,54,69,67,46,36,57,78,60,89,40,54,45,43,54,67,31,53,72,47,37,82,60,37,83
75,87,84,37,54,81,40,51,32,34,52,82,90,56,78,77,61,38,58,85,34,58,46,49,64,77,87,82,46,82,70,82,70,63,42,82,60,33,38,81,35,31,75,43,49,45,57,54,48,67,56,57,72,37,61,39,55,71,87,43,73,51,79,77,47,62,74,72,75,36,74,36,31,47,37,41,36,60,83,55,64,56,51,90,70,76,32,30,58,75,61,56,36,81,48,50,43,79,56,54,60,70,57,60,68,60,57,36,68,71,62,82,37,69,33,84,37,82,73,59,89,39,56,59,66,34,35,41,38,77,33,39,36,41,45,86,81,43,42,52,63,82,40,73,83,40,62,83,40,47,73,74,39,41,80,74,85,72,62,76,83,30,73,50,74,55,87,39,56,74,42,41,89,88,53,31,87,61,41,53,74,75,33,70,72,49,55,60,82,45
83,44,81,84,59,72,76,43,30,73,43,59,59,72,37,52,73,58,88,83,64,79,42,45,45,77,70,67,84,63,31,50,35,47,90,48,66,79,65,79,35,50,55,72,30,89,51,65,89,37,73,80,79,44,40,62,46,39,88,52,81,45,90,50,34,76,55,37,86,67,61,90,41,44,69,85,49,55,83,63,55,79,72,37,60,73,72,53,88,39,84,40,67,57,62,68,73,82,85,74,46,88,52,58,30,49,84,64,49,80,83,60,88,66,80,59,80,48,90,81,47,72,59,75,32,68,58,66,78,30,77,83,57,35,60,87,42,84,42,51,85,33,52,73,87,82,55,78,38,83,47,38,53,39,75,75,46,38,36,40,80,62,64,37,34,70,74,61,66,87,69,73,45,39,89,70,50,34,73,70,54,71,52,40,61,44,38,68,30,78
