Sub_Module_ID,Sub_Module_Name,Module_ID,Module_Name
ETI10000, Ethics and Integrity,ESRC_001,ESGRC
CGV10000, Corporate Governance,ESRC_001,ESGRC
IGV10000, IT Governance,ESRC_001,ESGRC
CPI10000, Corporate Strategy and Planning,ESRC_001,ESGRC
LIN10000,Lifecycle Integration Management,INTG_001,Integration
API10000,API Implementation Management,INTG_001,Integration
BRP10000,"Business Requirements, Process & Rules Management",INTG_001,Integration
FUL10000,Fulfillment Integration Management,INTG_001,Integration
ASI10000,Assurance Integration Management,INTG_001,Integration
APM10000,API Management,INTG_001,Integration
AII10000,AI Integration Management,INTG_001,Integration
MSP10000,Market Startegy and Policy,MKTS_001,Market_and_Sales
SSP10000,Sales Strategy and Planning,MKTS_001,Market_and_Sales
CHM10000,Channel Management,MKTS_001,Market_and_Sales
SFO10000,Sales Forecasting,MKTS_001,Market_and_Sales
BRM10000,Brand Management,MKTS_001,Market_and_Sales
MKR10000,Market Research,MKTS_001,Market_and_Sales
SDV10000,Sales Development,MKTS_001,Market_and_Sales
MSR10000,Market Sales Support & Readiness,MKTS_001,Market_and_Sales
LYP10000,Loyalty Program Management,MKTS_001,Market_and_Sales
CPG10000,Marketing Campaign Management,MKTS_001,Market_and_Sales
MKC10000, Marketing Communications,MKTS_001,Market_and_Sales
ADS10000,Advertising,MKTS_001,Market_and_Sales
WPO10000,Work Product Orchestration,PROD_001,Product
PPP10000,Product Offering Portfolio Planning,PROD_001,Product
TQA10000,Product Test Quality Assurance,PROD_001,Product
OCD10000,Product Offering Capability Delivery,PROD_001,Product
SPC10000,Product Specification Management,PROD_001,Product
CTP10000,Product Catalogue Planning Management,PROD_001,Product
PCF10000,Product Configuration Management,PROD_001,Product
POD10000,Product Specification and Offering Development and Retirement,PROD_001,Product
CTL10000,Product Catalogue Lifecycle Management,PROD_001,Product
ANL10000,Product Anomaly Lifecycle Management,PROD_001,Product
PSU10000,Product Support,PROD_001,Product
INV10000,Product Inventory Management,PROD_001,Product
TST10000,Product Test Management,PROD_001,Product
COR10000,Product Catalogue Operational Readiness Management,PROD_001,Product
PCC10000,Product Catalogue Content Management,PROD_001,Product
CAP10000,Product Capacity Management,PROD_001,Product
PUR10000,Product Offering Purchasing,PROD_001,Product
PBM10000,Product Problem Management,PROD_001,Product
ANM10000,Product Anomaly Management,PROD_001,Product
RST10000,Resource Strategy Management,RSRC_001,Resource 
RCD10000,Resource Capability Delivery,RSRC_001,Resource 
RSL10000,Resource Specification Lifecycle Management,RSRC_001,Resource 
RSU10000,Resource Support ManagementÂ ,RSRC_001,Resource 
ROR10000,Resource Order Management,RSRC_001,Resource 
RDA10000,Resource Data Management,RSRC_001,Resource 
RTR10000,Resource Trouble Management,RSRC_001,Resource 
RPR10000,Resource Performance Management,RSRC_001,Resource 
RMR10000,Resource Mediation & Reporting,RSRC_001,Resource 
RCM10000,Resource Capacity Management,RSRC_001,Resource 
SST10000,Service Strategy Management,SRVC_001,Service
CPD10000,Service Capability Delivery,SRVC_001,Service
SPL10000,Service Specification Lifecycle,SRVC_001,Service
SUP10000,Service Support ManagementÂ ,SRVC_001,Service
ACT10000,Service Activation Management,SRVC_001,Service
PRB10000,Service Problem Management,SRVC_001,Service
PFR10000,Service Performance Management,SRVC_001,Service
GMD10000,Service Guiding & Mediation,SRVC_001,Service
SCM10000,Service Capacity Management,SRVC_001,Service
CLC10000,Service Catalog Lifecycle Management,SRVC_001,Service
ORC10000,Service Catalog Operational Readiness Management,SRVC_001,Service
SCC10000,Service Catalog Content Management,SRVC_001,Service
SCP10000,Service Catalog Planning Management,SRVC_001,Service
ALM10000,Service Anomaly Lifecycle Management,SRVC_001,Service
SAN10000,Service Anomaly Management,SRVC_001,Service
SSM10000,Service Specification Management,SRVC_001,Service
PVD10000,Privacy Development,SHRD_001,Shared
PVM10000,Privacy Management,SHRD_001,Shared
PTY10000,Party Information Management,SHRD_001,Shared
ANO10000,Anomaly Management,SHRD_001,Shared
CMM10000,Communications,SHRD_001,Shared
CNT10000,Content Management,SHRD_001,Shared
MDM10000,Master Data Management,SHRD_001,Shared
PJM10000,Project Management,SHRD_001,Shared
IDP10000,Identification and Permission Management,SHRD_001,Shared
FLO10000,Fallout Management,SHRD_001,Shared
BPT10000,Party Management,SHRD_001,Shared
TCH10000,Technology Management,SHRD_001,Shared
SYA10000,Systems and Applications Management,SHRD_001,Shared
DLY10000,Data Analytics,SHRD_001,Shared
DDD10000,"Develop, Deploy and Deliver",PRCY_001,ICTM
LCP10000,Project Lifecycle,PRCY_001,ICTM
RTS10000,Retrospection Analytics,PRCY_001,ICTM
CIP10000,"CI, PI, Control Phase",PRCY_001,ICTM
IOP10000,Innovation and Optimisation,PRCY_001,ICTM
